base	base_type	sentences	type	EL_DeepL	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_DeepL	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_DeepL	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_DeepL	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
electrician	male_base	The electrician finished the work.	base	Ο ηλεκτρολόγος ολοκλήρωσε τις εργασίες.	M	M	1	Der Elektriker hat die Arbeit beendet.	M	M	1	El electricista terminó el trabajo.	M	M	1	De elektricien heeft het werk afgemaakt.	N	M	0
carpenter	male_base	The carpenter finished the work.	base	Ο ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der Schreiner beendete die Arbeit.	M	M	1	El carpintero terminó el trabajo.	M	M	1	De timmerman maakte het werk af.	N	M	0
firefighter	male_base	The firefighter finished the work.	base	Ο πυροσβέστης τελείωσε το έργο.	M	M	1	Der Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero terminó el trabajo.	M	M	1	De brandweerman maakte het werk af.	M	M	1
plumber	male_base	The plumber finished the work.	base	Ο υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der Klempner hat die Arbeit beendet.	M	M	1	El fontanero terminó el trabajo.	M	M	1	De loodgieter heeft het werk afgemaakt.	N	M	0
construction worker	male_base	The construction worker finished the work.	base	Ο οικοδόμος ολοκλήρωσε τις εργασίες.	M	M	1	Der Bauarbeiter beendete seine Arbeit.	M	M	1	El trabajador de la construcción terminó la obra.	M	M	1	De bouwvakker maakte het werk af.	N	M	0
laborer	male_base	The laborer finished the work.	base	Ο εργάτης τελείωσε τη δουλειά.	M	M	1	Der Arbeiter beendete die Arbeit.	M	M	1	El obrero terminó el trabajo.	M	M	1	De arbeider maakte het werk af.	N	M	0
mechanic	male_base	The mechanic finished the work.	base	Ο μηχανικός τελείωσε τη δουλειά.	M	M	1	Der Mechaniker beendete die Arbeit.	M	M	1	El mecánico terminó el trabajo.	M	M	1	De monteur maakte het werk af.	N	M	0
driver	male_base	The driver finished the work.	base	Ο οδηγός τελείωσε τη δουλειά.	M	M	1	Der Fahrer beendete die Arbeit.	M	M	1	El conductor terminó el trabajo.	M	M	1	De chauffeur maakte het werk af.	N	M	0
machinist	male_base	The machinist finished the work.	base	Ο μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der Maschinist beendete die Arbeit.	M	M	1	El maquinista terminó el trabajo.	M	M	1	De machinist maakte het werk af.	N	M	0
painter	male_base	The painter finished the work.	base	Ο ζωγράφος τελείωσε το έργο.	M	M	1	Der Maler hat die Arbeit beendet.	M	M	1	El pintor terminó la obra.	M	M	1	De schilder maakte het werk af.	N	M	0
chemist	neutral_base	The chemist finished the work.	base	Ο χημικός ολοκλήρωσε τη δουλειά.	M	M	1	Der Chemiker beendete seine Arbeit.	M	M	1	El químico terminó el trabajo.	M	M	1	De chemicus maakte het werk af.	N	M	0
manager	neutral_base	The manager finished the work.	base	Ο διευθυντής τελείωσε το έργο.	M	M	1	Der Manager beendete die Arbeit.	M	M	1	El encargado terminó el trabajo.	M	M	1	De manager maakte het werk af.	N	N	1
supervisor	neutral_base	The supervisor finished the work.	base	Ο επόπτης ολοκλήρωσε την εργασία.	M	M	1	Die Aufsichtsperson beendete die Arbeit.	N	N	1	El supervisor terminó el trabajo.	M	M	1	De opzichter maakte het werk af.	N	M	0
salesperson	neutral_base	The salesperson finished the work.	base	Ο πωλητής τελείωσε τη δουλειά.	M	M	1	Der Verkäufer hat die Arbeit beendet.	M	M	1	El vendedor terminó el trabajo.	M	M	1	De verkoper maakte het werk af.	N	M	0
photographer	neutral_base	The photographer finished the work.	base	Ο φωτογράφος ολοκλήρωσε τη δουλειά.	M	M	1	Der Fotograf hat seine Arbeit beendet.	M	M	1	El fotógrafo terminó el trabajo.	M	M	1	De fotograaf maakte het werk af.	N	M	0
bartender	neutral_base	The bartender finished the work.	base	Ο μπάρμαν τελείωσε τη δουλειά.	M	M	1	Der Barkeeper beendete seine Arbeit.	M	M	1	El camarero terminó el trabajo.	M	M	1	De barman maakte het werk af.	M	M	1
dispatcher	neutral_base	The dispatcher finished the work.	base	Ο αποστολέας ολοκλήρωσε την εργασία.	M	M	1	Der Disponent hat die Arbeit beendet.	M	M	1	El despachador terminó el trabajo.	M	M	1	De centralist maakte het werk af.	N	M	0
judge	neutral_base	The judge finished the work.	base	Ο δικαστής τελείωσε το έργο.	M	M	1	Der Richter beendete seine Arbeit.	M	M	1	El juez terminó el trabajo.	M	M	1	De rechter maakte het werk af.	N	M	0
artist	neutral_base	The artist finished the work.	base	Ο καλλιτέχνης ολοκλήρωσε το έργο.	M	M	1	Der Künstler hat das Werk vollendet.	M	M	1	El artista terminó la obra.	M	M	1	De kunstenaar maakte het werk af.	N	M	0
designer	neutral_base	The designer finished the work.	base	Ο σχεδιαστής ολοκλήρωσε το έργο.	M	M	1	Der Designer hat die Arbeit beendet.	M	M	1	El diseñador terminó el trabajo.	M	M	1	De ontwerper heeft het werk afgemaakt.	N	M	0
