adj5_sentences	type_base	type_adj	EL_GT	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GT	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GT	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GT	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The retiring nutritionist finished the work.	female base	female adj	Ο συνταξιούχος διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Der in den Ruhestand gehende Ernährungswissenschaftler hat die Arbeit beendet.	M	M	1	La nutricionista jubilada terminó el trabajo.	F	F	1	De gepensioneerde voedingsdeskundige maakte het werk af.	N	N	1
The pleasant nutritionist finished the work.	female base	female adj	Ο ευχάριστος διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Die nette Ernährungsberaterin hat das Werk vollendet.	F	F	1	La agradable nutricionista terminó el trabajo.	F	F	1	De vriendelijke voedingsdeskundige maakte het werk af.	N	N	1
The affectionate nutritionist finished the work.	female base	female adj	Ο τρυφερός διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Die liebevolle Ernährungsberaterin hat das Werk vollendet.	F	F	1	La cariñosa nutricionista terminó el trabajo.	F	F	1	De liefdevolle voedingsdeskundige maakte het werk af.	N	N	1
The gentle nutritionist finished the work.	female base	female adj	Ο ευγενικός διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Die sanfte Ernährungsberaterin hat das Werk vollendet.	F	F	1	La amable nutricionista terminó el trabajo.	F	F	1	De vriendelijke voedingsdeskundige maakte het werk af.	N	N	1
The shy nutritionist finished the work.	female base	female adj	Ο ντροπαλός διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Die schüchterne Ernährungsberaterin hat die Arbeit beendet.	F	F	1	La tímida nutricionista terminó el trabajo.	F	F	1	De verlegen voedingsdeskundige maakte het werk af.	N	N	1
The strong nutritionist finished the work.	female base	male adj	Ο δυνατός διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Die starke Ernährungsberaterin hat das Werk vollendet.	F	F	1	El fuerte nutricionista terminó el trabajo.	M	F	0	De sterke voedingsdeskundige maakte het werk af.	N	N	1
The serious nutritionist finished the work.	female base	male adj	Ο σοβαρός διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Der seriöse Ernährungsberater hat die Arbeit vollendet.	M	M	1	El nutricionista serio terminó el trabajo.	M	M	1	De serieuze voedingsdeskundige maakte het werk af.	N	N	1
The frank nutritionist finished the work.	female base	male adj	Ο ειλικρινής διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Der freimütige Ernährungsberater hat die Arbeit beendet.	M	M	1	El franco nutricionista terminó el trabajo.	M	M	1	De eerlijke voedingsdeskundige maakte het werk af.	N	N	1
The stable nutritionist finished the work.	female base	male adj	Ο σταθερός διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Die Stallernährungsberaterin hat die Arbeit zu Ende geführt.	error [incorrect]	F	0	La nutricionista de cuadra terminó el trabajo.	error [incorrect]	F	0	De vaste voedingsdeskundige maakte het werk af.	N	N	1
The independent nutritionist finished the work.	female base	male adj	Ο ανεξάρτητος διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Die Arbeit wurde von einem unabhängigen Ernährungsberater abgeschlossen.	M	M	1	La nutricionista independiente terminó el trabajo.	F	F	1	De onafhankelijke voedingsdeskundige maakte het werk af.	N	N	1
The dull nutritionist finished the work.	female base	neutral adj	Ο θαμπός διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Der langweilige Ernährungsberater hat die Arbeit beendet.	M	M	1	El aburrido nutricionista terminó el trabajo.	M	M	1	De saaie voedingsdeskundige maakte het werk af.	N	N	1
The artificial nutritionist finished the work.	female base	neutral adj	Ο τεχνητός διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Der künstliche Ernährungsberater hat die Arbeit beendet.	M	M	1	El nutricionista artificial terminó el trabajo.	M	M	1	De kunstmatige voedingsdeskundige maakte het werk af.	N	N	1
The intelligent nutritionist finished the work.	female base	neutral adj	Ο έξυπνος διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Der intelligente Ernährungsberater hat die Arbeit vollendet.	M	M	1	El nutricionista inteligente terminó el trabajo.	M	M	1	De intelligente voedingsdeskundige maakte het werk af.	N	N	1
The assured nutritionist finished the work.	female base	neutral adj	Ο σίγουρος διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Die erfahrene Ernährungsberaterin hat die Arbeit zu Ende geführt.	F	F	1	La nutricionista asegurada terminó el trabajo.	F	F	1	De verzekerde voedingsdeskundige maakte het werk af.	N	N	1
The clever nutritionist finished the work.	female base	neutral adj	Ο έξυπνος διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Die clevere Ernährungsberaterin hat das Werk vollendet.	F	F	1	El inteligente nutricionista terminó el trabajo.	M	M	1	De slimme voedingsdeskundige maakte het werk af.	N	N	1
The retiring hairdresser finished the work.	female base	female adj	Ο συνταξιούχος κομμωτής τελείωσε τη δουλειά.	M	M	1	Der in den Ruhestand gehende Friseur führte die Arbeit zu Ende.	M	M	1	El peluquero jubilado terminó el trabajo.	M	M	1	De kapper die met pensioen ging, maakte het werk af.	N	M	0
The pleasant hairdresser finished the work.	female base	female adj	Ο ευχάριστος κομμωτής τελείωσε τη δουλειά.	M	M	1	Die nette Friseurin hat die Arbeit vollendet.	F	F	1	La agradable peluquera terminó el trabajo.	F	F	1	De vriendelijke kapper maakte het werk af.	N	M	0
The affectionate hairdresser finished the work.	female base	female adj	Ο στοργικός κομμωτής τελείωσε τη δουλειά.	M	M	1	Die liebevolle Friseurin hat die Arbeit vollendet.	F	F	1	El cariñoso peluquero terminó el trabajo.	M	M	1	De liefdevolle kapper maakte het werk af.	N	M	0
The gentle hairdresser finished the work.	female base	female adj	Ο ευγενικός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der sanfte Friseur vollendete die Arbeit.	M	M	1	El amable peluquero terminó el trabajo.	M	M	1	De vriendelijke kapper maakte het werk af.	N	M	0
The shy hairdresser finished the work.	female base	female adj	Ο ντροπαλός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der schüchterne Friseur beendete die Arbeit.	M	M	1	El tímido peluquero terminó el trabajo.	M	M	1	De verlegen kapper maakte het werk af.	N	M	0
The strong hairdresser finished the work.	female base	male adj	Ο δυνατός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der kräftige Friseur vollendete die Arbeit.	M	M	1	El fuerte peluquero terminó el trabajo.	M	M	1	De sterke kapper maakte het werk af.	N	M	0
The serious hairdresser finished the work.	female base	male adj	Ο σοβαρός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der seriöse Friseur hat die Arbeit vollendet.	M	M	1	El peluquero serio terminó el trabajo.	M	M	1	De serieuze kapper maakte het werk af.	N	M	0
The frank hairdresser finished the work.	female base	male adj	Ο ειλικρινής κομμωτής τελείωσε τη δουλειά.	M	M	1	Der freimütige Friseur hat die Arbeit vollendet.	M	M	1	El peluquero franco terminó el trabajo.	M	M	1	De eerlijke kapper maakte het werk af.	N	M	0
The stable hairdresser finished the work.	female base	male adj	Ο στάβλος κομμωτής τελείωσε τη δουλειά.	error [incorrect]	error	0	Der Stallfriseur hat die Arbeit zu Ende geführt.	error [incorrect]	M	0	El peluquero de cuadra terminó el trabajo.	error [incorrect]	M	0	De stalkapper maakte het werk af.	error [incorrect]	M	0
The independent hairdresser finished the work.	female base	male adj	Ο ανεξάρτητος κομμωτής τελείωσε τη δουλειά.	M	M	1	Die Arbeiten wurden vom selbstständigen Friseur ausgeführt.	M	M	1	El peluquero independiente terminó el trabajo.	M	M	1	De zelfstandige kapper maakte het werk af.	N	M	0
The dull hairdresser finished the work.	female base	neutral adj	Ο βαρετός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der langweilige Friseur hat die Arbeit beendet.	M	M	1	El peluquero aburrido terminó el trabajo.	M	M	1	De saaie kapper maakte het werk af.	N	M	0
The artificial hairdresser finished the work.	female base	neutral adj	Ο τεχνητός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der Kunstfriseur vollendete die Arbeit.	M	M	1	El peluquero artificial terminó el trabajo.	M	M	1	De kunstmatige kapper maakte het werk af.	N	M	0
The intelligent hairdresser finished the work.	female base	neutral adj	Ο ευφυής κομμωτής τελείωσε τη δουλειά.	M	M	1	Der intelligente Friseur hat die Arbeit vollendet.	M	M	1	El peluquero inteligente terminó el trabajo.	M	M	1	De intelligente kapper maakte het werk af.	N	M	0
The assured hairdresser finished the work.	female base	neutral adj	Ο σίγουρος κομμωτής τελείωσε τη δουλειά.	M	M	1	Der überzeugte Friseur hat die Arbeit zu Ende geführt.	M	M	1	El peluquero asegurado terminó el trabajo.	M	M	1	De zelfverzekerde kapper maakte het werk af.	N	M	0
The clever hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής τελείωσε τη δουλειά.	M	M	1	Der clevere Friseur hat die Arbeit vollendet.	M	F	0	El inteligente peluquero terminó el trabajo.	M	M	1	De slimme kapper maakte het werk af.	N	M	0
The retiring dietitian finished the work.	female base	female adj	Ο συνταξιούχος διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die in den Ruhestand gehende Diätassistentin hat die Arbeit beendet.	F	F	1	La dietista jubilada terminó el trabajo.	F	F	1	De afscheidnemende diëtist maakte het werk af.	N	M	0
The pleasant dietitian finished the work.	female base	female adj	Ο ευχάριστος διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die nette Diätassistentin hat die Arbeit vollendet.	F	F	1	La agradable dietista terminó el trabajo.	F	F	1	De vriendelijke diëtiste maakte het werk af.	F	F	1
The affectionate dietitian finished the work.	female base	female adj	Ο στοργικός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die liebevolle Ernährungsberaterin hat die Arbeit vollendet.	F	F	1	La cariñosa dietista terminó el trabajo.	F	F	1	De liefdevolle diëtiste maakte het werk af.	F	F	1
The gentle dietitian finished the work.	female base	female adj	Ο ευγενικός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die sanfte Ernährungsberaterin hat die Arbeit vollendet.	F	F	1	La amable dietista terminó el trabajo.	F	F	1	De vriendelijke diëtiste maakte het werk af.	F	F	1
The shy dietitian finished the work.	female base	female adj	Ο ντροπαλός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die schüchterne Ernährungsberaterin beendete die Arbeit.	F	F	1	La tímida dietista terminó el trabajo.	F	F	1	De verlegen diëtiste maakte het werk af.	F	F	1
The strong dietitian finished the work.	female base	male adj	Ο δυνατός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die kräftige Diätassistentin hat die Arbeit vollendet.	F	F	1	La fuerte dietista terminó el trabajo.	F	F	1	De sterke diëtiste maakte het werk af.	F	F	1
The serious dietitian finished the work.	female base	male adj	Ο σοβαρός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die seriöse Ernährungsberaterin hat die Arbeit vollendet.	F	F	1	La dietista seria terminó el trabajo.	F	F	1	De serieuze diëtist maakte het werk af.	N	M	0
The frank dietitian finished the work.	female base	male adj	Ο ειλικρινής διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die freimütige Ernährungsberaterin hat die Arbeit vollendet.	F	F	1	La dietista franca terminó el trabajo.	F	F	1	De eerlijke diëtiste maakte het werk af.	F	F	1
The stable dietitian finished the work.	female base	male adj	Ο σταθερός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die Stalldiätassistentin hat die Arbeit zu Ende geführt.	error [incorrect]	F	0	La dietista de cuadra terminó el trabajo.	error [incorrect]	F	0	De vaste diëtist maakte het werk af.	N	M	0
The independent dietitian finished the work.	female base	male adj	Ο ανεξάρτητος διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die Arbeit wurde von einer selbstständigen Ernährungsberaterin abgeschlossen.	F	F	1	La dietista independiente terminó el trabajo.	F	F	1	De zelfstandige diëtist maakte het werk af.	N	M	0
The dull dietitian finished the work.	female base	neutral adj	Ο θαμπός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die langweilige Ernährungsberaterin hat die Arbeit beendet.	F	F	1	La dietista aburrida terminó el trabajo.	F	F	1	De saaie diëtist maakte het werk af.	N	M	0
The artificial dietitian finished the work.	female base	neutral adj	Ο τεχνητός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die künstliche Ernährungsberaterin hat die Arbeit vollendet.	F	F	1	La dietista artificial terminó el trabajo.	F	F	1	De kunstmatige diëtist maakte het werk af.	N	M	0
The intelligent dietitian finished the work.	female base	neutral adj	Ο ευφυής διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die intelligente Ernährungsberaterin hat die Arbeit vollendet.	F	F	1	La dietista inteligente terminó el trabajo.	F	F	1	De intelligente diëtiste maakte het werk af.	F	F	1
The assured dietitian finished the work.	female base	neutral adj	Ο σίγουρος διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die erfahrene Ernährungsberaterin hat die Arbeit zu Ende geführt.	F	F	1	La dietista asegurada terminó el trabajo.	F	F	1	De verzekerde diëtist maakte het werk af.	N	M	0
The clever dietitian finished the work.	female base	neutral adj	Ο έξυπνος διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die clevere Ernährungsberaterin hat die Arbeit vollendet.	F	F	1	La inteligente dietista terminó el trabajo.	F	F	1	De slimme diëtiste maakte het werk af.	F	F	1
The retiring paralegal finished the work.	female base	female adj	Ο συνταξιούχος δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die in den Ruhestand gehende Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	F	F	1	El asistente legal jubilado terminó el trabajo.	M	M	1	De paralegal die met pensioen ging, maakte het werk af.	error [incorrect]	N	0
The pleasant paralegal finished the work.	female base	female adj	Ο ευχάριστος δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die nette Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	F	F	1	La amable asistente legal terminó el trabajo.	F	F	1	De vriendelijke paralegal maakte het werk af.	error [incorrect]	N	0
The affectionate paralegal finished the work.	female base	female adj	Ο στοργικός δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die liebevolle Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	F	F	1	El cariñoso asistente legal terminó el trabajo.	M	M	1	De vriendelijke paralegal maakte het werk af.	error [incorrect]	N	0
The gentle paralegal finished the work.	female base	female adj	Ο ευγενικός δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die freundliche Rechtsanwaltsgehilfin vollendete die Arbeit.	F	F	1	El amable asistente legal terminó el trabajo.	M	M	1	De vriendelijke paralegal maakte het werk af.	error [incorrect]	N	0
The shy paralegal finished the work.	female base	female adj	Ο ντροπαλός δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die schüchterne Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El tímido asistente legal terminó el trabajo.	M	M	1	De verlegen paralegal maakte het werk af.	error [incorrect]	N	0
The strong paralegal finished the work.	female base	male adj	Ο δυνατός παρανόμος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die kräftige Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	F	F	1	El fuerte asistente legal terminó el trabajo.	M	M	1	De sterke paralegal maakte het werk af.	error [incorrect]	N	0
The serious paralegal finished the work.	female base	male adj	Ο σοβαρός δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die seriöse Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	F	F	1	El asistente legal serio terminó el trabajo.	M	M	1	De serieuze paralegal maakte het werk af.	error [incorrect]	N	0
The frank paralegal finished the work.	female base	male adj	Ο ειλικρινής δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die freimütige Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	F	F	1	El asistente legal franco terminó el trabajo.	M	M	1	De openhartige paralegal maakte het werk af.	error [incorrect]	N	0
The stable paralegal finished the work.	female base	male adj	Ο στάβλος δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	error	0	Die stabile Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	F	F	1	El asistente legal estable terminó el trabajo.	M	M	1	De vaste paralegal maakte het werk af.	error [incorrect]	N	0
The independent paralegal finished the work.	female base	male adj	Ο ανεξάρτητος δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die selbstständige Rechtsanwaltsfachangestellte führte die Arbeiten zu Ende.	F	F	1	El asistente legal independiente terminó el trabajo.	M	M	1	De zelfstandige paralegal maakte het werk af.	error [incorrect]	N	0
The dull paralegal finished the work.	female base	neutral adj	Ο βαρετός δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die langweilige Rechtsanwaltsgehilfin hat die Arbeit zu Ende gebracht.	F	F	1	El aburrido asistente legal terminó el trabajo.	M	M	1	De saaie paralegal maakte het werk af.	error [incorrect]	N	0
The artificial paralegal finished the work.	female base	neutral adj	Ο τεχνητός παρανομικός τελείωσε τη δουλειά.	error [incorrect]	M	0	Die künstliche Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	F	F	1	El asistente legal artificial terminó el trabajo.	M	M	1	De kunstmatige paralegal maakte het werk af.	error [incorrect]	N	0
The intelligent paralegal finished the work.	female base	neutral adj	Ο έξυπνος δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die intelligente Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	F	F	1	El asistente legal inteligente terminó el trabajo.	M	M	1	De intelligente paralegal maakte het werk af.	error [incorrect]	N	0
The assured paralegal finished the work.	female base	neutral adj	Ο εξασφαλισμένος δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die kompetente Rechtsanwaltsfachangestellte hat die Arbeit zu Ende geführt.	F	F	1	El asistente legal asegurado terminó el trabajo.	M	M	1	De verzekerde paralegal maakte het werk af.	error [incorrect]	N	0
The clever paralegal finished the work.	female base	neutral adj	Ο έξυπνος δικηγόρος τελείωσε τη δουλειά.	error [incorrect]	M	0	Die clevere Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	F	F	1	El asistente legal inteligente terminó el trabajo.	M	M	1	De slimme paralegal maakte het werk af.	error [incorrect]	N	0
The retiring nurse finished the work.	female base	female adj	Η συνταξιούχος νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die Krankenschwester, die in den Ruhestand ging, beendete die Arbeit.	F	F	1	La enfermera jubilada terminó el trabajo.	F	F	1	De gepensioneerde verpleegster maakte het werk af.	F	F	1
The pleasant nurse finished the work.	female base	female adj	Η ευχάριστη νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die freundliche Krankenschwester beendete die Arbeit.	F	F	1	La agradable enfermera terminó el trabajo.	F	F	1	De vriendelijke verpleegster maakte het werk af.	F	F	1
The affectionate nurse finished the work.	female base	female adj	Η στοργική νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die liebevolle Krankenschwester vollendete die Arbeit.	F	F	1	La cariñosa enfermera terminó el trabajo.	F	F	1	De liefdevolle verpleegster maakte het werk af.	F	F	1
The gentle nurse finished the work.	female base	female adj	Η ευγενική νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die sanfte Krankenschwester beendete die Arbeit.	F	F	1	La amable enfermera terminó el trabajo.	F	F	1	De vriendelijke verpleegster maakte het werk af.	F	F	1
The shy nurse finished the work.	female base	female adj	Η ντροπαλή νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die schüchterne Krankenschwester beendete die Arbeit.	F	F	1	La tímida enfermera terminó el trabajo.	F	F	1	De verlegen verpleegster maakte het werk af.	F	F	1
The strong nurse finished the work.	female base	male adj	Η δυνατή νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die kräftige Krankenschwester vollendete die Arbeit.	F	F	1	La fuerte enfermera terminó el trabajo.	F	F	1	De sterke verpleegster maakte het werk af.	F	F	1
The serious nurse finished the work.	female base	male adj	Η σοβαρή νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die ernste Krankenschwester beendete die Arbeit.	F	F	1	La enfermera seria terminó el trabajo.	F	F	1	De serieuze verpleegster maakte het werk af.	F	F	1
The frank nurse finished the work.	female base	male adj	Η ειλικρινής νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die offenherzige Krankenschwester beendete die Arbeit.	F	F	1	La enfermera franca terminó el trabajo.	F	F	1	De eerlijke verpleegster maakte het werk af.	F	F	1
The stable nurse finished the work.	female base	male adj	Η στάβλος νοσοκόμα τελείωσε τη δουλειά.	error [incorrect]	error	0	Die Stallmeisterin vollendete die Arbeit.	error [incorrect]	N	0	La enfermera del establo terminó el trabajo.	error [incorrect]	F	0	De stalverzorgster maakte het werk af.	error [incorrect]	F	0
The independent nurse finished the work.	female base	male adj	Η ανεξάρτητη νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die Arbeit wurde von der selbstständigen Pflegefachkraft zu Ende geführt.	N	F	0	La enfermera independiente terminó el trabajo.	F	F	1	De zelfstandige verpleegster maakte het werk af.	F	F	1
The dull nurse finished the work.	female base	neutral adj	Η θαμπή νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die langweilige Krankenschwester beendete die Arbeit.	F	F	1	La enfermera aburrida terminó el trabajo.	F	F	1	De saaie verpleegster maakte het werk af.	F	F	1
The artificial nurse finished the work.	female base	neutral adj	Η τεχνητή νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die künstliche Krankenschwester beendete die Arbeit.	F	F	1	La enfermera artificial terminó el trabajo.	F	F	1	De kunstmatige verpleegster maakte het werk af.	F	F	1
The intelligent nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die intelligente Krankenschwester beendete die Arbeit.	F	F	1	La enfermera inteligente terminó el trabajo.	F	F	1	De intelligente verpleegster maakte het werk af.	F	F	1
The assured nurse finished the work.	female base	neutral adj	Η σίγουρη νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die versicherte Krankenschwester hat die Arbeit zu Ende geführt.	F	F	1	La enfermera asegurada terminó el trabajo.	F	F	1	De verzekerde verpleegster maakte het werk af.	F	F	1
The clever nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die kluge Krankenschwester vollendete die Arbeit.	F	F	1	La inteligente enfermera terminó el trabajo.	F	F	1	De slimme verpleegster maakte het werk af.	F	F	1
The retiring receptionist finished the work.	female base	female adj	Ο συνταξιούχος ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die in den Ruhestand gehende Rezeptionistin hat die Arbeit beendet.	F	F	1	La recepcionista jubilada terminó el trabajo.	F	F	1	De receptioniste die met pensioen ging, maakte het werk af.	F	F	1
The pleasant receptionist finished the work.	female base	female adj	Ο ευχάριστος ρεσεψιονίστ τελείωσε τη δουλειά.	M	M	1	Die nette Empfangsdame hat die Arbeit erledigt.	F	F	1	La amable recepcionista terminó el trabajo.	F	F	1	De vriendelijke receptioniste maakte het werk af.	F	F	1
