adj5_sentences	type_base	type_adj	EL_DeepL	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_DeepL	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_DeepL	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_DeepL	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The serious nutritionist finished the work.	female base	male adj	Ο σοβαρός διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der seriöse Ernährungsberater beendete die Arbeit.	M	M	1	El nutricionista serio terminó el trabajo.	M	M	1	De serieuze voedingsdeskundige maakte het werk af.	N	N	1
The frank nutritionist finished the work.	female base	male adj	Ο ειλικρινής διατροφολόγος ολοκλήρωσε το έργο.	M	M	1	Die Ernährungsberaterin beendete die Arbeit.	error [incorrect]	F	0	El nutricionista franco terminó el trabajo.	M	M	1	De openhartige voedingsdeskundige maakte het werk af.	N	N	1
The stable nutritionist finished the work.	female base	male adj	Ο σταθερός διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Die Ernährungsberaterin des Stalls hat die Arbeit beendet.	F	F	1	El nutricionista del establo terminó el trabajo.	error [incorrect]	M	0	De stalvoedingsdeskundige maakte het werk af.	error [incorrect]	N	0
The independent nutritionist finished the work.	female base	male adj	Ο ανεξάρτητος διατροφολόγος ολοκλήρωσε το έργο.	M	M	1	Der unabhängige Ernährungsberater hat die Arbeit beendet.	M	M	1	El nutricionista independiente terminó el trabajo.	M	M	1	De onafhankelijke voedingsdeskundige maakte het werk af.	N	N	1
The dull nutritionist finished the work.	female base	neutral adj	Ο βαρετός διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Der langweilige Ernährungsberater beendete die Arbeit.	M	M	1	El nutricionista aburrido terminó el trabajo.	M	M	1	De saaie voedingsdeskundige maakte het werk af.	N	N	1
The artificial nutritionist finished the work.	female base	neutral adj	Ο τεχνητός διατροφολόγος ολοκλήρωσε το έργο.	M	M	1	Der künstliche Ernährungsberater hat die Arbeit beendet.	M	F	0	El nutricionista artificial terminó el trabajo.	M	M	1	De kunstvoedingsdeskundige maakte het werk af.	error [incorrect]	N	0
The intelligent nutritionist finished the work.	female base	neutral adj	Ο έξυπνος διατροφολόγος ολοκλήρωσε το έργο.	M	M	1	Die intelligente Ernährungsberaterin hat die Arbeit beendet.	F	F	1	La inteligente nutricionista terminó el trabajo.	F	F	1	De intelligente voedingsdeskundige maakte het werk af.	N	N	1
The assured nutritionist finished the work.	female base	neutral adj	Ο σίγουρος διατροφολόγος ολοκλήρωσε το έργο.	M	M	1	Die versicherte Ernährungsberaterin beendete die Arbeit.	F	F	1	El nutricionista asegurado terminó el trabajo.	M	M	1	De verzekerde voedingsdeskundige maakte het werk af.	N	N	1
The clever nutritionist finished the work.	female base	neutral adj	Ο έξυπνος διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Die kluge Ernährungsberaterin hat die Arbeit beendet.	F	M	0	El inteligente nutricionista terminó el trabajo.	M	M	1	De slimme voedingsdeskundige maakte het werk af.	N	N	1
The retiring hairdresser finished the work.	female base	female adj	Ο κομμωτής που αποσύρθηκε τελείωσε τη δουλειά.	M	M	1	Der Friseur im Ruhestand beendete die Arbeit.	M	M	1	El peluquero jubilado terminó el trabajo.	M	M	1	De kapper die met pensioen ging, maakte het werk af.	N	M	0
The pleasant hairdresser finished the work.	female base	female adj	Η ευχάριστη κομμώτρια τελείωσε τη δουλειά.	F	F	1	Der angenehme Friseur beendete die Arbeit.	M	M	1	La agradable peluquera terminó el trabajo.	F	F	1	De aardige kapster maakte het werk af.	F	F	1
The affectionate hairdresser finished the work.	female base	female adj	Ο στοργικός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der liebevolle Friseur beendete die Arbeit.	M	M	1	El afectuoso peluquero terminó el trabajo.	M	M	1	De aanhankelijke kapper maakte het werk af.	N	M	0
The gentle hairdresser finished the work.	female base	female adj	Η ευγενική κομμώτρια τελείωσε τη δουλειά.	F	F	1	Der sanfte Friseur beendete die Arbeit.	M	M	1	El gentil peluquero terminó el trabajo.	M	M	1	De zachte kapper maakte het werk af.	N	M	0
The shy hairdresser finished the work.	female base	female adj	Η ντροπαλή κομμώτρια τελείωσε τη δουλειά.	F	F	1	Der schüchterne Friseur beendete seine Arbeit.	M	M	1	El tímido peluquero terminó el trabajo.	M	M	1	De verlegen kapster maakte het werk af.	F	F	1
The strong hairdresser finished the work.	female base	male adj	Ο δυνατός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der starke Friseur beendete die Arbeit.	M	M	1	El fuerte peluquero terminó el trabajo.	M	M	1	De sterke kapper maakte het werk af.	N	M	0
The serious hairdresser finished the work.	female base	male adj	Ο σοβαρός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der seriöse Friseur beendete die Arbeit.	M	M	1	El peluquero serio terminó el trabajo.	M	M	1	De serieuze kapper maakte het werk af.	N	M	0
The frank hairdresser finished the work.	female base	male adj	Ο ειλικρινής κομμωτής τελείωσε τη δουλειά.	M	M	1	Der Friseur hat die Arbeit beendet.	error [incorrect]	M	0	El peluquero franco terminó el trabajo.	M	M	1	De openhartige kapper maakte het werk af.	N	M	0
The stable hairdresser finished the work.	female base	male adj	Ο σταθερός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der Stallfriseur hat die Arbeit beendet.	error [incorrect]	M	0	El nutricionista del establo terminó el trabajo.	error [incorrect]	M	0	De stalkapper maakte het werk af.	error [incorrect]	M	0
The independent hairdresser finished the work.	female base	male adj	Ο ανεξάρτητος κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der unabhängige Friseur beendete die Arbeit.	M	M	1	El peluquero independiente terminó el trabajo.	M	M	1	De zelfstandige kapper maakte het werk af.	N	M	0
The dull hairdresser finished the work.	female base	neutral adj	Ο βαρετός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der stumpfe Friseur beendete die Arbeit.	M	M	1	El peluquero aburrido terminó el trabajo.	M	M	1	De saaie kapper maakte het werk af.	N	M	0
The artificial hairdresser finished the work.	female base	neutral adj	Ο τεχνητός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der künstliche Friseur hat die Arbeit beendet.	M	M	1	El peluquero artificial terminó el trabajo.	M	M	1	De kunstkapper maakte het werk af.	error [incorrect]	M	0
The intelligent hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής τελείωσε τη δουλειά.	M	M	1	Der intelligente Friseur beendete die Arbeit.	M	M	1	El peluquero inteligente terminó el trabajo.	M	M	1	De intelligente kapper maakte het werk af.	N	M	0
The assured hairdresser finished the work.	female base	neutral adj	Ο σίγουρος κομμωτής τελείωσε τη δουλειά.	M	M	1	Der versicherte Friseur beendete die Arbeit.	M	M	1	El peluquero asegurado terminó el trabajo.	M	M	1	De verzekerde kapper maakte het werk af.	N	M	0
The clever hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής τελείωσε τη δουλειά.	M	M	1	Der geschickte Friseur beendete die Arbeit.	M	M	1	El inteligente peluquero terminó el trabajo.	M	M	1	De slimme kapper maakte het werk af.	N	M	0
The retiring dietitian finished the work.	female base	female adj	Ο συνταξιούχος διαιτολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der scheidende Diätassistent beendete die Arbeit.	M	F	0	La dietista jubilada terminó el trabajo.	F	F	1	De aftredende diëtiste maakte het werk af.	F	F	1
The pleasant dietitian finished the work.	female base	female adj	Η ευχάριστη διαιτολόγος τελείωσε τη δουλειά.	F	F	1	Die angenehme Ernährungsberaterin beendete die Arbeit.	F	F	1	La agradable dietista terminó el trabajo.	F	F	1	De aangename diëtiste maakte het werk af.	F	F	1
The affectionate dietitian finished the work.	female base	female adj	Ο στοργικός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die liebevolle Ernährungsberaterin beendete die Arbeit.	F	F	1	El afectuoso dietista terminó el trabajo.	M	M	1	De aanhankelijke diëtiste maakte het werk af.	F	F	1
The gentle dietitian finished the work.	female base	female adj	Η ευγενική διαιτολόγος τελείωσε τη δουλειά.	F	F	1	Die sanfte Ernährungsberaterin beendete die Arbeit.	F	F	1	La amable dietista terminó el trabajo.	F	F	1	De zachte diëtiste maakte het werk af.	F	F	1
The shy dietitian finished the work.	female base	female adj	Η ντροπαλή διαιτολόγος τελείωσε τη δουλειά.	F	F	1	Die schüchterne Ernährungsberaterin beendete die Arbeit.	F	F	1	La tímida dietista terminó el trabajo.	F	F	1	De verlegen diëtiste maakte het werk af.	F	F	1
The strong dietitian finished the work.	female base	male adj	Ο ισχυρός διαιτολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Die starke Ernährungsberaterin beendete die Arbeit.	F	M	0	El fuerte dietista terminó el trabajo.	M	M	1	De sterke diëtiste maakte het werk af.	F	F	1
The serious dietitian finished the work.	female base	male adj	Ο σοβαρός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Der seriöse Diätassistent beendete die Arbeit.	M	M	1	La dietista seria terminó el trabajo.	F	F	1	De serieuze diëtiste maakte het werk af.	F	F	1
The frank dietitian finished the work.	female base	male adj	Ο ειλικρινής διαιτολόγος ολοκλήρωσε την εργασία.	M	M	1	Der offene Diätassistent beendete die Arbeit.	M	M	1	El franco dietista terminó el trabajo.	M	M	1	De openhartige diëtiste maakte het werk af.	F	F	1
The stable dietitian finished the work.	female base	male adj	Ο σταθερός διαιτολόγος ολοκλήρωσε την εργασία.	M	M	1	Der Diätassistent hat die Arbeit beendet.	M	F	0	El dietista estable terminó el trabajo.	M	M	1	De staldiëtiste maakte het werk af.	error [incorrect]	F	0
The independent dietitian finished the work.	female base	male adj	Ο ανεξάρτητος διαιτολόγος ολοκλήρωσε την εργασία.	M	M	1	Die unabhängige Ernährungsberaterin hat die Arbeit beendet.	F	F	1	El dietista independiente terminó el trabajo.	M	M	1	De onafhankelijke diëtist maakte het werk af.	N	M	0
The dull dietitian finished the work.	female base	neutral adj	Ο βαρετός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die langweilige Diätassistentin beendete die Arbeit.	F	M	0	El aburrido dietista terminó el trabajo.	M	M	1	De saaie diëtiste maakte het werk af.	F	F	1
The artificial dietitian finished the work.	female base	neutral adj	Ο τεχνητός διαιτολόγος ολοκλήρωσε την εργασία.	M	M	1	Der künstliche Diätassistent hat die Arbeit beendet.	M	M	1	El dietista artificial terminó el trabajo.	M	M	1	De kunstmatige diëtist maakte het werk af.	N	M	0
The intelligent dietitian finished the work.	female base	neutral adj	Η έξυπνη διαιτολόγος τελείωσε τη δουλειά.	F	F	1	Die intelligente Ernährungsberaterin beendete die Arbeit.	F	F	1	La inteligente dietista terminó el trabajo.	F	F	1	De intelligente diëtiste maakte het werk af.	F	F	1
The assured dietitian finished the work.	female base	neutral adj	Ο σίγουρος διαιτολόγος ολοκλήρωσε την εργασία.	M	M	1	Die überzeugte Ernährungsberaterin beendete die Arbeit.	F	F	1	El dietista asegurado terminó el trabajo.	M	M	1	De verzekerde diëtist maakte het werk af.	N	M	0
The clever dietitian finished the work.	female base	neutral adj	Ο έξυπνος διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die kluge Ernährungsberaterin beendete die Arbeit.	F	F	1	La inteligente dietista terminó el trabajo.	F	F	1	De slimme diëtiste maakte het werk af.	F	F	1
The retiring paralegal finished the work.	female base	female adj	Η συνταξιοδοτούμενη νομική βοηθός ολοκλήρωσε την εργασία.	F	F	1	Die Rechtsanwaltsgehilfin im Ruhestand beendete die Arbeit.	F	F	1	El asistente jurídico jubilado terminó el trabajo.	M	M	1	De gepensioneerde paralegal maakte het werk af.	error [incorrect]	N	0
The pleasant paralegal finished the work.	female base	female adj	Η ευχάριστη νομική βοηθός ολοκλήρωσε τη δουλειά.	F	F	1	Die nette Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El agradable asistente jurídico terminó el trabajo.	M	M	1	De aangename paralegal maakte het werk af.	error [incorrect]	N	0
The affectionate paralegal finished the work.	female base	female adj	Η στοργική βοηθός δικηγόρου ολοκλήρωσε τη δουλειά.	F	F	1	Die liebevolle Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El afectuoso asistente jurídico terminó el trabajo.	M	M	1	De aanhankelijke paralegal maakte het werk af.	error [incorrect]	N	0
The gentle paralegal finished the work.	female base	female adj	Η ευγενική βοηθός τελείωσε τη δουλειά.	F	F	1	Die sanfte Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El amable asistente jurídico terminó el trabajo.	M	M	1	De zachte paralegal maakte het werk af.	error [incorrect]	N	0
The shy paralegal finished the work.	female base	female adj	Η ντροπαλή νομική βοηθός ολοκλήρωσε τη δουλειά.	F	F	1	Die schüchterne Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El tímido asistente jurídico terminó el trabajo.	M	M	1	De verlegen paralegal maakte het werk af.	error [incorrect]	N	0
The strong paralegal finished the work.	female base	male adj	Η ισχυρή νομική βοηθός ολοκλήρωσε την εργασία.	F	F	1	Die starke Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El fuerte asistente jurídico terminó el trabajo.	M	M	1	De sterke paralegal maakte het werk af.	error [incorrect]	N	0
The serious paralegal finished the work.	female base	male adj	Η σοβαρή νομική βοηθός ολοκλήρωσε τη δουλειά.	F	F	1	Die seriöse Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El serio asistente jurídico terminó el trabajo.	M	M	1	De serieuze paralegal maakte het werk af.	error [incorrect]	N	0
The frank paralegal finished the work.	female base	male adj	Η ειλικρινής βοηθός τελείωσε τη δουλειά.	F	F	1	Die Rechtsanwaltsgehilfin Frank beendete die Arbeit.	F	F	1	El asistente jurídico franco terminó el trabajo.	M	M	1	De openhartige paralegal maakte het werk af.	error [incorrect]	N	0
The stable paralegal finished the work.	female base	male adj	Η σταθερή νομική βοηθός ολοκλήρωσε τη δουλειά.	F	F	1	Die stabile Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El paralegal estable terminó el trabajo.	error [incorrect]	N	0	De stabiele paralegal maakte het werk af.	error [incorrect]	N	0
The independent paralegal finished the work.	female base	male adj	Η ανεξάρτητη νομική βοηθός ολοκλήρωσε την εργασία.	F	F	1	Die selbständige Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El asistente jurídico independiente terminó el trabajo.	M	M	1	De onafhankelijke paralegal maakte het werk af.	error [incorrect]	N	0
The dull paralegal finished the work.	female base	neutral adj	Η βαρετή νομική βοηθός τελείωσε τη δουλειά.	F	F	1	Die langweilige Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El aburrido asistente jurídico terminó el trabajo.	M	M	1	De saaie paralegal maakte het werk af.	error [incorrect]	N	0
The artificial paralegal finished the work.	female base	neutral adj	Η τεχνητή βοηθός τελείωσε τη δουλειά.	F	F	1	Die künstliche Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El asistente jurídico artificial terminó el trabajo.	M	M	1	De kunstmatige paralegal maakte het werk af.	error [incorrect]	N	0
The intelligent paralegal finished the work.	female base	neutral adj	Η έξυπνη νομική βοηθός ολοκλήρωσε τη δουλειά.	F	F	1	Die intelligente Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El inteligente asistente jurídico terminó el trabajo.	M	M	1	De intelligente paralegal maakte het werk af.	error [incorrect]	N	0
The assured paralegal finished the work.	female base	neutral adj	Η σίγουρη νομική βοηθός ολοκλήρωσε την εργασία.	F	F	1	Die versicherte Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El asistente jurídico asegurado terminó el trabajo.	M	M	1	De verzekerde paralegal maakte het werk af.	error [incorrect]	N	0
The clever paralegal finished the work.	female base	neutral adj	Η έξυπνη νομική βοηθός ολοκλήρωσε τη δουλειά.	F	F	1	Die kluge Rechtsanwaltsgehilfin beendete die Arbeit.	F	F	1	El inteligente asistente jurídico terminó el trabajo.	M	M	1	De slimme paralegal maakte het werk af.	error [incorrect]	N	0
The retiring nurse finished the work.	female base	female adj	Η συνταξιοδοτούμενη νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die Krankenschwester im Ruhestand beendete die Arbeit.	F	F	1	La enfermera que se jubilaba terminó el trabajo.	F	F	1	De aftredende verpleegster maakte het werk af.	F	F	1
The pleasant nurse finished the work.	female base	female adj	Η ευχάριστη νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die nette Krankenschwester beendete die Arbeit.	F	F	1	La agradable enfermera terminó el trabajo.	F	F	1	De aardige verpleegster maakte het werk af.	F	F	1
The affectionate nurse finished the work.	female base	female adj	Η στοργική νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die liebevolle Krankenschwester beendete die Arbeit.	F	F	1	La cariñosa enfermera terminó el trabajo.	F	F	1	De liefdevolle verpleegster maakte het werk af.	F	F	1
The gentle nurse finished the work.	female base	female adj	Η ευγενική νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die sanfte Krankenschwester beendete die Arbeit.	F	F	1	La amable enfermera terminó el trabajo.	F	F	1	De zachtaardige verpleegster maakte het werk af.	F	F	1
The shy nurse finished the work.	female base	female adj	Η ντροπαλή νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die schüchterne Krankenschwester beendete die Arbeit.	F	F	1	La tímida enfermera terminó el trabajo.	F	F	1	De verlegen verpleegster maakte het werk af.	F	F	1
The strong nurse finished the work.	female base	male adj	Η δυνατή νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die starke Krankenschwester beendete die Arbeit.	F	F	1	La fuerte enfermera terminó el trabajo.	F	F	1	De sterke verpleegster maakte het werk af.	F	F	1
The serious nurse finished the work.	female base	male adj	Η σοβαρή νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die ernste Krankenschwester beendete die Arbeit.	F	F	1	La enfermera seria terminó el trabajo.	F	F	1	De serieuze verpleegster maakte het werk af.	F	F	1
The frank nurse finished the work.	female base	male adj	Η ειλικρινής νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die offene Krankenschwester beendete die Arbeit.	F	F	1	La enfermera franca terminó el trabajo.	F	F	1	De openhartige verpleegster maakte het werk af.	F	F	1
The stable nurse finished the work.	female base	male adj	Η σταβλίτισσα τελείωσε τη δουλειά.	error [incorrect]	F	0	Die Stallhelferin beendete die Arbeit.	error [incorrect]	F	0	La enfermera del establo terminó el trabajo.	error [incorrect]	F	0	De stalverpleegster maakte het werk af.	error [incorrect]	F	0
The independent nurse finished the work.	female base	male adj	Η ανεξάρτητη νοσοκόμα ολοκλήρωσε το έργο.	F	F	1	Die unabhängige Krankenschwester beendete die Arbeit.	F	F	1	La enfermera independiente terminó el trabajo.	F	F	1	De onafhankelijke verpleegster maakte het werk af.	F	F	1
The dull nurse finished the work.	female base	neutral adj	Η βαρετή νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die langweilige Krankenschwester beendete die Arbeit.	F	F	1	La enfermera aburrida terminó el trabajo.	F	F	1	De saaie verpleegster maakte het werk af.	F	F	1
The artificial nurse finished the work.	female base	neutral adj	Η τεχνητή νοσοκόμα ολοκλήρωσε το έργο.	F	F	1	Die künstliche Krankenschwester beendete die Arbeit.	F	F	1	La enfermera artificial terminó el trabajo.	F	F	1	De kunstmatige verpleegster maakte het werk af.	F	F	1
The intelligent nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die intelligente Krankenschwester beendete die Arbeit.	F	F	1	La inteligente enfermera terminó el trabajo.	F	F	1	De intelligente verpleegster maakte het werk af.	F	F	1
The assured nurse finished the work.	female base	neutral adj	Η σίγουρη νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die versicherte Krankenschwester beendete die Arbeit.	F	F	1	La enfermera asegurada terminó el trabajo.	F	F	1	De verzekerde verpleegster maakte het werk af.	F	F	1
The clever nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die kluge Krankenschwester beendete die Arbeit.	F	F	1	La inteligente enfermera terminó el trabajo.	F	F	1	De slimme verpleegster maakte het werk af.	F	F	1
The retiring receptionist finished the work.	female base	female adj	Η συνταξιούχος ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	F	1	Die scheidende Empfangsdame beendete die Arbeit.	F	F	1	La recepcionista jubilada terminó el trabajo.	F	F	1	De aftredende receptioniste maakte het werk af.	F	F	1
The pleasant receptionist finished the work.	female base	female adj	Η ευχάριστη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	F	1	Die freundliche Empfangsdame beendete die Arbeit.	F	F	1	La agradable recepcionista terminó el trabajo.	F	F	1	De vriendelijke receptioniste maakte het werk af.	F	F	1
The affectionate receptionist finished the work.	female base	female adj	Η στοργική ρεσεψιονίστ τελείωσε τη δουλειά.	F	F	1	Die liebevolle Empfangsdame beendete die Arbeit.	F	F	1	La afectuosa recepcionista terminó el trabajo.	F	F	1	De vriendelijke receptioniste maakte het werk af.	F	F	1
The gentle receptionist finished the work.	female base	female adj	Η ευγενική ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	F	1	Die freundliche Empfangsdame beendete die Arbeit.	F	F	1	La amable recepcionista terminó el trabajo.	F	F	1	De vriendelijke receptioniste maakte het werk af.	F	F	1
The shy receptionist finished the work.	female base	female adj	Η ντροπαλή ρεσεψιονίστ τελείωσε τη δουλειά.	F	F	1	Die schüchterne Empfangsdame beendete ihre Arbeit.	F	F	1	La tímida recepcionista terminó el trabajo.	F	F	1	De verlegen receptioniste maakte het werk af.	F	F	1
