base	base_type	sentences	type	DE_GPT-4o_v1	DE_GPT-4o_v2	DE_GPT-4o_v3	DE_GPT-4o_v4	DE_GPT-4o_v5	DE_GPT-4o_v6	DE_GPT-4o_v7	DE_GPT-4o_v8
carpenter	male_base	The carpenter finished the work.	base	Der Tischler hat die Arbeit beendet.	Der Zimmermann hat die Arbeit beendet.	Die Tischlerin hat die Arbeit beendet.	Die Zimmerin hat die Arbeit beendet. 	Die tischlernde Person hat die Arbeit beendet.	Die zimmernde Person hat die Arbeit beendet.	Der*die Tischler*in hat die Arbeit beendet.	Der*die Zimmermann*frau hat die Arbeit beendet.
firefighter	male_base	The firefighter finished the work.	base	Der Feuerwehrmann hat seine Arbeit beendet.	Die Feuerwehrfrau hat ihre Arbeit beendet.	Die Feuerwehrperson hat ihre Arbeit beendet.					
plumber	male_base	The plumber finished the work.	base	Der Installateur hat die Arbeit beendet.	Die Installateurin hat die Arbeit beendet.	Die Installateur*innen haben die Arbeit beendet.	Der Installateur/die Installateurin hat die Arbeit beendet.				
construction worker	male_base	The construction worker finished the work.	base	Der Bauarbeiter hat die Arbeit beendet.	Die Bauarbeiterin hat die Arbeit beendet.	Die Bauarbeitenden haben die Arbeit beendet.	Die Bauarbeitperson hat die Arbeit beendet.				
laborer	male_base	The laborer finished the work.	base	Der Arbeiter hat die Arbeit beendet.	Die Arbeiterin hat die Arbeit beendet.	Die Arbeitsperson hat die Arbeit beendet.	Der*die Arbeitende hat die Arbeit beendet.				
mechanic	male_base	The mechanic finished the work.	base	Der Mechaniker hat die Arbeit beendet.	Die Mechanikerin hat die Arbeit beendet.	Die Mechaniker*in hat die Arbeit beendet.	Der*die Mechaniker*in hat die Arbeit beendet.	Die Mechanikfachkraft hat die Arbeit beendet.			
driver	male_base	The driver finished the work.	base	Der Fahrer beendete die Arbeit.	Die Fahrerin beendete die Arbeit.	Der*die Fahrer*in beendete die Arbeit.					
machinist	male_base	The machinist finished the work.	base	Der Maschinist hat die Arbeit beendet.	Die Maschinistin hat die Arbeit beendet.	Die/Der Maschinist*in hat die Arbeit beendet.	Der/die Maschinist(in) hat die Arbeit beendet.				
painter	male_base	The painter finished the work.	base	Der Maler hat die Arbeit beendet.	Die Malerin hat die Arbeit beendet.	Die Maler*innen haben die Arbeit beendet.	Der*die Maler*in hat die Arbeit beendet.				
chemist	neutral_base	The chemist finished the work.	base	Der Chemiker hat die Arbeit abgeschlossen.	Die Chemikerin hat die Arbeit abgeschlossen.	Die*der Chemiker*in hat die Arbeit abgeschlossen.	Der/die Chemiker(in) hat die Arbeit abgeschlossen.				
manager	neutral_base	The manager finished the work.	base	Der Manager hat die Arbeit beendet.	Die Managerin hat die Arbeit beendet.	Die*der Manager*in hat die Arbeit beendet.					
supervisor	neutral_base	The supervisor finished the work.	base	Der Vorgesetzte hat die Arbeit beendet.	Die Vorgesetzte hat die Arbeit beendet.	Die Aufsichtsperson hat die Arbeit beendet.					
salesperson	neutral_base	The salesperson finished the work.	base	Der Verkäufer hat die Arbeit abgeschlossen.	Die Verkäuferin hat die Arbeit abgeschlossen.	Die Verkaufsperson hat die Arbeit abgeschlossen.					
photographer	neutral_base	The photographer finished the work.	base	Der Fotograf hat die Arbeit beendet.	Die Fotografin hat die Arbeit beendet.	Die fotografierende Person hat die Arbeit beendet.	Der*die Fotograf*in hat die Arbeit beendet.				
bartender	neutral_base	The bartender finished the work.	base	Der Barkeeper hat die Arbeit beendet.	Die Barkeeperin hat die Arbeit beendet.	Die Barkeeper*innen haben die Arbeit beendet.	Der*die Barkeeper*in hat die Arbeit beendet.				
dispatcher	neutral_base	The dispatcher finished the work.	base	Der Disponent hat die Arbeit abgeschlossen.	Die Disponentin hat die Arbeit abgeschlossen.	Die Disponent*innen haben die Arbeit abgeschlossen. 	Der Dispatcher hat die Arbeit abgeschlossen.	Die Dispatcher*in hat die Arbeit abgeschlossen.			
judge	neutral_base	The judge finished the work.	base	Der Richter hat die Arbeit beendet.	Die Richterin hat die Arbeit beendet.						
artist	neutral_base	The artist finished the work.	base	Der Künstler hat das Werk beendet.	Die Künstlerin hat das Werk beendet.	Die Kunstschaffende hat das Werk beendet.					
designer	neutral_base	The designer finished the work.	base	Der Designer hat die Arbeit abgeschlossen.	Die Designerin hat die Arbeit abgeschlossen.	Die Designenden haben die Arbeit abgeschlossen.	Der/die Designer*in hat die Arbeit abgeschlossen. 	Der/die Designer(in) hat die Arbeit abgeschlossen. 			
