base	base_type	sentences	type	DE_GPT-4o_v1	DE_ann_v1	DE_GPT-4o_v2	DE_ann_v2	DE_GPT-4o_v3	DE_ann_v3	DE_GPT-4o_v4	DE_ann_v4	DE_GPT-4o_v5	DE_ann_v5	DE_GPT-4o_v6	DE_ann_v6	DE_GPT-4o_v7	DE_ann_v7	DE_GPT-4o_v8	DE_ann_v8	DE No. of TRs	at least 1 masc version?	at least 1 fem version?	at least 1 N version?	num_M+F	num_N-I	num_M	num_F	num_N	num_error[imixed]	num_error[incorrect]	percentage_correct	percentage_error	percentage_MF	percentage_NI	percentage_M	percentage_F	percentage_N	Column 1
electrician	male_base	The electrician finished the work.	base	Der Elektriker hat die Arbeit beendet.	M	Die Elektrikerin hat die Arbeit beendet.	F	Die Elektrofachkraft hat die Arbeit beendet.	N		n/a		n/a		n/a		n/a		n/a	3	yes	yes	yes	0	0	1	1	1	0	0	1	0	0	0	0.3333333333	0.3333333333	0.3333333333	1
carpenter	male_base	The carpenter finished the work.	base	Der Tischler hat die Arbeit beendet.	M	Der Zimmermann hat die Arbeit beendet.	M	Die Tischlerin hat die Arbeit beendet.	F	Die Zimmerin hat die Arbeit beendet. 	F	Die tischlernde Person hat die Arbeit beendet.	N	Die zimmernde Person hat die Arbeit beendet.	error [incorrect]	Der*die Tischler*in hat die Arbeit beendet.	N/I	Der*die Zimmermann*frau hat die Arbeit beendet.	M + F	8	yes	yes	yes	1	1	2	2	1	0	1	0.875	0.125	0.125	0.125	0.25	0.25	0.125	1
firefighter	male_base	The firefighter finished the work.	base	Der Feuerwehrmann hat seine Arbeit beendet.	M	Die Feuerwehrfrau hat ihre Arbeit beendet.	F	Die Feuerwehrperson hat ihre Arbeit beendet.	N		n/a		n/a		n/a		n/a		n/a	3	yes	yes	yes	0	0	1	1	1	0	0	1	0	0	0	0.3333333333	0.3333333333	0.3333333333	1
plumber	male_base	The plumber finished the work.	base	Der Installateur hat die Arbeit beendet.	M	Die Installateurin hat die Arbeit beendet.	F	Die Installateur*innen haben die Arbeit beendet.	error [incorrect]	Der Installateur/die Installateurin hat die Arbeit beendet.	M + F		n/a		n/a		n/a		n/a	4	yes	yes	no	1	0	1	1	0	0	1	0.75	0.25	0.25	0	0.25	0.25	0	1
construction worker	male_base	The construction worker finished the work.	base	Der Bauarbeiter hat die Arbeit beendet.	M	Die Bauarbeiterin hat die Arbeit beendet.	F	Die Bauarbeitenden haben die Arbeit beendet.	error [incorrect]	Die Bauarbeitperson hat die Arbeit beendet.	N		n/a		n/a		n/a		n/a	4	yes	yes	yes	0	0	1	1	1	0	1	0.75	0.25	0	0	0.25	0.25	0.25	1
laborer	male_base	The laborer finished the work.	base	Der Arbeiter hat die Arbeit beendet.	M	Die Arbeiterin hat die Arbeit beendet.	F	Die Arbeitsperson hat die Arbeit beendet.	N	Der*die Arbeitende hat die Arbeit beendet.	N/I		n/a		n/a		n/a		n/a	4	yes	yes	yes	0	1	1	1	1	0	0	1	0	0	0.25	0.25	0.25	0.25	1
mechanic	male_base	The mechanic finished the work.	base	Der Mechaniker hat die Arbeit beendet.	M	Die Mechanikerin hat die Arbeit beendet.	F	Die Mechaniker*in hat die Arbeit beendet.	error [incorrect]	Der*die Mechaniker*in hat die Arbeit beendet.	N/I	Die Mechanikfachkraft hat die Arbeit beendet.	N		n/a		n/a		n/a	5	yes	yes	yes	0	1	1	1	1	0	1	0.8	0.2	0	0.2	0.2	0.2	0.2	1
driver	male_base	The driver finished the work.	base	Der Fahrer beendete die Arbeit.	M	Die Fahrerin beendete die Arbeit.	F	Der*die Fahrer*in beendete die Arbeit.	N/I		n/a		n/a		n/a		n/a		n/a	3	yes	yes	yes	0	1	1	1	0	0	0	1	0	0	0.3333333333	0.3333333333	0.3333333333	0	1
machinist	male_base	The machinist finished the work.	base	Der Maschinist hat die Arbeit beendet.	M	Die Maschinistin hat die Arbeit beendet.	F	Die/Der Maschinist*in hat die Arbeit beendet.	N/I	Der/die Maschinist(in) hat die Arbeit beendet.	M + F		n/a		n/a		n/a		n/a	4	yes	yes	yes	1	1	1	1	0	0	0	1	0	0.25	0.25	0.25	0.25	0	1
painter	male_base	The painter finished the work.	base	Der Maler hat die Arbeit beendet.	M	Die Malerin hat die Arbeit beendet.	F	Die Maler*innen haben die Arbeit beendet.	error [incorrect]	Der*die Maler*in hat die Arbeit beendet.	N/I		n/a		n/a		n/a		n/a	4	yes	yes	yes	0	1	1	1	0	0	1	0.75	0.25	0	0.25	0.25	0.25	0	1
chemist	neutral_base	The chemist finished the work.	base	Der Chemiker hat die Arbeit abgeschlossen.	M	Die Chemikerin hat die Arbeit abgeschlossen.	F	Die*der Chemiker*in hat die Arbeit abgeschlossen.	N/I	Der/die Chemiker(in) hat die Arbeit abgeschlossen.	M + F		n/a		n/a		n/a		n/a	4	yes	yes	yes	1	1	1	1	0	0	0	1	0	0.25	0.25	0.25	0.25	0	1
manager	neutral_base	The manager finished the work.	base	Der Manager hat die Arbeit beendet.	M	Die Managerin hat die Arbeit beendet.	F	Die*der Manager*in hat die Arbeit beendet.	N/I		n/a		n/a		n/a		n/a		n/a	3	yes	yes	yes	0	1	1	1	0	0	0	1	0	0	0.3333333333	0.3333333333	0.3333333333	0	1
supervisor	neutral_base	The supervisor finished the work.	base	Der Vorgesetzte hat die Arbeit beendet.	M	Die Vorgesetzte hat die Arbeit beendet.	F	Die Aufsichtsperson hat die Arbeit beendet.	N		n/a		n/a		n/a		n/a		n/a	3	yes	yes	yes	0	0	1	1	1	0	0	1	0	0	0	0.3333333333	0.3333333333	0.3333333333	1
salesperson	neutral_base	The salesperson finished the work.	base	Der Verkäufer hat die Arbeit abgeschlossen.	M	Die Verkäuferin hat die Arbeit abgeschlossen.	F	Die Verkaufsperson hat die Arbeit abgeschlossen.	N		n/a		n/a		n/a		n/a		n/a	3	yes	yes	yes	0	0	1	1	1	0	0	1	0	0	0	0.3333333333	0.3333333333	0.3333333333	1
photographer	neutral_base	The photographer finished the work.	base	Der Fotograf hat die Arbeit beendet.	M	Die Fotografin hat die Arbeit beendet.	F	Die fotografierende Person hat die Arbeit beendet.	N	Der*die Fotograf*in hat die Arbeit beendet.	N/I		n/a		n/a		n/a		n/a	4	yes	yes	yes	0	1	1	1	1	0	0	1	0	0	0.25	0.25	0.25	0.25	1
bartender	neutral_base	The bartender finished the work.	base	Der Barkeeper hat die Arbeit beendet.	M	Die Barkeeperin hat die Arbeit beendet.	F	Die Barkeeper*innen haben die Arbeit beendet.	error [incorrect]	Der*die Barkeeper*in hat die Arbeit beendet.	N/I		n/a		n/a		n/a		n/a	4	yes	yes	yes	0	1	1	1	0	0	1	0.75	0.25	0	0.25	0.25	0.25	0	1
dispatcher	neutral_base	The dispatcher finished the work.	base	Der Disponent hat die Arbeit abgeschlossen.	M	Die Disponentin hat die Arbeit abgeschlossen.	F	Die Disponent*innen haben die Arbeit abgeschlossen. 	error [incorrect]	Der Dispatcher hat die Arbeit abgeschlossen.	M	Die Dispatcher*in hat die Arbeit abgeschlossen.	error [incorrect]		n/a		n/a		n/a	5	yes	yes	no	0	0	2	1	0	0	2	0.6	0.4	0	0	0.4	0.2	0	1
judge	neutral_base	The judge finished the work.	base	Der Richter hat die Arbeit beendet.	M	Die Richterin hat die Arbeit beendet.	F		n/a		n/a		n/a		n/a		n/a		n/a	2	yes	yes	no	0	0	1	1	0	0	0	1	0	0	0	0.5	0.5	0	1
artist	neutral_base	The artist finished the work.	base	Der Künstler hat das Werk beendet.	M	Die Künstlerin hat das Werk beendet.	F	Die Kunstschaffende hat das Werk beendet.	F		n/a		n/a		n/a		n/a		n/a	3	yes	yes	no	0	0	1	2	0	0	0	1	0	0	0	0.3333333333	0.6666666667	0	1
designer	neutral_base	The designer finished the work.	base	Der Designer hat die Arbeit abgeschlossen.	M	Die Designerin hat die Arbeit abgeschlossen.	F	Die Designenden haben die Arbeit abgeschlossen.	error [incorrect]	Der/die Designer*in hat die Arbeit abgeschlossen. 	N/I	Der/die Designer(in) hat die Arbeit abgeschlossen. 	M + F		n/a		n/a		n/a	5	yes	yes	yes	1	1	1	1	0	0	1	0.8	0.2	0.2	0.2	0.2	0.2	0	1
