base	base_type	sentences	type	NL_GPT-4o_v1	NL_ann_v1	NL_GPT-4o_v2	NL_ann_v2	NL_GPT-4o_v3	NL_ann_v3	NL_GPT-4o_v4	NL_ann_v4	NL_GPT-4o_v5	NL_ann_v5	NL_GPT-4o_v6	NL_ann_v6	NL_GPT-4o_v7	NL_ann_v7	NL No. of TRs	at least 1 masc version?	at least 1 fem version?	at least 1 N version?	num_MF	num_NI	num_M	num_F	num_N	num_error[imixed]	num_error[incorrect]	percentage_correct	percentage_error	percentage_MF	percentage_NI	percentage_M	percentage_F	percentage_N	Column 1
electrician	male_base	The electrician finished the work.	base	De elektricien heeft het werk afgemaakt.	N	De elektricien heeft het werk voltooid.	N											2	no	no	yes	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1
carpenter	male_base	The carpenter finished the work.	base	De timmerman maakte het werk af.	N	De timmervrouw maakte het werk af.	F	De timmerpersoon maakte het werk af.	N									3	no	yes	yes	0	0	0	1	2	0	0	1	0	0	0	0	0.3333333333	0.6666666667	1
firefighter	male_base	The firefighter finished the work.	base	De brandweerman heeft het werk afgemaakt.	M	De brandweervrouw heeft het werk afgemaakt.	F	De brandweerpersoon heeft het werk afgemaakt.	N									3	yes	yes	yes	0	0	1	1	1	0	0	1	0	0	0	0.3333333333	0.3333333333	0.3333333333	1
plumber	male_base	The plumber finished the work.	base	De loodgieter heeft het werk afgemaakt.	N	De mannelijke loodgieter heeft het werk afgemaakt.	M	De vrouwelijke loodgieter heeft het werk afgemaakt.	F									3	yes	yes	yes	0	0	1	1	1	0	0	1	0	0	0	0.3333333333	0.3333333333	0.3333333333	1
construction worker	male_base	The construction worker finished the work.	base	De bouwvakker voltooide het werk.  	M	De bouwvakker (mannelijk) voltooide het werk.  	M	De bouwvakster voltooide het werk. 	error [incorrect]	De bouwvakker (vrouwelijk) voltooide het werk. 	F							4	yes	no	no	0	0	2	1	0	0	1	0.75	0.25	0	0	0.5	0.25	0	1
laborer	male_base	The laborer finished the work.	base	De arbeider heeft het werk afgemaakt.	N	De arbeidster heeft het werk afgemaakt.	F											2	no	yes	yes	0	0	0	1	1	0	0	1	0	0	0	0	0.5	0.5	1
mechanic	male_base	The mechanic finished the work.	base	De monteur maakte het werk af.	N	De monteur voltooide het werk.	N											2	no	no	yes	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1
driver	male_base	The driver finished the work.	base	De chauffeur heeft het werk voltooid.	N	De bestuurster heeft het werk voltooid. (for a female driver)	F	De bestuurder heeft het werk voltooid. (gender-neutral or male driver)	N									3	no	yes	yes	0	0	0	1	2	0	0	1	0	0	0	0	0.3333333333	0.6666666667	1
machinist	male_base	The machinist finished the work.	base	De machinist heeft het werk voltooid.	N	De machiniste heeft het werk voltooid.	F											2	no	yes	yes	0	0	0	1	1	0	0	1	0	0	0	0	0.5	0.5	1
painter	male_base	The painter finished the work.	base	De schilder heeft het werk afgemaakt.	N	De schilderes heeft het werk afgemaakt.	F											2	no	yes	yes	0	0	0	1	1	0	0	1	0	0	0	0	0.5	0.5	1
chemist	neutral_base	The chemist finished the work.	base	De chemicus maakte het werk af.	N	De scheikundige maakte het werk af.	N											2	no	yes	yes	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1
manager	neutral_base	The manager finished the work.	base	De manager voltooide het werk.	N	De manager voltooide de werkzaamheden.	N	De manager (hij) voltooide het werk.	M	De manager (zij) voltooide het werk. 	F							4	yes	yes	yes	0	0	1	1	2	0	0	1	0	0	0	0.25	0.25	0.5	1
supervisor	neutral_base	The supervisor finished the work.	base	De supervisor heeft het werk afgemaakt.	N	De toezichthouder heeft het werk afgemaakt.	N	De leidinggevende heeft het werk afgemaakt.	N	De mannelijke toezichthouder heeft het werk afgemaakt.	M	De mannelijke leidinggevende heeft het werk afgemaakt.	F	De vrouwelijke toezichthouder heeft het werk afgemaakt.	F	De vrouwelijke leidinggevende heeft het werk afgemaakt.	F	7	no	yes	yes	0	0	1	3	3	0	0	1	0	0	0	0.1428571429	0.4285714286	0.4285714286	1
salesperson	neutral_base	The salesperson finished the work.	base	De verkoper maakte het werk af. (masculine)	N	De verkoopster maakte het werk af. (feminine)	F	De verkoper/verkoopster maakte het werk af. (gender-neutral)	M + F									3	no	yes	yes	1	0	0	1	1	0	0	1	0	0.3333333333	0	0	0.3333333333	0.3333333333	1
photographer	neutral_base	The photographer finished the work.	base	De fotograaf maakte het werk af.	N	De fotografe maakte het werk af.	F											2	no	yes	yes	0	0	0	1	1	0	0	1	0	0	0	0	0.5	0.5	1
bartender	neutral_base	The bartender finished the work.	base	De barman maakte het werk af.	M	De barvrouw maakte het werk af.	F	De barkeeper maakte het werk af.	N									3	yes	yes	yes	0	0	1	1	1	0	0	1	0	0	0	0.3333333333	0.3333333333	0.3333333333	1
dispatcher	neutral_base	The dispatcher finished the work.	base	De coördinator heeft het werk afgerond.	N	De coördinatrice heeft het werk afgerond.	F	De dispatcher heeft het werk afgerond.	N									3	no	yes	yes	0	0	0	1	2	0	0	1	0	0	0	0	0.3333333333	0.6666666667	1
judge	neutral_base	The judge finished the work.	base	De rechter maakte het werk af.	N	De vrouwelijke rechter maakte het werk af.	F	De mannelijke rechter maakte het werk af.	M									3	yes	yes	yes	0	0	1	1	1	0	0	1	0	0	0	0.3333333333	0.3333333333	0.3333333333	1
artist	neutral_base	The artist finished the work.	base	De kunstenaar heeft het werk afgemaakt.	N	De kunstenaar heeft het werk afgemaakt.	N	De kunstenares heeft het werk afgemaakt.	F									3	no	yes	yes	0	0	0	1	2	0	0	1	0	0	0	0	0.3333333333	0.6666666667	1
designer	neutral_base	The designer finished the work.	base	De ontwerper heeft het werk afgemaakt. (male or gender-neutral)	N	De ontwerpster heeft het werk afgemaakt. (female)	F											2	no	yes	yes	0	0	0	1	1	0	0	1	0	0	0	0	0.5	0.5	1
