source_sentences	base	adjective
The intelligent machinist finished the work.	male base	neutral adjective
The assured machinist finished the work.	male base	neutral adjective
The clever machinist finished the work.	male base	neutral adjective
The retiring painter finished the work.	male base	female adj
The pleasant painter finished the work.	male base	female adj
The affectionate painter finished the work.	male base	female adj
The gentle painter finished the work.	male base	female adj
The shy painter finished the work.	male base	female adj
The strong painter finished the work.	male base	male adj
The serious painter finished the work.	male base	male adj
The frank painter finished the work.	male base	male adj
The stable painter finished the work.	male base	male adj
The independent painter finished the work.	male base	male adj
The dull painter finished the work.	male base	neutral adjective
The artificial painter finished the work.	male base	neutral adjective
The intelligent painter finished the work.	male base	neutral adjective
The assured painter finished the work.	male base	neutral adjective
The clever painter finished the work.	male base	neutral adjective
The retiring chemist finished the work.	neutral base	female adj
The pleasant chemist finished the work.	neutral base	female adj
The affectionate chemist finished the work.	neutral base	female adj
The gentle chemist finished the work.	neutral base	female adj
The shy chemist finished the work.	neutral base	female adj
The strong chemist finished the work.	neutral base	male adj
The serious chemist finished the work.	neutral base	male adj
The frank chemist finished the work.	neutral base	male adj
The stable chemist finished the work.	neutral base	male adj
The independent chemist finished the work.	neutral base	male adj
The dull chemist finished the work.	neutral base	neutral adjective
The artificial chemist finished the work.	neutral base	neutral adjective
The intelligent chemist finished the work.	neutral base	neutral adjective
The assured chemist finished the work.	neutral base	neutral adjective
The clever chemist finished the work.	neutral base	neutral adjective
The retiring manager finished the work.	neutral base	female adj
The pleasant manager finished the work.	neutral base	female adj
The affectionate manager finished the work.	neutral base	female adj
The gentle manager finished the work.	neutral base	female adj
The shy manager finished the work.	neutral base	female adj
The strong manager finished the work.	neutral base	male adj
The serious manager finished the work.	neutral base	male adj
The frank manager finished the work.	neutral base	male adj
The stable manager finished the work.	neutral base	male adj
The independent manager finished the work.	neutral base	male adj
The dull manager finished the work.	neutral base	neutral adjective
The artificial manager finished the work.	neutral base	neutral adjective
The intelligent manager finished the work.	neutral base	neutral adjective
The assured manager finished the work.	neutral base	neutral adjective
The clever manager finished the work.	neutral base	neutral adjective
The retiring supervisor finished the work.	neutral base	female adj
The pleasant supervisor finished the work.	neutral base	female adj
The affectionate supervisor finished the work.	neutral base	female adj
The gentle supervisor finished the work.	neutral base	female adj
The shy supervisor finished the work.	neutral base	female adj
The strong supervisor finished the work.	neutral base	male adj
The serious supervisor finished the work.	neutral base	male adj
The frank supervisor finished the work.	neutral base	male adj
The stable supervisor finished the work.	neutral base	male adj
The independent supervisor finished the work.	neutral base	male adj
The dull supervisor finished the work.	neutral base	neutral adjective
The artificial supervisor finished the work.	neutral base	neutral adjective
The intelligent supervisor finished the work.	neutral base	neutral adjective
The assured supervisor finished the work.	neutral base	neutral adjective
The clever supervisor finished the work.	neutral base	neutral adjective
The retiring salesperson finished the work.	neutral base	female adj
The pleasant salesperson finished the work.	neutral base	female adj
The affectionate salesperson finished the work.	neutral base	female adj
The gentle salesperson finished the work.	neutral base	female adj
The shy salesperson finished the work.	neutral base	female adj
The strong salesperson finished the work.	neutral base	male adj
The serious salesperson finished the work.	neutral base	male adj
The frank salesperson finished the work.	neutral base	male adj
The stable salesperson finished the work.	neutral base	male adj
The independent salesperson finished the work.	neutral base	male adj
The dull salesperson finished the work.	neutral base	neutral adjective
The artificial salesperson finished the work.	neutral base	neutral adjective
The intelligent salesperson finished the work.	neutral base	neutral adjective
The assured salesperson finished the work.	neutral base	neutral adjective
The clever salesperson finished the work.	neutral base	neutral adjective
The retiring photographer finished the work.	neutral base	female adj
The pleasant photographer finished the work.	neutral base	female adj
The affectionate photographer finished the work.	neutral base	female adj
The gentle photographer finished the work.	neutral base	female adj
The shy photographer finished the work.	neutral base	female adj
The strong photographer finished the work.	neutral base	male adj
The serious photographer finished the work.	neutral base	male adj
The frank photographer finished the work.	neutral base	male adj
The stable photographer finished the work.	neutral base	male adj
The independent photographer finished the work.	neutral base	male adj
The dull photographer finished the work.	neutral base	neutral adjective
The artificial photographer finished the work.	neutral base	neutral adjective
The intelligent photographer finished the work.	neutral base	neutral adjective
The assured photographer finished the work.	neutral base	neutral adjective
The clever photographer finished the work.	neutral base	neutral adjective
The retiring bartender finished the work.	neutral base	female adj
The pleasant bartender finished the work.	neutral base	female adj
The affectionate bartender finished the work.	neutral base	female adj
The gentle bartender finished the work.	neutral base	female adj
The shy bartender finished the work.	neutral base	female adj
The strong bartender finished the work.	neutral base	male adj
The serious bartender finished the work.	neutral base	male adj
The frank bartender finished the work.	neutral base	male adj
The stable bartender finished the work.	neutral base	male adj
The independent bartender finished the work.	neutral base	male adj
The dull bartender finished the work.	neutral base	neutral adjective
The artificial bartender finished the work.	neutral base	neutral adjective
The intelligent bartender finished the work.	neutral base	neutral adjective
The assured bartender finished the work.	neutral base	neutral adjective
The clever bartender finished the work.	neutral base	neutral adjective
The retiring dispatcher finished the work.	neutral base	female adj
The pleasant dispatcher finished the work.	neutral base	female adj
The affectionate dispatcher finished the work.	neutral base	female adj
The gentle dispatcher finished the work.	neutral base	female adj
The shy dispatcher finished the work.	neutral base	female adj
The strong dispatcher finished the work.	neutral base	male adj
The serious dispatcher finished the work.	neutral base	male adj
The frank dispatcher finished the work.	neutral base	male adj
The stable dispatcher finished the work.	neutral base	male adj
The independent dispatcher finished the work.	neutral base	male adj
The dull dispatcher finished the work.	neutral base	neutral adjective
The artificial dispatcher finished the work.	neutral base	neutral adjective
The intelligent dispatcher finished the work.	neutral base	neutral adjective
The assured dispatcher finished the work.	neutral base	neutral adjective
The clever dispatcher finished the work.	neutral base	neutral adjective
The retiring judge finished the work.	neutral base	female adj
The pleasant judge finished the work.	neutral base	female adj
The affectionate judge finished the work.	neutral base	female adj
The gentle judge finished the work.	neutral base	female adj
The shy judge finished the work.	neutral base	female adj
The strong judge finished the work.	neutral base	male adj
The serious judge finished the work.	neutral base	male adj
The frank judge finished the work.	neutral base	male adj
The stable judge finished the work.	neutral base	male adj
The independent judge finished the work.	neutral base	male adj
The dull judge finished the work.	neutral base	neutral adjective
The artificial judge finished the work.	neutral base	neutral adjective
The intelligent judge finished the work.	neutral base	neutral adjective
The assured judge finished the work.	neutral base	neutral adjective
The clever judge finished the work.	neutral base	neutral adjective
The retiring artist finished the work.	neutral base	female adj
The pleasant artist finished the work.	neutral base	female adj
The affectionate artist finished the work.	neutral base	female adj
The gentle artist finished the work.	neutral base	female adj
The shy artist finished the work.	neutral base	female adj
The strong artist finished the work.	neutral base	male adj
The serious artist finished the work.	neutral base	male adj
The frank artist finished the work.	neutral base	male adj
The stable artist finished the work.	neutral base	male adj
The independent artist finished the work.	neutral base	male adj
The dull artist finished the work.	neutral base	neutral adjective
The artificial artist finished the work.	neutral base	neutral adjective
The intelligent artist finished the work.	neutral base	neutral adjective
The assured artist finished the work.	neutral base	neutral adjective
The clever artist finished the work.	neutral base	neutral adjective
The retiring designer finished the work.	neutral base	female adj
The pleasant designer finished the work.	neutral base	female adj
The affectionate designer finished the work.	neutral base	female adj
The gentle designer finished the work.	neutral base	female adj
The shy designer finished the work.	neutral base	female adj
The strong designer finished the work.	neutral base	male adj
The serious designer finished the work.	neutral base	male adj
The frank designer finished the work.	neutral base	male adj
The stable designer finished the work.	neutral base	male adj
The independent designer finished the work.	neutral base	male adj
The dull designer finished the work.	neutral base	neutral adjective
The artificial designer finished the work.	neutral base	neutral adjective
The intelligent designer finished the work.	neutral base	neutral adjective
The assured designer finished the work.	neutral base	neutral adjective
The clever designer finished the work.	neutral base	neutral adjective
