adj5_sentences	type_base	type_adj	EL_EuroLLM	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_EuroLLM	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_EuroLLM	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_EuroLLM	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The dull secretary finished the work.	female base	neutral adj	Η νωθρή γραμματέας τελείωσε τη δουλειά της.	F	M	0	Die langweilige Sekretärin hat die Arbeit beendet.	F	F	1	La seca secretaria terminó el trabajo.	F	F	1	De saaie secretaris is klaar met het werk.	N	M	0
The artificial secretary finished the work.	female base	neutral adj	Ο τεχνητός γραμματέας τελείωσε τη δουλειά.	M	F	0	Die künstliche Sekretärin hat die Arbeit beendet.	F	F	1	La secretaria artificial terminó el trabajo.	F	F	1	De kunstmatige secretaresse had het werk af.	F	F	1
The intelligent secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας τελείωσε τη δουλειά.	F	F	1	Die intelligente Sekretärin erledigte die Arbeit.	F	F	1	La inteligente secretaria terminó el trabajo.	F	F	1	De intelligente secretaris maakte het werk af.	N	M	0
The assured secretary finished the work.	female base	neutral adj	Η καθησυχασμένη γραμματέας ολοκλήρωσε τις εργασίες.	F	F	1	Die zuverlässige Sekretärin beendete ihre Arbeit.	F	F	1	La secretaria segura terminó el trabajo.	F	F	1	De verzekerde secretaresse had het werk voltooid.	F	F	1
The clever secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας τελείωσε τη δουλειά.	F	M	0	Der kluge Sekretär beendete die Arbeit.	M	M	1	La inteligente secretaria terminó el trabajo.	F	F	1	De slimme secretaris maakte het werk af.	N	M	0
The retiring nutritionist finished the work.	female base	female adj	Ο αναχωρών διαιτολόγος τελείωσε τη δουλειά.	F	F	1	Die pensionierte Ernährungsberaterin beendete die Arbeit.	F	F	1	El nutricionista que se va a retirar terminó el trabajo.	M	M	1	De voedingsdeskundige die gaat stoppen, heeft zijn werk afgerond.	error [incorrect]	M	0
The pleasant nutritionist finished the work.	female base	female adj	Η καλή διατροφολόγος τελείωσε τη δουλειά.	F	M	0	Die angenehme Ernährungswissenschaftlerin beendete die Arbeit.	F	F	1	La agradable nutricionista terminó el trabajo.	F	F	1	De vriendelijke diëtist had het werk afgerond.	N	M	0
The affectionate nutritionist finished the work.	female base	female adj	Ο αφοσιωμένος διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Die liebevolle Ernährungsberaterin beendete die Arbeit.	F	F	1	La cariñosa nutricionista terminó su trabajo.	F	F	1	De beminnelijke voedingsdeskundige is klaar met het werk.	N	M	0
The gentle nutritionist finished the work.	female base	female adj	Ο διακριτικός διατροφολόγος ολοκλήρωσε την εργασία.	error [incorrect]	M	0	Die freundliche Ernährungsberaterin beendete die Arbeit.	F	F	1	El nutricionista amable terminó el trabajo.	M	M	1	De rustige voedingsdeskundige heeft haar werk afgerond.	error [incorrect]	F	0
The shy nutritionist finished the work.	female base	female adj	Ο ντροπαλός διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Die schüchterne Ernährungsberaterin hat die Arbeit beendet.	F	F	1	El nutricionista tímido terminó el trabajo.	M	M	1	De verlegen voedingsdeskundige had het werk af.	N	F	0
The strong nutritionist finished the work.	female base	male adj	Ο ισχυρός διατροφολόγος ολοκλήρωσε την εργασία.	M	M	1	The strong nutritionist completed the work.	error [incorrect]	error	0	La nutricionista de gran experiencia culminó el trabajo.	error [incorrect]	F	0	De goede voedingsdeskundige voltooide het werk.	N	M	0
The serious nutritionist finished the work.	female base	male adj	Ο σοβαρός διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der ernste Ernährungsberater hat die Arbeit beendet.	M	M	1	La nutricionista seria termino el trabajo.	F	F	1	De strenge voedingsdeskundige heeft het werk afgerond.	N	M	0
The frank nutritionist finished the work.	female base	male adj	Ο ειλικρινής διατροφολόγος τελείωσε τη δουλειά.	M	M	1	The direct translation of the given sentence into German is: Die offene Ernährungsberaterin be	error [incorrect]	error	0	El nutricionista honesto finalizó el trabajo.	M	M	1	De eerlijke voedingsdeskundige heeft het werk afgerond.	N	M	0
The stable nutritionist finished the work.	female base	male adj	Ο σταθερός διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Die verlässliche Ernährungsberaterin beendete ihre Arbeit.	F	F	1	El nutricionista estable terminó el trabajo.	M	M	1	De vaste voedingsdeskundige heeft het werk afgemaakt.	N	M	0
The independent nutritionist finished the work.	female base	male adj	Ο ανεξάρτητος διαιτολόγος ολοκλήρωσε το έργο.	M	M	1	Die unabhängige Ernährungswissenschaftlerin beendete die Arbeit.	F	F	1	La nutricionista independiente terminó el trabajo.	F	F	1	De onhankelijke diëtiste heeft het werk afgerond.	F	F	1
The dull nutritionist finished the work.	female base	neutral adj	Ο μουτσο διαιτολόγος τελείωσε τη δουλειά.	error [incorrect]	M	0	The boring nutritionist has finished the work.	error [incorrect]	error	0	El aburrido nutricionista terminó el trabajo.	M	M	1	De saaie voedingsdeskundige heeft het werk afgerond.	N	M	0
The artificial nutritionist finished the work.	female base	neutral adj	Ο τεχνητός διατροφολόγος τελείωσε τη δουλειά.	M	F	0	Der künstliche Ernährungsberater beendete die Arbeit.	M	M	1	La nutricionista artificial terminó el trabajo.	F	F	1	De kunstmatige diëtist heeft het werk beëindigd.	N	M	0
The intelligent nutritionist finished the work.	female base	neutral adj	Ο έξυπνος διατροφολόγος τελείωσε τη δουλειά.	M	M	1	Der kluge Ernährungsberater hat die Arbeit erledigt.	M	M	1	La nutricionista inteligente finalizó el trabajo.	F	M	0	De slimme voedingsdeskundige heeft zijn werk afgemaakt.	error [incorrect]	M	0
The assured nutritionist finished the work.	female base	neutral adj	Ο διαβεβαιωμένος διατροφολόγος ολοκλήρωσε το έργο.	M	M	1	Die versicherte Ernährungsberaterin beendete die Arbeit.	F	F	1	El nutricionista seguro terminó el trabajo.	M	M	1	De verzekerde voedingsdeskundige heeft het werk afgemaakt.	N	M	0
The clever nutritionist finished the work.	female base	neutral adj	Η έξυπνη διαιτολόγος τελείωσε την εργασία.	F	F	1	Die kluge Ernährungsberaterin hat die Arbeit beendet.	F	F	1	El nutricionista inteligente terminó el trabajo.	M	M	1	De slimme voedingsdeskundige heeft het werk voltooid.	N	M	0
The retiring hairdresser finished the work.	female base	female adj	Ο συνταξιούχος κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der scheidende Friseur beendete die Arbeit.	M	M	1	El peluquero que se retira terminó el trabajo.	M	M	1	De afscheidende kapper heeft het werk afgerond.	error [incorrect]	M	0
The pleasant hairdresser finished the work.	female base	female adj	Ο ευχάριστος κομμωτής τελείωσε τη δουλειά.	M	M	1	Die nette Friseurin beendete die Arbeit.	F	F	1	El agradable peluquero terminó el trabajo.	M	M	1	De gezellige kapper heeft het werk voltooid.	N	M	0
The affectionate hairdresser finished the work.	female base	female adj	Η τρυφερή κομμώτρια ολοκλήρωσε τη δουλειά της.	F	F	1	Die liebevolle Frisörin beendete die Arbeit.	F	F	1	El cariñoso peluquero terminó el trabajo.	M	M	1	De liefdevolle kapper had klaar met het werk.	error [incorrect]	M	0
The gentle hairdresser finished the work.	female base	female adj	Ο φιλικός κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Die sanfte Friseurin beendete die Arbeit.	F	F	1	El peluquero amable terminó el trabajo.	M	M	1	De milde kapper heeft het werk afgemaakt.	N	M	0
The shy hairdresser finished the work.	female base	female adj	Ο ντροπαλός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der schüchterne Friseur hat seine Arbeit beendet.	M	M	1	El tímido peluquero terminó el trabajo.	M	M	1	De verlegen kapper had het werk afgerond.	N	M	0
The strong hairdresser finished the work.	female base	male adj	Ο δυνατός κομμωτής τελείωσε την δουλειά του.	M	M	1	The strong hairdresser has finished the work.	error [incorrect]	error	0	El peluquero fuerte terminó el trabajo.	M	M	1	De sterke kapper heeft het werk afgerond.	N	M	0
The serious hairdresser finished the work.	female base	male adj	Ο σοβαρός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der ernsthafte Friseur hat die Arbeit beendet.	M	M	1	El serio peluquero terminó su trabajo.	M	M	1	De serieuze kapper heeft de klus afgemaakt.	N	M	0
The frank hairdresser finished the work.	female base	male adj	Ο ειλικρινής κομμωτής τελείωσε την εργασία.	M	M	1	Der ehrliche Friseur beendete die Arbeit.	M	M	1	El honesto peluquero terminó el trabajo.	M	M	1	De brutale kapper heeft het werk afgerond.	N	M	0
The stable hairdresser finished the work.	female base	male adj	Τα σταθερά κομμωτήρια τελείωσαν τη δουλειά.	error [incorrect]	N	0	Der zuverlässige Friseur hat die Arbeit beendet.	M	M	1	El peluquero estable terminó el trabajo.	M	M	1	De vaste kapper maakte het werk af.	N	M	0
The independent hairdresser finished the work.	female base	male adj	Ο ανεξάρτητος κομμωτής τελείωσε την εργασία του.	M	M	1	Der selbstständige Friseur hat die Arbeit beendet.	M	M	1	La peluquera independiente terminó el trabajo.	F	F	1	De baardschoonheidsspecialist heeft het werk afgelopen.	error [incorrect]	M	0
The dull hairdresser finished the work.	female base	neutral adj	Ο βαρεμένος κουρέας τελείωσε τη δουλειά.	M	M	1	Der gelangweilte Friseur beendete die Arbeit.	M	M	1	El aburrido peluquero terminó el trabajo.	M	M	1	De saaie kapper had het werk af.	N	M	0
The artificial hairdresser finished the work.	female base	neutral adj	Ο τεχνητός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der künstliche Friseur schloss die Arbeit ab.	M	M	1	El peluquero artificial terminó el trabajo.	M	M	1	De nepkapper heeft het werk voltooid.	N	M	0
The intelligent hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής τελείωσε την εργασία.	M	M	1	Der intelligente Friseur hat die Arbeit beendet.	M	M	1	El peluquero inteligente terminó el trabajo.	M	M	1	De slimme kapper had het werk afgerond.	N	M	0
The assured hairdresser finished the work.	female base	neutral adj	Ο βεβαιωμένος κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der versicherte Friseur hat die Arbeit beendet.	M	F	0	El peluquero seguro terminó el trabajo.	M	M	1	De verzekerde kapper had het werk voltooid.	N	M	0
The clever hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der clevere Friseur hat die Arbeit beendet.	M	F	0	El astuto peluquero terminó el trabajo.	M	F	0	De slimme kapper had zijn werk afgemaakt.	error [incorrect]	M	0
The retiring dietitian finished the work.	female base	female adj	Ο αποχωρών διατροφολόγος τελείωσε τη δουλειά.	M	F	0	Die pensionierte Ernährungsberaterin beendete die Arbeit.	F	F	1	La dietista que está renunciando terminó el trabajo.	F	M	0	De vertrekkende diëtist had het werk afgerond.	N	M/F	0
The pleasant dietitian finished the work.	female base	female adj	Η ευχάριστη διαιτολόγος τελείωσε την εργασία της.	F	M	0	Die angenehmen Ernährungsberaterin beendete die Arbeit.	error [incorrect]	F	0	El simpático nutricionista terminó el trabajo.	M	F	0	De gezellige diëtist had haar werk gedaan.	error [incorrect]	F	0
The affectionate dietitian finished the work.	female base	female adj	Ο στοργικός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die liebevolle Diätassistentin beendete die Arbeit.	F	F	1	La cariñosa dietista terminó el trabajo.	F	F	1	De liefdevolle diëtiste had het werk gedaan.	F	F	1
The gentle dietitian finished the work.	female base	female adj	Ο ευγενικός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die sanfte Diätköchin beendete die Arbeit.	error [incorrect]	M	0	La dietista suave terminó el trabajo.	F	F	1	De vriendelijke diëtist had het werk af.	N	M/F	0
The shy dietitian finished the work.	female base	female adj	Ο ντροπαλός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die schüchternen Ernährungsberater haben das Projekt beendet.	error [mixed]	M	0	La dietista tímida terminó el trabajo.	F	F	1	De verlegen voedingsdeskundige heeft het werk afgerond.	N	F	0
The strong dietitian finished the work.	female base	male adj	Ο δυνατός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Der starke Diätassistent hat die Arbeit erledigt.	M	F	0	La dietista fuerte terminó el trabajo.	F	M	0	De bekwame diëtist heeft het werk afgerond.	N	M	0
The serious dietitian finished the work.	female base	male adj	Ο σοβαρός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die ernsthafte Ernährungsberaterin hat die Arbeit beendet.	F	F	1	El serio dietista terminó el trabajo.	M	F	0	De serieuze diëtiste heeft het werk voltooid.	F	F	1
The frank dietitian finished the work.	female base	male adj	Ο ειλικρινής διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Die ehrliche Diätassistentin beendete die Arbeit.	F	F	1	La dietista honesta terminó el trabajo.	F	M	0	De openhartige diëtist heeft het werk voltooid.	N	M	0
The stable dietitian finished the work.	female base	male adj	Ο διαιτολόγος έβαλε τέρμα στην εργασία.	M	M	1	Der festangestellte Ernährungsberater hat die Arbeit beendet.	M	M	1	El dietista estable terminó el trabajo.	M	M	1	De stabiele diëtist heeft het werk afgemaakt.	N	M	0
The independent dietitian finished the work.	female base	male adj	Ο ανεξάρτητος διαιτολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der unabhängige Ernährungsberater beendete die Arbeit.	M	M	1	La dietista independiente finalizó el trabajo.	F	F	1	De onafhankelijke diëtist heeft het werk voltooid.	N	M	0
The dull dietitian finished the work.	female base	neutral adj	Ο ανιαρός διαιτολόγος τελείωσε τη δουλειά.	M	M	1	Der langweilige Diätassistent beendete die Arbeit.	M	F	0	El aburrido dietista acabó su trabajo.	M	M	1	De saaie diëtist heeft het werk afgemaakt.	N	M	0
The artificial dietitian finished the work.	female base	neutral adj	Ο τεχνητός διατροφολόγος τελείωσε το έργο.	M	F	0	Der künstliche Ernährungsberater beendete die Arbeit.	M	F	0	La dietista artificial terminó el trabajo.	F	F	1	De kunstmatige diëtist had het werk af.	N	M	0
The intelligent dietitian finished the work.	female base	neutral adj	Η έξυπνη διαιτολόγος τελείωσε τη δουλειά.	F	M	0	Die intelligente Diätassistentin beendete die Arbeit.	F	F	1	La dietista inteligente terminó el trabajo.	F	M	0	De slimme diëtist is klaar met zijn werk.	error [incorrect]	M	0
The assured dietitian finished the work.	female base	neutral adj	Ο επιλεγμένος διαιτολόγος τελείωσε την εργασία.	M	M	1	Die gesicherte Ernährungsberaterin beendete die Arbeit.	F	F	1	El dietista confiable terminó el trabajo.	M	M	1	De verzekerde diëtist had het werk voltooid.	N	M	0
The clever dietitian finished the work.	female base	neutral adj	Ο έξυπνος διαιτολόγος έχει τελειώσει τη δουλειά.	M	F	0	Die clevere Ernährungsberaterin beendete die Arbeit.	F	F	1	El sabio dietista terminó el trabajo.	M	F	0	De slimme diëtist heeft het werk afgerond.	N	M/F	0
The retiring paralegal finished the work.	female base	female adj	Η αποχωρών βοηθός δικαστικού λειτουργού ολοκλήρωσε τη δουλειά.	F	F	1	Die berufsbeendende Rechtsgehilfin	error [incorrect]	F	0	La paralegal jubilada terminó el trabajo.	error [incorrect]	F	0	De aftredende juridisch medewerker had het werk volbracht.	N	F	0
The pleasant paralegal finished the work.	female base	female adj	Η ευτυχισμένη σύμβουλος ολοκλήρωσε τη δουλειά.	M	M	1	Der angenehme Paralegal beendete die Arbeit.	error [incorrect]	M	0	La agradable asistente jurídica terminó el trabajo.	F	M	0	De aangename juridisch medewerker heeft haar werk voltooid.	error [incorrect]	F	0
The affectionate paralegal finished the work.	female base	female adj	Ο στοργικός ασκούμενος δικηγόρος ολοκλήρωσε το έργο.	M	F	0	Die liebevolle Paralegal hat die Arbeit beendet.	error [incorrect]	M	0	El afectuoso asistente legal terminó el trabajo.	M	M	1	De lieve parajurist had het werk voltooid.	error [incorrect]	F	0
The gentle paralegal finished the work.	female base	female adj	Η ευγενική παράτυπη νομική βοηθός ολοκλήρωσε τη δουλειά.	error [incorrect]	F	0	Die sanfte Paralegal beendete die Arbeit.	error [incorrect]	F	0	El suave asistente legal terminó el trabajo.	M	M	1	De lieve parajurist had de klus geklaard.	error [incorrect]	M/F	0
The shy paralegal finished the work.	female base	female adj	Η ντροπαλή δικαστική βοηθός ολοκλήρωσε τη δουλειά.	F	F	1	Der schüchterne Paralegal hat die Arbeit beendet.	error [incorrect]	F	0	El tímido asistente jurídico terminó el trabajo.	M	F	0	De verlegen juridische medewerker voltooide het werk.	N	M/F	0
The strong paralegal finished the work.	female base	male adj	Η έμπειρη νομική βοηθός ολοκλήρωσε τη δουλειά.	F	M	0	Die starke Paralegal hat die Arbeit abgeschlossen.	error [incorrect]	M	0	La paralegal fuerte terminó el trabajo.	error [incorrect]	M	0	De sterke juridische medewerker heeft het werk voltooid.	N	M/F	0
The serious paralegal finished the work.	female base	male adj	Ο σοβαρός βοηθός δικηγόρου ολοκλήρωσε την εργασία.	M	M	1	Die ernsthafte Rechtsbeistandsfrau hat die Arbeit beendet.	error [incorrect]	N	0	El serio asistente jurídico terminó el trabajo.	M	M	1	De serieuze juridisch medewerker heeft het werk voltooid.	N	F	0
The frank paralegal finished the work.	female base	male adj	Ο ειλικρινής παράνομος τελείωσε τη δουλειά.	error [incorrect]	F	0	Der ehrliche Rechtsreferendar hat die Arbeit beendet.	error [incorrect]	F	0	El paralegal honesto terminó el trabajo.	error [incorrect]	M	0	De eerlijke paralegal heeft het werk afgerond.	error [incorrect]	M/F	0
The stable paralegal finished the work.	female base	male adj	Η μονίμως παράνομη βοηθός του δικηγόρου τελείωσε τη δουλει	error [incorrect]	M	0	Die stabile Rechtsgehilfin hat die Arbeit beendet.	F	F	1	El asistente legal terminó el trabajo.	M	M	1	De stabiele paralegal heeft het werk afgerond.	error [incorrect]	M/F	0
The independent paralegal finished the work.	female base	male adj	Η ανεξάρτητη βοηθός δικηγόρου ολοκλήρωσε τη δουλειά.	F	M	0	Die selbständige Paralegal hat die Arbeit beendet.	error [incorrect]	F	0	El asistente legal independiente terminó el trabajo.	M	F	0	De onafhankelijke paralegal heeft het werk voltooid.	error [incorrect]	M/F	0
The dull paralegal finished the work.	female base	neutral adj	Ο μουντός βοηθός δικηγόρος τελείωσε τη δουλεία.	error [incorrect]	N	0	Die mickrige Rechtsbeistandskraft schloss die Arbeit ab.	error [incorrect]	F	0	La aburrida asistente legal terminó el trabajo.	F	M	0	De saaie juridische medewerker maakte het werk af.	N	M	0
The artificial paralegal finished the work.	female base	neutral adj	Ο τεχνητός φοιτητής νομικής τελείωσε την εργασία.	M	M	1	Die künstliche juristische Hilfskraft vollendete die Arbeit.	N	error	0	El paralegal artificial terminó el trabajo.	error [incorrect]	M	0	De kunstmatige paralegal heeft het werk afgerond.	error [incorrect]	M	0
The intelligent paralegal finished the work.	female base	neutral adj	Το ευφυές νομικό προσωπικό ολοκλήρωσε τη δουλειά.	error [incorrect]	F	0	Der intelligente Paralegal beendete die Arbeit.	error [incorrect]	F	0	El paralegal inteligente terminó el trabajo.	error [incorrect]	M	0	De intelligente paralegal heeft het werk afgerond.	error [incorrect]	M	0
The assured paralegal finished the work.	female base	neutral adj	Ο διαβεβαιωμένος νομικός βοηθός τελείωσε τη δουλειά του.	M	F	0	Die versicherte Rechtsassistentin hat die Arbeit erledigt.	F	F	1	El asistente letrado recibió autorización y finalizó el trabajo.	M	M	1	De verzekerde paralegal heeft het werk afgemaakt.	error [incorrect]	M	0
The clever paralegal finished the work.	female base	neutral adj	Η έξυπνη παραδικηγόρος ολοκλήρωσε τη δουλειά.	F	F	1	Die kluge Paralegal hat die Arbeit beendet.	error [incorrect]	F	0	El apañado ayudante del abogado terminó el trabajo.	M	F	0	De handige paralegal heeft het werk afgemaakt.	error [incorrect]	M/F	0
The retiring nurse finished the work.	female base	female adj	Η αποχωρούσα νοσοκόμα τελείωσε την εργασία.	F	F	1	The retired nurse finished the work.	error [incorrect]	F	0	La enfermera que se retiraba terminó el trabajo.	F	F	1	De vertrekkende verpleegkundige had het werk afgerond.	N	F	0
The pleasant nurse finished the work.	female base	female adj	Η ευγενική νοσοκόμα τελείωσε τη δουλειά της.	F	F	1	The pleasant nurse has finished the work.	error [incorrect]	F	0	La agradable enfermera terminó el trabajo.	F	F	1	De aardige verpleegkundige had haar werk af.	error [incorrect]	F	0
The affectionate nurse finished the work.	female base	female adj	Η στοργική νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die liebevolle Krankenschwester beendete die Arbeit.	F	F	1	La cariñosa enfermera terminó el trabajo.	F	F	1	De liefhebbende verpleegkundige had het werk af.	N	F	0
The gentle nurse finished the work.	female base	female adj	Η ευγενική νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die freundliche Krankenschwester beendete die Arbeit.	F	M	0	La delicada enfermera terminó el trabajo.	F	F	1	De meelevende verpleegkundige heeft het werk gedaan.	N	F	0
The shy nurse finished the work.	female base	female adj	Η ντροπαλή νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die schüchterne Krankenschwester beendete die Arbeit.	F	F	1	La enfermera tímida terminó su trabajo.	F	F	1	De verlegen verpleegkundige had het werk afgemaakt.	N	F	0
The strong nurse finished the work.	female base	male adj	Η δυνατή νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	The strong nurse finished the work. can be translated to German as: Die starke Krankenschwester	error [incorrect]	F	0	La enfermera fuerte terminó el trabajo.	F	F	1	De krachtige verpleegkundige heeft het werk afgerond.	N	F	0
The serious nurse finished the work.	female base	male adj	Ἡ σοβαρή νοσοκόμα τελείωσε τη δουλειά.	error [incorrect]	F	0	Die ernsthafte Krankenschwester hat die Arbeit beendet.	F	M	0	La serio enfermera terminó el trabajo.	error [incorrect]	M	0	De ernstige verpleegkundige heeft het werk afgemaakt.	N	M/F	0
The frank nurse finished the work.	female base	male adj	Η ειλικρινής νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die ehrliche Krankenschwester hat die Arbeit beendet.	F	N	0	El enfermero franco terminó el trabajo.	M	F	0	De eerlijke verpleegkundige had het werk afgerond.	N	F	0
The stable nurse finished the work.	female base	male adj	Η νοσοκόμα του στάβλου τερμάτισε τη δουλειά.	error [incorrect]	F	0	Die Pflegerin beendete die Arbeit.	F	M	0	La enfermera a cargo de la estabilidad terminó el trabajo.	error [incorrect]	F	0	Het vaste zusje is klaar met het werk.	error [incorrect]	M/F	0
The independent nurse finished the work.	female base	male adj	Η ανεξάρτητη νοσηλεύτρια ολοκλήρωσε τη δουλειά.	F	F	1	Die unabhängige Krankenschwester hat die Arbeit beendet.	F	F	1	La enfermera independiente terminó el trabajo.	F	M	0	De zelfstandig werkende verpleegkundige heeft het werk voltooid.	N	M	0
The dull nurse finished the work.	female base	neutral adj	Η νευρική νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die langweilige Krankenschwester beendete die Arbeit.	F	F	1	El torpe enfermero terminó el trabajo.	M	F	0	De sombere verpleegkundige had de taak volbracht.	N	F	0
The artificial nurse finished the work.	female base	neutral adj	Η τεχνητή νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die künstliche Krankenschwester (pflegende) beendete die Arbeit.	F	M	0	La enfermera artificial terminó el trabajo.	F	F	1	De robotverpleegster is klaar met haar werk.	error [incorrect]	M/F	0
The intelligent nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die intelligente Krankenschwester hat die Arbeit beendet.	F	M	0	La enfermera inteligente terminó el trabajo.	F	F	1	De slimme verpleegkundige had het werk af.	N	F	0
The assured nurse finished the work.	female base	neutral adj	Η πεπειραμένη νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die zugesicherte Krankenschwester beendete die Arbeit.	F	F	1	La enfermera asegurada terminó el trabajo.	F	F	1	De verzekerde verpleegster had haar werk klaar.	error [incorrect]	F	0
The clever nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die clevere Krankenschwester beendete die Arbeit.	F	M	0	La enfermera lista terminó el trabajo.	F	F	1	De slimme verpleegkundige heeft het werk afgerond.	N	F	0
The retiring receptionist finished the work.	female base	female adj	Η συνταξιοδοτούμενη ρεσεψιονίστ τελείωσε τη δουλειά	F	F	1	Die scheidende Rezeptionistin hat die Arbeit beendet.	F	M	0	La recepcionista que se retiraba terminó el trabajo.	F	F	1	De afscheid nemende receptioniste heeft de werkzaamheden afgerond.	F	F	1
