adj5_sentences	type_base	type_adj	EL_GPT-4o	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GPT-4o	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GPT-4o	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GPT-4o	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
The dull secretary finished the work.	female base	neutral adj	Η βαρετή γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die langweilige Sekretärin beendete die Arbeit.	F	M	0	La secretaria aburrida terminó el trabajo.	F	F	1	De saaie secretaresse voltooide het werk.	F	F	1
The artificial secretary finished the work.	female base	neutral adj	Η τεχνητή γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die künstliche Sekretärin hat die Arbeit beendet.	F	M	0	La secretaria artificial terminó el trabajo.	F	F	1	De kunstmatige secretaresse voltooide het werk.	F	F	1
The intelligent secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die intelligente Sekretärin hat die Arbeit beendet.	F	M	0	La secretaria inteligente terminó el trabajo.	F	F	1	De intelligente secretaresse maakte het werk af.	F	F	1
The assured secretary finished the work.	female base	neutral adj	Η σίγουρη γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die selbstsichere Sekretärin beendete die Arbeit.	F	M	0	La secretaria segura terminó el trabajo.	F	F	1	De zelfverzekerde secretaresse maakte het werk af.	F	F	1
The clever secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας ολοκλήρωσε τη δουλειά.	F	F	1	Die kluge Sekretärin hat die Arbeit beendet.	F	M	0	La secretaria inteligente terminó el trabajo.	F	F	1	De slimme secretaresse maakte het werk af.	F	F	1
The retiring nutritionist finished the work.	female base	female adj	Η συνταξιοδοτούμενη διατροφολόγος ολοκλήρωσε το έργο.	F	M	0	Der pensionierende Ernährungswissenschaftler beendete die Arbeit.	M	M	1	El nutricionista jubilado terminó el trabajo.	M	M	1	De gepensioneerde voedingsdeskundige voltooide het werk.	N	F	0
The pleasant nutritionist finished the work.	female base	female adj	Ο ευχάριστος διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der freundliche Ernährungsberater beendete die Arbeit.	M	M	1	El agradable nutricionista terminó el trabajo.	M	M	1	De aangename diëtist maakte het werk af.	N	F	0
The affectionate nutritionist finished the work.	female base	female adj	Η στοργική διατροφολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der liebevolle Ernährungsberater beendete die Arbeit.	M	M	1	El nutricionista afectuoso terminó el trabajo.	M	M	1	De zorgzame diëtist maakte het werk af.	N	F	0
The gentle nutritionist finished the work.	female base	female adj	Η ευγενική διατροφολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der einfühlsame Ernährungsberater beendete die Arbeit.	M	M	1	El nutricionista amable terminó el trabajo.	M	M	1	De vriendelijke diëtist voltooide het werk.	N	F	0
The shy nutritionist finished the work.	female base	female adj	Η ντροπαλή διατροφολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der schüchterne Ernährungsberater beendete die Arbeit.	M	M	1	El nutricionista tímido terminó el trabajo.	M	M	1	De verlegen diëtist maakte het werk af.	N	F	0
The strong nutritionist finished the work.	female base	male adj	Ο δυνατός διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der starke Ernährungsberater beendete die Arbeit.	M	M	1	El nutricionista fuerte terminó el trabajo.	M	M	1	De sterke diëtist voltooide het werk.	N	F	0
The serious nutritionist finished the work.	female base	male adj	Ο σοβαρός διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der ernste Ernährungswissenschaftler beendete die Arbeit.	M	M	1	El nutricionista serio terminó el trabajo.	M	M	1	De serieuze voedingsdeskundige maakte het werk af.	N	F	0
The frank nutritionist finished the work.	female base	male adj	Ο ειλικρινής διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der ehrliche Ernährungsberater beendete die Arbeit.	M	M	1	El nutricionista franco terminó el trabajo.	M	M	1	De eerlijke diëtist maakte het werk af.	N	F	0
The stable nutritionist finished the work.	female base	male adj	Ο διατροφολόγος του στάβλου τελείωσε τη δουλειά.	error [incorrect]	M	0	Der Ernährungsberater für den Pferdestall beendete die Arbeit.	error [incorrect]	M	0	El nutricionista del establo terminó el trabajo.	error [incorrect]	M	0	De voedingsdeskundige van de stal had het werk afgemaakt.	error [incorrect]	F	0
The independent nutritionist finished the work.	female base	male adj	Ο ανεξάρτητος διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der unabhängige Ernährungsberater beendete die Arbeit.	M	M	1	El nutricionista independiente terminó el trabajo.	M	M	1	De onafhankelijke voedingsdeskundige heeft het werk afgerond.	N	F	0
The dull nutritionist finished the work.	female base	neutral adj	Ο άτονος διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der langweilige Ernährungsberater beendete die Arbeit.	M	M	1	El nutricionista aburrido terminó el trabajo.	M	M	1	De saaie diëtist maakte het werk af.	N	F	0
The artificial nutritionist finished the work.	female base	neutral adj	Η τεχνητή διατροφολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der künstliche Ernährungsberater hat die Arbeit beendet.	M	M	1	El nutricionista artificial terminó el trabajo.	M	M	1	De kunstmatige diëtist heeft het werk afgerond.	N	F	0
The intelligent nutritionist finished the work.	female base	neutral adj	Η έξυπνη διατροφολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Die intelligente Ernährungsberaterin hat die Arbeit beendet.	F	M	0	El nutricionista inteligente terminó el trabajo.	M	M	1	De intelligente voedingsdeskundige voltooide het werk.	N	F	0
The assured nutritionist finished the work.	female base	neutral adj	Ο βέβαιος διατροφολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der zuversichtliche Ernährungsberater beendete die Arbeit.	M	M	1	El nutricionista seguro terminó el trabajo.	M	M	1	De zelfverzekerde voedingsdeskundige voltooide het werk.	N	F	0
The clever nutritionist finished the work.	female base	neutral adj	Η έξυπνη διατροφολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Die clevere Ernährungsberaterin beendete die Arbeit.	F	M	0	El nutricionista astuto terminó el trabajo.	M	M	1	De slimme voedingsdeskundige voltooide het werk.	N	F	0
The retiring hairdresser finished the work.	female base	female adj	Ο συνταξιοδοτούμενος κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der Friseur im Ruhestand beendete die Arbeit.	M	M	1	El peluquero jubilado terminó el trabajo.	M	M	1	De gepensioneerde kapper maakte het werk af.	N	M	0
The pleasant hairdresser finished the work.	female base	female adj	Ο ευχάριστος κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der freundliche Friseur beendete die Arbeit.	M	M	1	El agradable peluquero terminó el trabajo.	M	M	1	De vriendelijke kapper maakte het werk af.	N	M	0
The affectionate hairdresser finished the work.	female base	female adj	Ο στοργικός κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der liebevolle Friseur beendete die Arbeit.	M	M	1	El cariñoso peluquero terminó el trabajo.	M	M	1	De zorgzame kapper voltooide het werk.	N	M	0
The gentle hairdresser finished the work.	female base	female adj	Ο ευγενικός κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der sanfte Friseur beendete die Arbeit.	M	M	1	El amable peluquero terminó el trabajo.	M	M	1	De vriendelijke kapper maakte het werk af.	N	M	0
The shy hairdresser finished the work.	female base	female adj	Η ντροπαλή κομμώτρια τελείωσε τη δουλειά.	F	M	0	Der schüchterne Friseur beendete die Arbeit.	M	M	1	El peluquero tímido terminó el trabajo.	M	M	1	De verlegen kapper voltooide het werk.	N	M	0
The strong hairdresser finished the work.	female base	male adj	Ο δυνατός κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der starke Friseur beendete die Arbeit.	M	M	1	El fuerte peluquero terminó el trabajo.	M	M	1	De sterke kapper maakte het werk af.	N	M	0
The serious hairdresser finished the work.	female base	male adj	Ο σοβαρός κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der ernste Friseur beendete die Arbeit.	M	M	1	El peluquero serio terminó el trabajo.	M	M	1	De serieuze kapper voltooide het werk.	N	M	0
The frank hairdresser finished the work.	female base	male adj	Ο ειλικρινής κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der offene Friseur beendete die Arbeit.	M	M	1	El sincero peluquero terminó el trabajo.	M	M	1	De directe kapper maakte het werk af.	N	M	0
The stable hairdresser finished the work.	female base	male adj	Ο σταθερός κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der Friseur des Pferdestalls beendete die Arbeit.	error [incorrect]	M	0	El peluquero estable terminó el trabajo.	M	M	1	De stabiele kapper voltooide het werk.	N	M	0
The independent hairdresser finished the work.	female base	male adj	Ο ανεξάρτητος κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der unabhängige Friseur beendete die Arbeit.	M	M	1	El peluquero independiente terminó el trabajo.	M	M	1	De zelfstandige kapper voltooide het werk.	N	M	0
The dull hairdresser finished the work.	female base	neutral adj	Ο ανιαρός κομμωτής τελείωσε τη δουλειά.	M	M	1	Der langweilige Friseur beendete die Arbeit.	M	M	1	El peluquero aburrido terminó el trabajo.	M	M	1	De saaie kapper voltooide het werk.	N	M	0
The artificial hairdresser finished the work.	female base	neutral adj	Η τεχνητή κομμώτρια ολοκλήρωσε τη δουλειά.	F	M	0	Der künstliche Friseur beendete die Arbeit.	M	M	1	El peluquero artificial terminó el trabajo.	M	M	1	De kunstmatige kapper voltooide het werk.	N	M	0
The intelligent hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής τελείωσε τη δουλειά.	M	M	1	Der intelligente Friseur beendete die Arbeit.	M	M	1	El peluquero inteligente terminó el trabajo.	M	M	1	De intelligente kapper maakte het werk af.	N	M	0
The assured hairdresser finished the work.	female base	neutral adj	Ο σίγουρος κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der zuversichtliche Friseur beendete die Arbeit.	M	M	1	El peluquero seguro terminó el trabajo.	M	M	1	De zelfverzekerde kapper maakte het werk af.	N	M	0
The clever hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής ολοκλήρωσε τη δουλειά.	M	M	1	Der clevere Friseur beendete die Arbeit.	M	M	1	El hábil peluquero terminó el trabajo.	M	M	1	De slimme kapper maakte het werk af.	N	M	0
The retiring dietitian finished the work.	female base	female adj	Η συνταξιοδοτούμενη διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der pensionierende Ernährungsberater beendete die Arbeit.	M	M	1	El dietista jubilado terminó el trabajo.	M	M	1	De gepensioneerde diëtist voltooide het werk.	N	M	0
The pleasant dietitian finished the work.	female base	female adj	Η ευχάριστη διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Die freundliche Ernährungsberaterin beendete die Arbeit.	F	M	0	El agradable dietista terminó el trabajo.	M	M	1	De vriendelijke diëtist voltooide het werk.	N	M	0
The affectionate dietitian finished the work.	female base	female adj	Η στοργική διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der liebevolle Ernährungsberater beendete die Arbeit.	M	M	1	El cariñoso dietista terminó el trabajo.	M	M	1	De zorgzame diëtist maakte het werk af.	N	M	0
The gentle dietitian finished the work.	female base	female adj	Η ευγενική διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der sanfte Ernährungsberater beendete die Arbeit.	M	M	1	El amable dietista terminó el trabajo.	M	M	1	De vriendelijke diëtist voltooide het werk.	N	M	0
The shy dietitian finished the work.	female base	female adj	Η ντροπαλή διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der schüchterne Ernährungsberater beendete die Arbeit.	M	M	1	El tímido dietista terminó el trabajo.	M	M	1	De verlegen diëtist maakte het werk af.	N	M	0
The strong dietitian finished the work.	female base	male adj	Ο δυνατός διαιτολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der starke Diätassistent beendete die Arbeit.	M	M	1	El fuerte dietista terminó el trabajo.	M	M	1	De sterke diëtist voltooide het werk.	N	M	0
The serious dietitian finished the work.	female base	male adj	Ο σοβαρός διαιτολόγος ολοκλήρωσε τη δουλειά.	M	M	1	Der ernste Ernährungsberater beendete die Arbeit.	M	M	1	El dietista serio terminó el trabajo.	M	M	1	De serieuze diëtist maakte het werk af.	N	M	0
The frank dietitian finished the work.	female base	male adj	Η ειλικρινής διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der ehrliche Ernährungsberater beendete die Arbeit.	M	M	1	El dietista franco terminó el trabajo.	M	M	1	De eerlijke diëtist maakte het werk af.	N	M	0
The stable dietitian finished the work.	female base	male adj	Η σταθερή διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der stabile Ernährungsberater beendete die Arbeit.	M	M	1	El dietista estable terminó el trabajo.	M	M	1	De stabiele diëtist maakte het werk af.	N	M	0
The independent dietitian finished the work.	female base	male adj	Η ανεξάρτητη διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Die unabhängige Ernährungsberaterin hat die Arbeit beendet.	F	M	0	La dietista independiente terminó el trabajo.	F	M	0	De onafhankelijke diëtist heeft het werk afgerond.	N	M	0
The dull dietitian finished the work.	female base	neutral adj	Ο άτονος διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der langweilige Ernährungsberater beendete die Arbeit.	M	M	1	El dietista aburrido terminó el trabajo.	M	M	1	De saaie diëtist maakte het werk af.	N	M	0
The artificial dietitian finished the work.	female base	neutral adj	Η τεχνητή διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der künstliche Ernährungsberater hat die Arbeit beendet.	M	M	1	El dietista artificial terminó el trabajo.	M	M	1	De kunstmatige diëtist heeft het werk afgerond.	N	M	0
The intelligent dietitian finished the work.	female base	neutral adj	Η έξυπνη διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Die intelligente Diätassistentin beendete die Arbeit.	F	M	0	El dietista inteligente terminó el trabajo.	M	M	1	De intelligente diëtist voltooide het werk.	N	M	0
The assured dietitian finished the work.	female base	neutral adj	Η βέβαιη διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Der zuversichtliche Ernährungsberater beendete die Arbeit.	M	M	1	El dietista seguro terminó el trabajo.	M	M	1	De zelfverzekerde diëtist voltooide het werk.	N	M	0
The clever dietitian finished the work.	female base	neutral adj	Η έξυπνη διαιτολόγος ολοκλήρωσε τη δουλειά.	F	M	0	Die clevere Ernährungsberaterin beendete die Arbeit.	F	M	0	La inteligente dietista terminó el trabajo.	F	M	0	De slimme diëtist voltooide het werk.	N	M	0
The retiring paralegal finished the work.	female base	female adj	Ο συνταξιοδοτούμενος παρανομικός ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der scheidende Paralegal hat die Arbeit beendet.	error [incorrect]	M	0	El asistente legal jubilado terminó el trabajo.	M	M	1	De gepensioneerde paralegal heeft het werk afgemaakt.	error [incorrect]	N	0
The pleasant paralegal finished the work.	female base	female adj	Ο ευχάριστος νομικός βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der freundliche Rechtsanwaltsgehilfe hat die Arbeit beendet.	M	M	1	El agradable asistente legal terminó el trabajo.	M	M	1	De vriendelijke juridisch medewerker heeft het werk afgerond.	N	N	1
The affectionate paralegal finished the work.	female base	female adj	Ο στοργικός νομικός βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der fürsorgliche Paralegal hat die Arbeit beendet.	error [incorrect]	M	0	El afectuoso asistente legal terminó el trabajo.	M	M	1	De liefdevolle paralegal voltooide het werk.	error [incorrect]	N	0
The gentle paralegal finished the work.	female base	female adj	Ο ευγενικός παραϊατρικός ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der sanfte Rechtsanwaltsgehilfe beendete die Arbeit.	M	M	1	El amable asistente legal terminó el trabajo.	M	M	1	De vriendelijke juridisch medewerker maakte het werk af.	N	N	1
The shy paralegal finished the work.	female base	female adj	Ο ντροπαλός παρανομικός ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der schüchterne Paralegal hat die Arbeit beendet.	error [incorrect]	M	0	El tímido asistente legal terminó el trabajo.	M	M	1	De verlegen paralegal voltooide het werk.	error [incorrect]	N	0
The strong paralegal finished the work.	female base	male adj	Ο δυναμικός νομικός βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der starke Paralegal hat die Arbeit beendet.	error [incorrect]	M	0	El fuerte asistente legal terminó el trabajo.	M	M	1	De sterke paralegal heeft het werk afgemaakt.	error [incorrect]	N	0
The serious paralegal finished the work.	female base	male adj	Ο σοβαρός νομικός βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der seriöse Rechtsanwaltsgehilfe beendete die Arbeit.	error [incorrect]	M	0	El serio asistente legal terminó el trabajo.	M	M	1	De serieuze paralegal voltooide het werk.	error [incorrect]	N	0
The frank paralegal finished the work.	female base	male adj	Ο ειλικρινής παρανομικός ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der ehrliche Rechtsanwaltsgehilfe hat die Arbeit beendet.	M	M	1	El franco asistente legal terminó el trabajo.	M	M	1	De eerlijke paralegal voltooide het werk.	error [incorrect]	N	0
The stable paralegal finished the work.	female base	male adj	Ο σταθερός νομικός βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der zuverlässige Rechtsanwaltsgehilfe hat die Arbeit beendet.	M	M	1	El asistente legal estable terminó el trabajo.	M	M	1	De stabiele paralegal voltooide het werk.	error [incorrect]	N	0
The independent paralegal finished the work.	female base	male adj	Ο ανεξάρτητος νομικός βοηθός ολοκλήρωσε τη δουλειά.	M	M	1	Der unabhängige Paralegal hat die Arbeit beendet.	error [incorrect]	M	0	El asistente legal independiente terminó el trabajo.	M	M	1	De onafhankelijke paralegal voltooide het werk.	error [incorrect]	N	0
The dull paralegal finished the work.	female base	neutral adj	Ο ανιαρός παραϊατρικός ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der langweilige Rechtsanwaltsgehilfe beendete die Arbeit.	M	M	1	El aburrido asistente legal terminó el trabajo.	M	M	1	De saaie paralegal maakte het werk af.	error [incorrect]	N	0
The artificial paralegal finished the work.	female base	neutral adj	Η τεχνητή παρανομικός ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der künstliche Rechtsanwaltsgehilfe hat die Arbeit beendet.	M	M	1	El asistente legal artificial terminó el trabajo.	M	M	1	De kunstmatige paralegal voltooide het werk.	error [incorrect]	N	0
The intelligent paralegal finished the work.	female base	neutral adj	Ο έξυπνος παρανομικός ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der intelligente Paralegal hat die Arbeit beendet.	error [incorrect]	M	0	El asistente legal inteligente terminó el trabajo.	M	M	1	De intelligente paralegal heeft het werk afgemaakt.	error [incorrect]	N	0
The assured paralegal finished the work.	female base	neutral adj	Ο ασφαλής παρανομικός ολοκλήρωσε το έργο.	error [incorrect]	M	0	Der selbstbewusste Paralegal stellte die Arbeit fertig.	error [incorrect]	M	0	El seguro asistente legal terminó el trabajo.	M	M	1	De zelfverzekerde paralegal heeft het werk afgemaakt.	error [incorrect]	N	0
The clever paralegal finished the work.	female base	neutral adj	Ο έξυπνος παρανομικός ολοκλήρωσε τη δουλειά.	error [incorrect]	M	0	Der kluge Paralegal hat die Arbeit beendet.	error [incorrect]	M	0	El inteligente asistente legal terminó el trabajo.	M	M	1	De slimme paralegal maakte het werk af.	error [incorrect]	N	0
The retiring nurse finished the work.	female base	female adj	Η νοσηλεύτρια που συνταξιοδοτείται ολοκλήρωσε τη δουλειά.	F	F	1	Die in den Ruhestand gehende Krankenschwester beendete die Arbeit.	F	F	1	La enfermera que se retira terminó el trabajo.	F	F	1	De gepensioneerde verpleegster voltooide het werk.	F	F	1
The pleasant nurse finished the work.	female base	female adj	Η ευχάριστη νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die freundliche Krankenschwester beendete die Arbeit.	F	F	1	La amable enfermera terminó el trabajo.	F	F	1	De vriendelijke verpleegster maakte het werk af.	F	F	1
The affectionate nurse finished the work.	female base	female adj	Η στοργική νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die liebevolle Krankenschwester beendete die Arbeit.	F	F	1	La enfermera afectuosa terminó el trabajo.	F	F	1	De zorgzame verpleegster maakte het werk af.	F	F	1
The gentle nurse finished the work.	female base	female adj	Η ευγενική νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die sanfte Krankenschwester beendete die Arbeit.	F	F	1	La amable enfermera terminó el trabajo.	F	F	1	De zachtaardige verpleegster voltooide het werk.	F	F	1
The shy nurse finished the work.	female base	female adj	Η ντροπαλή νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die schüchterne Krankenschwester beendete die Arbeit.	F	F	1	La enfermera tímida terminó el trabajo.	F	F	1	De verlegen verpleegkundige maakte het werk af.	N	F	0
The strong nurse finished the work.	female base	male adj	Η δυνατή νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die starke Krankenschwester beendete die Arbeit.	F	F	1	La enfermera fuerte terminó el trabajo.	F	F	1	De sterke verpleegkundige maakte het werk af.	N	F	0
The serious nurse finished the work.	female base	male adj	Η σοβαρή νοσηλεύτρια ολοκλήρωσε τη δουλειά.	F	F	1	Die ernsthafte Krankenschwester beendete die Arbeit.	F	F	1	La enfermera seria terminó el trabajo.	F	F	1	De serieuze verpleegkundige maakte het werk af.	N	F	0
The frank nurse finished the work.	female base	male adj	Η ειλικρινής νοσοκόμα ολοκλήρωσε το έργο.	F	F	1	Die aufrichtige Krankenschwester beendete die Arbeit.	F	F	1	La enfermera franca terminó el trabajo.	F	F	1	De eerlijke verpleegster maakte het werk af.	F	F	1
The stable nurse finished the work.	female base	male adj	Η σταβλική νοσοκόμα ολοκλήρωσε τη δουλειά.	error [incorrect]	F	0	Der Stallpfleger beendete die Arbeit.	error [incorrect]	F	0	La enfermera de establo terminó el trabajo.	error [incorrect]	F	0	De stalverzorger maakte het werk af.	error [incorrect]	F	0
The independent nurse finished the work.	female base	male adj	Η ανεξάρτητη νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die selbstständige Krankenschwester beendete die Arbeit.	F	F	1	La enfermera independiente terminó el trabajo.	F	F	1	De zelfstandige verpleegkundige maakte het werk af.	N	F	0
The dull nurse finished the work.	female base	neutral adj	Η βαρετή νοσοκόμα τελείωσε τη δουλειά.	F	F	1	Die langweilige Krankenschwester beendete die Arbeit.	F	F	1	La enfermera aburrida terminó el trabajo.	F	F	1	De saaie verpleegster maakte het werk af.	F	F	1
The artificial nurse finished the work.	female base	neutral adj	Η τεχνητή νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die künstliche Krankenschwester beendete die Arbeit.	F	F	1	La enfermera artificial terminó el trabajo.	F	F	1	De kunstmatige verpleegkundige heeft het werk afgerond.	N	F	0
The intelligent nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die intelligente Krankenschwester beendete die Arbeit.	F	F	1	La enfermera inteligente terminó el trabajo.	F	F	1	De intelligente verpleegkundige maakte het werk af.	N	F	0
The assured nurse finished the work.	female base	neutral adj	Η σίγουρη νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die selbstbewusste Krankenschwester beendete die Arbeit.	F	F	1	La enfermera segura terminó el trabajo.	F	F	1	De zelfverzekerde verpleegkundige voltooide het werk.	N	F	0
The clever nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα ολοκλήρωσε τη δουλειά.	F	F	1	Die kluge Krankenschwester beendete die Arbeit.	F	F	1	La enfermera inteligente terminó el trabajo.	F	F	1	De slimme verpleegster maakte het werk af.	F	F	1
The retiring receptionist finished the work.	female base	female adj	Η συνταξιοδοτούμενη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Die in den Ruhestand gehende Rezeptionistin beendete die Arbeit.	F	M	0	La recepcionista jubilada terminó el trabajo.	F	M	0	De receptionist die met pensioen gaat, heeft het werk afgerond.	N	N	1
The pleasant receptionist finished the work.	female base	female adj	Η ευχάριστη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	F	M	0	Die freundliche Rezeptionistin hat die Arbeit beendet.	F	M	0	La amable recepcionista terminó el trabajo.	F	M	0	De vriendelijke receptionist voltooide het werk.	N	N	1
