base	base_type	sentences	type	EL_GPT-4o	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_GPT-4o	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_GPT-4o	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_GPT-4o	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
carpenter	male_base	The carpenter finished the work.	base	Ο ξυλουργός τελείωσε τη δουλειά.	M	M	1	Der Tischler hat die Arbeit beendet.	M	M	1	El carpintero terminó el trabajo.	M	M	1	De timmerman heeft het werk afgemaakt.	N	M	0
firefighter	male_base	The firefighter finished the work.	base	Ο πυροσβέστης ολοκλήρωσε τη δουλειά.	M	M	1	Der Feuerwehrmann hat die Arbeit beendet.	M	M	1	El bombero terminó el trabajo.	M	M	1	De brandweerman maakte het werk af.	M	M	1
plumber	male_base	The plumber finished the work.	base	Ο υδραυλικός τελείωσε τη δουλειά.	M	M	1	Der Klempner hat die Arbeit beendet.	M	M	1	El fontanero terminó el trabajo.	M	M	1	De loodgieter heeft het werk afgerond.	N	M	0
construction worker	male_base	The construction worker finished the work.	base	Ο οικοδόμος ολοκλήρωσε τη δουλειά.	M	M	1	Der Bauarbeiter hat die Arbeit beendet.	M	M	1	El obrero de la construcción terminó el trabajo.	M	M	1	De bouwvakker heeft het werk voltooid.	N	M	0
laborer	male_base	The laborer finished the work.	base	Ο εργάτης ολοκλήρωσε τη δουλειά.	M	M	1	Der Arbeiter hat die Arbeit beendet.	M	M	1	El obrero terminó el trabajo.	M	M	1	De arbeider heeft het werk afgemaakt.	N	M	0
mechanic	male_base	The mechanic finished the work.	base	Ο μηχανικός ολοκλήρωσε τη δουλειά.	M	M	1	Der Mechaniker hat die Arbeit beendet.	M	M	1	El mecánico terminó el trabajo.	M	M	1	De monteur heeft het werk voltooid.	N	M	0
driver	male_base	The driver finished the work.	base	Ο οδηγός ολοκλήρωσε τη δουλειά.	M	M	1	Der Fahrer hat die Arbeit beendet.	M	M	1	El conductor terminó el trabajo.	M	M	1	De chauffeur heeft het werk afgemaakt.	N	M	0
machinist	male_base	The machinist finished the work.	base	Ο μηχανοτεχνίτης ολοκλήρωσε τη δουλειά.	M	M	1	Der Maschinist hat die Arbeit beendet.	M	M	1	El maquinista terminó el trabajo.	M	M	1	De machinist heeft het werk afgemaakt.	N	M	0
painter	male_base	The painter finished the work.	base	Ο ζωγράφος ολοκλήρωσε το έργο.	M	M	1	Der Maler hat die Arbeit beendet.	M	M	1	El pintor terminó el trabajo.	M	M	1	De schilder heeft het werk voltooid.	N	M	0
chemist	neutral_base	The chemist finished the work.	base	Ο χημικός τελείωσε τη δουλειά.	M	M	1	Der Chemiker hat die Arbeit beendet.	M	M	1	El químico terminó el trabajo.	M	M	1	De chemicus maakte het werk af.	N	N	1
manager	neutral_base	The manager finished the work.	base	Ο διευθυντής ολοκλήρωσε τη δουλειά.	M	M	1	Der Manager hat die Arbeit beendet.	M	M	1	El gerente terminó el trabajo.	M	M	1	De manager heeft het werk afgemaakt.	N	N	1
supervisor	neutral_base	The supervisor finished the work.	base	Ο επόπτης ολοκλήρωσε τη δουλειά.	M	M	1	Der Vorgesetzte hat die Arbeit beendet.	M	M	1	El supervisor terminó el trabajo.	M	M	1	De toezichthouder heeft het werk afgemaakt.	N	N	1
salesperson	neutral_base	The salesperson finished the work.	base	Ο πωλητής ολοκλήρωσε τη δουλειά.	M	M	1	Der Verkäufer hat die Arbeit beendet.	M	M	1	El vendedor terminó el trabajo.	M	M	1	De verkoper maakte het werk af.	N	M	0
photographer	neutral_base	The photographer finished the work.	base	Ο φωτογράφος ολοκλήρωσε τη δουλειά.	M	M	1	Der Fotograf hat die Arbeit beendet.	M	M	1	El fotógrafo terminó el trabajo.	M	M	1	De fotograaf maakte het werk af.	N	M	0
bartender	neutral_base	The bartender finished the work.	base	Ο μπάρμαν τελείωσε τη δουλειά.	M	M	1	Der Barkeeper hat die Arbeit beendet.	M	M	1	El barman terminó el trabajo.	M	M	1	De barman maakte het werk af.	M	M	1
dispatcher	neutral_base	The dispatcher finished the work.	base	Ο αποστολέας ολοκλήρωσε τη δουλειά.	M	M	1	Der Disponent hat die Arbeit beendet.	M	M	1	El despachador terminó el trabajo.	M	M	1	De dispatcher heeft het werk afgerond.	N	N	1
judge	neutral_base	The judge finished the work.	base	Ο δικαστής τελείωσε τη δουλειά.	M	M	1	Der Richter hat die Arbeit beendet.	M	M	1	El juez terminó el trabajo.	M	M	1	De rechter beëindigde het werk.	N	N	1
artist	neutral_base	The artist finished the work.	base	Ο καλλιτέχνης ολοκλήρωσε το έργο.	M	M	1	Der Künstler hat die Arbeit beendet.	M	M	1	El artista terminó la obra.	M	M	1	De kunstenaar maakte het werk af.	N	N	1
designer	neutral_base	The designer finished the work.	base	Ο σχεδιαστής ολοκλήρωσε τη δουλειά.	M	M	1	Der Designer hat die Arbeit beendet.	M	M	1	El diseñador terminó el trabajo.	M	M	1	De ontwerper heeft het werk afgerond.	N	N	1
