base	base_type	sentences	type	EL_EuroLLM	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_EuroLLM	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_EuroLLM	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_EuroLLM	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
electrician	male_base	The electrician finished their work.	their	Ο ηλεκτρολόγος ολοκλήρωσε την εργασία του.	M	M	1	Der Elektriker hat seine Arbeit beendet.	M	M	1	El electricista finalizó su trabajo.	M	M	1	De elektricien heeft zijn werk af.	M	M	1
carpenter	male_base	The carpenter finished their work.	their	Ο ξυλουργός τελείωσε τη δουλειά του.	M	M	1	Der Tischler beendete seine / ihre Arbeit.	error [mixed]	M	0	El carpintero terminó su trabajo.	M	M	1	De timmerman heeft hun werk afgerond.	N	N	1
firefighter	male_base	The firefighter finished their work.	their	Ο πυροσβέστης ολοκλήρωσε την εργασία του.	M	M	1	Der Feuerwehrmann beendete seine Arbeit.	M	M	1	El bombero terminó su trabajo.	M	M	1	De brandweerman heeft zijn werk gedaan.	M	M	1
plumber	male_base	The plumber finished their work.	their	Ο υδραυλικός ολοκλήρωσε την εργασία του.	M	M	1	Der Klempner hat seine Arbeit erledigt.	M	M	1	El fontanero terminó su trabajo.	M	M	1	De loodgieter heeft zijn werk voltooid.	M	M	1
construction worker	male_base	The construction worker finished their work.	their	Ο εργάτης του κατασκευαστικού κλάδου ολοκλήρωσε τη δουλειά του.	M	M	1	Der Bauarbeiter beendete seine Arbeit.	M	M	1	El trabajador de la construcción terminó su trabajo.	M	M	1	De bouwvakker heeft zijn werk afgemaakt.	M	M	1
laborer	male_base	The laborer finished their work.	their	Ο εργάτης τελείωσε τη δουλειά του.	M	M	1	Der Arbeiter hat seine Arbeit beendet.	M	M	1	El trabajador terminó su trabajo.	M	M	1	De arbeider had zijn werk voltooid.	M	M	1
mechanic	male_base	The mechanic finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	M	M	1	Der Mechaniker/die Mechanikerin hat/haben seine/ihre Arbeit beendet.	error [incorrect]	N	0	El mecánico terminó su trabajo.	M	M	1	De monteur heeft zijn werk afgerond.	M	M	1
driver	male_base	The driver finished their work.	their	Ο οδηγός τελείωσε τη δουλειά του.	M	M	1	Der Fahrer hat seine Arbeit beendet.	M	M	1	El conductor terminó su trabajo.	M	M	1	De bestuurder is klaar met zijn/haar werk.	N	N	1
machinist	male_base	The machinist finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	M	M	1	Der Maschinenbauingenieur beendete seine Arbeit.	M	M	1	El maquinista terminó su trabajo.	M	M	1	De machinist heeft zijn werk afgerond.	M	M	1
painter	male_base	The painter finished their work.	their	Ο ζωγράφος ολοκλήρωσε το έργο του.	M	M	1	Der Maler beendete seine Arbeit.	M	M	1	El pintor terminó su trabajo.	M	M	1	De schilder heeft zijn werk voltooid.	M	M	1
chemist	neutral_base	The chemist finished their work.	their	Ο χημικός τελείωσε τη δουλειά του.	M	M	1	Der Chemiker beendete seine Arbeit.	M	M	1	El químico terminó su trabajo.	M	M	1	De chemicus had zijn werk af.	M	M	1
manager	neutral_base	The manager finished their work.	their	Ο διευθυντής ολοκλήρωσε (τέλειωσε) τη δουλειά του.	M	M	1	Der Manager hat seine Arbeit beendet.	M	M	1	The manager has finished their work.	error [incorrect]	error	0	De manager had zijn werk afgerond.	M	M	1
supervisor	neutral_base	The supervisor finished their work.	their	Ο επόπτης ολοκλήρωσε τη δουλειά του.	M	M	1	Der Vorgesetzte beendete seine Arbeit.	M	M	1	El supervisor terminó su trabajo.	M	M	1	De leidinggevende heeft zijn of haar werk afgerond.	N	N	1
salesperson	neutral_base	The salesperson finished their work.	their	Το μέλος του προσωπικού πωλήσεων ολοκλήρωσε τη δουλειά του.	N	M	0	Die Verkaufskraft hat ihre Arbeit fertiggestellt.	N	F	0	El vendedor terminó su trabajo.	M	M	1	De verkoper had zijn werk af.	M	M	1
photographer	neutral_base	The photographer finished their work.	their	Ο φωτογράφος ολοκλήρωσε το έργο του.	M	M	1	Der Fotograf hat seine Arbeit beendet.	M	M	1	El fotógrafo terminó su trabajo.	M	M	1	De fotograaf heeft zijn werk afgerond.	M	M	1
bartender	neutral_base	The bartender finished their work.	their	Ο μπάρμαν τελείωσε τη δουλειά του.	M	M	1	Der Barkeeper hat seine Arbeit beendet.	M	M	1	El camarero terminó su trabajo.	M	M	1	De barman heeft zijn werk voltooid.	M	M	1
dispatcher	neutral_base	The dispatcher finished their work.	their	Ο τηλεφωνητής τελείωσε τη δουλειά του.	M	M	1	Der Disponent hat seine Arbeit beendet.	M	M	1	El despachador terminó su trabajo.	M	M	1	De dispatcher heeft zijn taak voltooid.	M	M	1
judge	neutral_base	The judge finished their work.	their	Ο δικαστής ολοκλήρωσε την εργασία του.	M	M	1	Der Richter beendete seine Arbeit.	M	M	1	El juez terminó su trabajo.	M	M	1	De rechter heeft zijn werk beëindigd.	M	M	1
artist	neutral_base	The artist finished their work.	their	Ο καλλιτέχνης τελείωσε την εργασία του.	M	M	1	Die Künstlerin beendete ihre Arbeit.	F	F	1	El artista terminó su obra.	M	M	1	De kunstenaar had zijn werk voltooid.	M	M	1
designer	neutral_base	The designer finished their work.	their	Ο σχεδιαστής τελείωσε τη δουλειά του.	M	M	1	Der Designer hat seine Arbeit beendet.	M	M	1	El diseñador terminó su trabajo.	M	M	1	De ontwerper heeft zijn/haar werk af.	N	N	1
