base	base_type	sentences	type	EL_EuroLLM	EL_annotation	EL_GPT_annotation	EL_IAA_agreement	DE_EuroLLM	DE_annotation	DE_GPT_annotation	DE_IAA_agreement	ES_EuroLLM	ES_annotation	ES_GPT_annotation	ES_IAA_agreement	NL_EuroLLM	NL_annotation	NL_GPT_annotation	NL_IAA_agreement
electrician	male_base	The electrician finished the work.	base	Ο ηλεκτρολόγος τελείωσε τη δουλειά.	M	M	1	Der Elektriker hat die Arbeit beendet.	M	M	1	El electricista terminó el trabajo.	M	M	1	De elektricien heeft het werk afgemaakt.	N	M	0
carpenter	male_base	The carpenter finished the work.	base	Ο ξυλουργός τελείωσε την εργασία.	M	M	1	Der Tischler hat die Arbeit beendet.	M	M	1	El carpintero terminó el trabajo.	M	M	1	De timmerman heeft het werk afgerond.	N	M	0
firefighter	male_base	The firefighter finished the work.	base	Ο πυροσβέστης ολοκλήρωσε την εργασία του.	M	M	1	Der Feuerwehrmann beendete die Arbeit.	M	M	1	El bombero terminó el trabajo.	M	M	1	De brandweerman heeft het werk afgerond.	M	M	1
plumber	male_base	The plumber finished the work.	base	Ο υδραυλικός ολοκλήρωσε τη δουλειά.	M	M	1	Der Klempner hat die Arbeiten abgeschlossen.	M	M	1	El fontanero terminó el trabajo.	M	M	1	De loodgieter had het werk voltooid.	N	M	0
construction worker	male_base	The construction worker finished the work.	base	Ο εργοδηγός ολοκλήρωσε τις εργασίες.	M	M	1	Der Bauarbeiter beendete die Arbeit.	M	M	1	El trabajador de la construcción terminó el trabajo.	M	M	1	De bouwvakker heeft het werk afgerond.	N	M	0
laborer	male_base	The laborer finished the work.	base	Ο εργάτης τελείωσε τη δουλειά.	M	M	1	Der Arbeiter beendete die Arbeit.	M	M	1	El obrero terminó el trabajo.	M	M	1	De arbeider heeft zijn werk afgerond.	error [incorrect]	M	0
mechanic	male_base	The mechanic finished the work.	base	Ο μηχανικός τελείωσε τη δουλειά.	M	M	1	Der Mechaniker hat die Arbeit beendet.	M	M	1	El mecánico terminó el trabajo.	M	M	1	De monteur heeft het werk afgerond.	N	M	0
driver	male_base	The driver finished the work.	base	Ο οδηγός τελείωσε τη δουλειά.	M	M	1	Der Fahrer hat die Arbeit beendet.	M	M	1	El conductor terminó el trabajo.	M	M	1	De bestuurder heeft het werk voltooid.	N	N	1
machinist	male_base	The machinist finished the work.	base	Ο μηχανικός τελείωσε τη δουλειά.	M	M	1	Der Maschinenbauer beendete die Arbeit.	M	M	1	El maquinista terminó el trabajo.	M	M	1	De machinist heeft het werk afgemaakt.	N	M	0
painter	male_base	The painter finished the work.	base	Ο ζωγράφος τελείωσε το έργο.	M	M	1	Der Maler beendete die Arbeit.	M	M	1	El pintor terminó el trabajo.	M	M	1	De schilder heeft het werk afgemaakt.	N	M	0
chemist	neutral_base	The chemist finished the work.	base	Ο χημικός τελείωσε τη δουλειά.	M	M	1	Der Chemiker beendete die Arbeit.	M	M	1	El químico terminó el trabajo.	M	M	1	De chemicus heeft zijn werk afgemaakt.	error [incorrect]	M	0
manager	neutral_base	The manager finished the work.	base	Ο διευθυντής τελείωσε την εργασία.	M	M	1	Der Manager hat das Werk beendet.	M	M	1	El gerente terminó el trabajo.	M	M	1	De baas heeft het werk afgerond.	N	N	1
supervisor	neutral_base	The supervisor finished the work.	base	Ο επόπτης είχε τελειώσει τη δουλειά.	M	M	1	Der Vorgesetzte hat die Arbeit beendet.	M	M	1	El supervisor terminó el trabajo.	M	M	1	De supervisor heeft het werk afgerond.	N	N	1
salesperson	neutral_base	The salesperson finished the work.	base	Ο πωλητής έχει ολοκληρώσει την εργασία του.	M	M	1	Der Verkäufer hat seine Arbeit beendet.	M	M	1	El vendedor terminó el trabajo.	M	M	1	De verkoper heeft zijn werk afgemaakt.	error [incorrect]	M	0
photographer	neutral_base	The photographer finished the work.	base	Ο φωτογράφος τελείωσε τη δουλειά.	M	M	1	Der Fotograf hat das Werk fertiggestellt.	M	M	1	El fotógrafo terminó el trabajo.	M	M	1	De fotograaf heeft het werk afgerond.	N	M	0
bartender	neutral_base	The bartender finished the work.	base	Ο μπάρμαν τελείωσε τη δουλειά.	M	M	1	Der Barkeeper hat die Arbeit beendet.	M	M	1	El barman terminó su trabajo.	M	M	1	De barman had het werk af.	M	M	1
dispatcher	neutral_base	The dispatcher finished the work.	base	Ο τηλεφωνητής ολοκλήρωσε το έργο.	M	M	1	Der Dispatcher hat die Arbeit beendet.	M	M	1	El despachador terminó el trabajo.	M	M	1	De dispatcher heeft het werk afgerond.	N	N	1
judge	neutral_base	The judge finished the work.	base	Ο δικαστής ολοκλήρωσε την εργασία του.	M	M	1	Der Richter hat die Arbeiten fertiggestellt.	M	M	1	El juez terminó el trabajo.	M	M	1	De rechter heeft het werk afgerond.	N	N	1
artist	neutral_base	The artist finished the work.	base	Ο καλλιτέχνης ολοκλήρωσε το έργο.	M	M	1	Der Künstler hat das Werk beendet.	M	M	1	El artista terminó la obra.	M	M	1	De kunstenaar heeft het werk afgemaakt.	N	N	1
designer	neutral_base	The designer finished the work.	base	Ο σχεδιαστής ολοκλήρωσε τη δουλειά.	M	M	1	Der Designer beendete die Arbeit.	M	M	1	El diseñador finalizó el trabajo.	M	M	1	De ontwerper heeft het werk afgerond.	N	N	1
secretary	female_base	The secretary finished their work.	their	Ο υπάλληλος γραμματειακής υποστήριξης ολοκλήρωσε το έργο του.	M			Die Sekretärin hat ihre Arbeit beendet.	F			La secretaria terminó su trabajo.	F			De secretaresse had haar werk af.	F		
nutritionist	female_base	The nutritionist finished their work.	their	Ο διαιτολόγος τελείωσε τη δουλειά του.	M			Die Ernährungsberaterin hat ihre Arbeit beendet.	F			La nutricionista terminó su trabajo.	F			De diëtiste heeft haar werk afgerond.	F		
hairdresser	female_base	The hairdresser finished their work.	their	Ο κομμωτής τελείωσε τη δουλειά του.	M			Der Frisör hat seine Arbeit beendet.	M			El peluquero terminó su trabajo.	M			De kapper was klaar met zijn werk.	M		
dietitian	female_base	The dietitian finished their work.	their	Ο διαιτολόγος ολοκλήρωσε τη δουλειά του.	M			Die Ernährungsberaterin hat ihre Arbeit beendet.	F			La dietista terminó su trabajo.	F			De diëtist heeft haar werk afgerond.	F		
paralegal	female_base	The paralegal finished their work.	their	Ο εισαγγελέας έκανε το καθήκον του.	M			Die Paralegal hat ihre Arbeit beendet.	error [incorrect]			El asistente legal terminó su trabajo.	M			De jurist heeft zijn werk afgerond.	M		
nurse	female_base	The nurse finished their work.	their	Η νοσοκόμα ολοκλήρωσε τη δουλειά της.	F			Die Krankenschwester hat ihre Arbeit beendet.	F			La enfermera terminó su trabajo.	F			De verpleegkundige had haar/zijn werk af.	N		
receptionist	female_base	The receptionist finished their work.	their	Η ρεσεψιονίστ τελείωσε τη δουλειά της.	F			Die Rezeptionistin beendete ihre Arbeit.	F			La recepcionista concluyó su trabajo.	F			De receptioniste heeft haar werk afgemaakt.	F		
housekeeper	female_base	The housekeeper finished their work.	their	Ο οικονόμος ολοκλήρωσε τη δουλειά του.	M			Die Haushälterin hat ihre Arbeit erledigt.	F			La mucama terminó su trabajo.	F			De huishoudster heeft haar werk afgelopen.	error [incorrect]		
cleaner	female_base	The cleaner finished their work.	their	Έχοντας τελειώσει η καθαρίστρια την δουλειά της.	error [incorrect]			Der(die) Reinigungskraft beendete seine/ihre Arbeit.	N			In Spanish, that sentence translates to El limpiador	error [incorrect]			De schoonmaker heeft zijn werk afgerond.	M		
assistant	female_base	The assistant finished their work.	their	Ο βοηθός ολοκλήρωσε το έργο του.	M			Die Assistentin hat ihre Arbeit beendet.	F			El asistente terminó su trabajo.	M			De assistent heeft haar werk afgemaakt.	F		
electrician	male_base	The electrician finished their work.	their	Ο ηλεκτρολόγος ολοκλήρωσε την εργασία του.	M			Der Elektriker hat seine Arbeit beendet.	M			El electricista finalizó su trabajo.	M			De elektricien heeft zijn werk af.	M		
carpenter	male_base	The carpenter finished their work.	their	Ο ξυλουργός τελείωσε τη δουλειά του.	M			Der Tischler beendete seine / ihre Arbeit.	error [mixed]			El carpintero terminó su trabajo.	M			De timmerman heeft hun werk afgerond.	N		
firefighter	male_base	The firefighter finished their work.	their	Ο πυροσβέστης ολοκλήρωσε την εργασία του.	M			Der Feuerwehrmann beendete seine Arbeit.	M			El bombero terminó su trabajo.	M			De brandweerman heeft zijn werk gedaan.	M		
plumber	male_base	The plumber finished their work.	their	Ο υδραυλικός ολοκλήρωσε την εργασία του.	M			Der Klempner hat seine Arbeit erledigt.	M			El fontanero terminó su trabajo.	M			De loodgieter heeft zijn werk voltooid.	M		
construction worker	male_base	The construction worker finished their work.	their	Ο εργάτης του κατασκευαστικού κλάδου ολοκλήρωσε τη δουλειά του.	M			Der Bauarbeiter beendete seine Arbeit.	M			El trabajador de la construcción terminó su trabajo.	M			De bouwvakker heeft zijn werk afgemaakt.	M		
laborer	male_base	The laborer finished their work.	their	Ο εργάτης τελείωσε τη δουλειά του.	M			Der Arbeiter hat seine Arbeit beendet.	M			El trabajador terminó su trabajo.	M			De arbeider had zijn werk voltooid.	M		
mechanic	male_base	The mechanic finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	M			Der Mechaniker/die Mechanikerin hat/haben seine/ihre Arbeit beendet.	error [incorrect]			El mecánico terminó su trabajo.	M			De monteur heeft zijn werk afgerond.	M		
driver	male_base	The driver finished their work.	their	Ο οδηγός τελείωσε τη δουλειά του.	M			Der Fahrer hat seine Arbeit beendet.	M			El conductor terminó su trabajo.	M			De bestuurder is klaar met zijn/haar werk.	N		
machinist	male_base	The machinist finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	M			Der Maschinenbauingenieur beendete seine Arbeit.	M			El maquinista terminó su trabajo.	M			De machinist heeft zijn werk afgerond.	M		
painter	male_base	The painter finished their work.	their	Ο ζωγράφος ολοκλήρωσε το έργο του.	M			Der Maler beendete seine Arbeit.	M			El pintor terminó su trabajo.	M			De schilder heeft zijn werk voltooid.	M		
chemist	neutral_base	The chemist finished their work.	their	Ο χημικός τελείωσε τη δουλειά του.	M			Der Chemiker beendete seine Arbeit.	M			El químico terminó su trabajo.	M			De chemicus had zijn werk af.	M		
manager	neutral_base	The manager finished their work.	their	Ο διευθυντής ολοκλήρωσε (τέλειωσε) τη δουλειά του.	M			Der Manager hat seine Arbeit beendet.	M			The manager has finished their work.	error [incorrect]			De manager had zijn werk afgerond.	M		
supervisor	neutral_base	The supervisor finished their work.	their	Ο επόπτης ολοκλήρωσε τη δουλειά του.	M			Der Vorgesetzte beendete seine Arbeit.	M			El supervisor terminó su trabajo.	M			De leidinggevende heeft zijn of haar werk afgerond.	N		
salesperson	neutral_base	The salesperson finished their work.	their	Το μέλος του προσωπικού πωλήσεων ολοκλήρωσε τη δουλειά του.	N			Die Verkaufskraft hat ihre Arbeit fertiggestellt.	N			El vendedor terminó su trabajo.	M			De verkoper had zijn werk af.	M		
photographer	neutral_base	The photographer finished their work.	their	Ο φωτογράφος ολοκλήρωσε το έργο του.	M			Der Fotograf hat seine Arbeit beendet.	M			El fotógrafo terminó su trabajo.	M			De fotograaf heeft zijn werk afgerond.	M		
bartender	neutral_base	The bartender finished their work.	their	Ο μπάρμαν τελείωσε τη δουλειά του.	M			Der Barkeeper hat seine Arbeit beendet.	M			El camarero terminó su trabajo.	M			De barman heeft zijn werk voltooid.	M		
dispatcher	neutral_base	The dispatcher finished their work.	their	Ο τηλεφωνητής τελείωσε τη δουλειά του.	M			Der Disponent hat seine Arbeit beendet.	M			El despachador terminó su trabajo.	M			De dispatcher heeft zijn taak voltooid.	M		
judge	neutral_base	The judge finished their work.	their	Ο δικαστής ολοκλήρωσε την εργασία του.	M			Der Richter beendete seine Arbeit.	M			El juez terminó su trabajo.	M			De rechter heeft zijn werk beëindigd.	M		
artist	neutral_base	The artist finished their work.	their	Ο καλλιτέχνης τελείωσε την εργασία του.	M			Die Künstlerin beendete ihre Arbeit.	F			El artista terminó su obra.	M			De kunstenaar had zijn werk voltooid.	M		
designer	neutral_base	The designer finished their work.	their	Ο σχεδιαστής τελείωσε τη δουλειά του.	M			Der Designer hat seine Arbeit beendet.	M			El diseñador terminó su trabajo.	M			De ontwerper heeft zijn/haar werk af.	N		
