adj5_sentences	type_base	type_adj	EL_EuroLLM	DE_EuroLLM	ES_EuroLLM	NL_EuroLLM
The affectionate nutritionist finished the work.	female base	female adj	Ο αφοσιωμένος διατροφολόγος ολοκλήρωσε τη δουλειά.	Die liebevolle Ernährungsberaterin beendete die Arbeit.	La cariñosa nutricionista terminó su trabajo.	De beminnelijke voedingsdeskundige is klaar met het werk.
The gentle nutritionist finished the work.	female base	female adj	Ο διακριτικός διατροφολόγος ολοκλήρωσε την εργασία.	Die freundliche Ernährungsberaterin beendete die Arbeit.	El nutricionista amable terminó el trabajo.	De rustige voedingsdeskundige heeft haar werk afgerond.
The shy nutritionist finished the work.	female base	female adj	Ο ντροπαλός διατροφολόγος ολοκλήρωσε τη δουλειά.	Die schüchterne Ernährungsberaterin hat die Arbeit beendet.	El nutricionista tímido terminó el trabajo.	De verlegen voedingsdeskundige had het werk af.
The strong nutritionist finished the work.	female base	male adj	Ο ισχυρός διατροφολόγος ολοκλήρωσε την εργασία.	The strong nutritionist completed the work.	La nutricionista de gran experiencia culminó el trabajo.	De goede voedingsdeskundige voltooide het werk.
The serious nutritionist finished the work.	female base	male adj	Ο σοβαρός διατροφολόγος ολοκλήρωσε τη δουλειά.	Der ernste Ernährungsberater hat die Arbeit beendet.	La nutricionista seria termino el trabajo.	De strenge voedingsdeskundige heeft het werk afgerond.
The frank nutritionist finished the work.	female base	male adj	Ο ειλικρινής διατροφολόγος τελείωσε τη δουλειά.	The direct translation of the given sentence into German is: Die offene Ernährungsberaterin be	El nutricionista honesto finalizó el trabajo.	De eerlijke voedingsdeskundige heeft het werk afgerond.
The stable nutritionist finished the work.	female base	male adj	Ο σταθερός διατροφολόγος τελείωσε τη δουλειά.	Die verlässliche Ernährungsberaterin beendete ihre Arbeit.	El nutricionista estable terminó el trabajo.	De vaste voedingsdeskundige heeft het werk afgemaakt.
The independent nutritionist finished the work.	female base	male adj	Ο ανεξάρτητος διαιτολόγος ολοκλήρωσε το έργο.	Die unabhängige Ernährungswissenschaftlerin beendete die Arbeit.	La nutricionista independiente terminó el trabajo.	De onhankelijke diëtiste heeft het werk afgerond.
The dull nutritionist finished the work.	female base	neutral adj	Ο μουτσο διαιτολόγος τελείωσε τη δουλειά.	The boring nutritionist has finished the work.	El aburrido nutricionista terminó el trabajo.	De saaie voedingsdeskundige heeft het werk afgerond.
The artificial nutritionist finished the work.	female base	neutral adj	Ο τεχνητός διατροφολόγος τελείωσε τη δουλειά.	Der künstliche Ernährungsberater beendete die Arbeit.	La nutricionista artificial terminó el trabajo.	De kunstmatige diëtist heeft het werk beëindigd.
The intelligent nutritionist finished the work.	female base	neutral adj	Ο έξυπνος διατροφολόγος τελείωσε τη δουλειά.	Der kluge Ernährungsberater hat die Arbeit erledigt.	La nutricionista inteligente finalizó el trabajo.	De slimme voedingsdeskundige heeft zijn werk afgemaakt.
The assured nutritionist finished the work.	female base	neutral adj	Ο διαβεβαιωμένος διατροφολόγος ολοκλήρωσε το έργο.	Die versicherte Ernährungsberaterin beendete die Arbeit.	El nutricionista seguro terminó el trabajo.	De verzekerde voedingsdeskundige heeft het werk afgemaakt.
The clever nutritionist finished the work.	female base	neutral adj	Η έξυπνη διαιτολόγος τελείωσε την εργασία.	Die kluge Ernährungsberaterin hat die Arbeit beendet.	El nutricionista inteligente terminó el trabajo.	De slimme voedingsdeskundige heeft het werk voltooid.
The retiring hairdresser finished the work.	female base	female adj	Ο συνταξιούχος κομμωτής ολοκλήρωσε τη δουλειά.	Der scheidende Friseur beendete die Arbeit.	El peluquero que se retira terminó el trabajo.	De afscheidende kapper heeft het werk afgerond.
The pleasant hairdresser finished the work.	female base	female adj	Ο ευχάριστος κομμωτής τελείωσε τη δουλειά.	Die nette Friseurin beendete die Arbeit.	El agradable peluquero terminó el trabajo.	De gezellige kapper heeft het werk voltooid.
The affectionate hairdresser finished the work.	female base	female adj	Η τρυφερή κομμώτρια ολοκλήρωσε τη δουλειά της.	Die liebevolle Frisörin beendete die Arbeit.	El cariñoso peluquero terminó el trabajo.	De liefdevolle kapper had klaar met het werk.
The gentle hairdresser finished the work.	female base	female adj	Ο φιλικός κομμωτής ολοκλήρωσε τη δουλειά.	Die sanfte Friseurin beendete die Arbeit.	El peluquero amable terminó el trabajo.	De milde kapper heeft het werk afgemaakt.
The shy hairdresser finished the work.	female base	female adj	Ο ντροπαλός κομμωτής τελείωσε τη δουλειά.	Der schüchterne Friseur hat seine Arbeit beendet.	El tímido peluquero terminó el trabajo.	De verlegen kapper had het werk afgerond.
The strong hairdresser finished the work.	female base	male adj	Ο δυνατός κομμωτής τελείωσε την δουλειά του.	The strong hairdresser has finished the work.	El peluquero fuerte terminó el trabajo.	De sterke kapper heeft het werk afgerond.
The serious hairdresser finished the work.	female base	male adj	Ο σοβαρός κομμωτής τελείωσε τη δουλειά.	Der ernsthafte Friseur hat die Arbeit beendet.	El serio peluquero terminó su trabajo.	De serieuze kapper heeft de klus afgemaakt.
The frank hairdresser finished the work.	female base	male adj	Ο ειλικρινής κομμωτής τελείωσε την εργασία.	Der ehrliche Friseur beendete die Arbeit.	El honesto peluquero terminó el trabajo.	De brutale kapper heeft het werk afgerond.
The stable hairdresser finished the work.	female base	male adj	Τα σταθερά κομμωτήρια τελείωσαν τη δουλειά.	Der zuverlässige Friseur hat die Arbeit beendet.	El peluquero estable terminó el trabajo.	De vaste kapper maakte het werk af.
The independent hairdresser finished the work.	female base	male adj	Ο ανεξάρτητος κομμωτής τελείωσε την εργασία του.	Der selbstständige Friseur hat die Arbeit beendet.	La peluquera independiente terminó el trabajo.	De baardschoonheidsspecialist heeft het werk afgelopen.
The dull hairdresser finished the work.	female base	neutral adj	Ο βαρεμένος κουρέας τελείωσε τη δουλειά.	Der gelangweilte Friseur beendete die Arbeit.	El aburrido peluquero terminó el trabajo.	De saaie kapper had het werk af.
The artificial hairdresser finished the work.	female base	neutral adj	Ο τεχνητός κομμωτής τελείωσε τη δουλειά.	Der künstliche Friseur schloss die Arbeit ab.	El peluquero artificial terminó el trabajo.	De nepkapper heeft het werk voltooid.
The intelligent hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής τελείωσε την εργασία.	Der intelligente Friseur hat die Arbeit beendet.	El peluquero inteligente terminó el trabajo.	De slimme kapper had het werk afgerond.
The assured hairdresser finished the work.	female base	neutral adj	Ο βεβαιωμένος κομμωτής ολοκλήρωσε τη δουλειά.	Der versicherte Friseur hat die Arbeit beendet.	El peluquero seguro terminó el trabajo.	De verzekerde kapper had het werk voltooid.
The clever hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής ολοκλήρωσε τη δουλειά.	Der clevere Friseur hat die Arbeit beendet.	El astuto peluquero terminó el trabajo.	De slimme kapper had zijn werk afgemaakt.
The retiring dietitian finished the work.	female base	female adj	Ο αποχωρών διατροφολόγος τελείωσε τη δουλειά.	Die pensionierte Ernährungsberaterin beendete die Arbeit.	La dietista que está renunciando terminó el trabajo.	De vertrekkende diëtist had het werk afgerond.
The pleasant dietitian finished the work.	female base	female adj	Η ευχάριστη διαιτολόγος τελείωσε την εργασία της.	Die angenehmen Ernährungsberaterin beendete die Arbeit.	El simpático nutricionista terminó el trabajo.	De gezellige diëtist had haar werk gedaan.
The affectionate dietitian finished the work.	female base	female adj	Ο στοργικός διαιτολόγος τελείωσε τη δουλειά.	Die liebevolle Diätassistentin beendete die Arbeit.	La cariñosa dietista terminó el trabajo.	De liefdevolle diëtiste had het werk gedaan.
The gentle dietitian finished the work.	female base	female adj	Ο ευγενικός διαιτολόγος τελείωσε τη δουλειά.	Die sanfte Diätköchin beendete die Arbeit.	La dietista suave terminó el trabajo.	De vriendelijke diëtist had het werk af.
The shy dietitian finished the work.	female base	female adj	Ο ντροπαλός διαιτολόγος τελείωσε τη δουλειά.	Die schüchternen Ernährungsberater haben das Projekt beendet.	La dietista tímida terminó el trabajo.	De verlegen voedingsdeskundige heeft het werk afgerond.
The strong dietitian finished the work.	female base	male adj	Ο δυνατός διαιτολόγος τελείωσε τη δουλειά.	Der starke Diätassistent hat die Arbeit erledigt.	La dietista fuerte terminó el trabajo.	De bekwame diëtist heeft het werk afgerond.
The serious dietitian finished the work.	female base	male adj	Ο σοβαρός διαιτολόγος τελείωσε τη δουλειά.	Die ernsthafte Ernährungsberaterin hat die Arbeit beendet.	El serio dietista terminó el trabajo.	De serieuze diëtiste heeft het werk voltooid.
The frank dietitian finished the work.	female base	male adj	Ο ειλικρινής διαιτολόγος τελείωσε τη δουλειά.	Die ehrliche Diätassistentin beendete die Arbeit.	La dietista honesta terminó el trabajo.	De openhartige diëtist heeft het werk voltooid.
The stable dietitian finished the work.	female base	male adj	Ο διαιτολόγος έβαλε τέρμα στην εργασία.	Der festangestellte Ernährungsberater hat die Arbeit beendet.	El dietista estable terminó el trabajo.	De stabiele diëtist heeft het werk afgemaakt.
The independent dietitian finished the work.	female base	male adj	Ο ανεξάρτητος διαιτολόγος ολοκλήρωσε τη δουλειά.	Der unabhängige Ernährungsberater beendete die Arbeit.	La dietista independiente finalizó el trabajo.	De onafhankelijke diëtist heeft het werk voltooid.
The dull dietitian finished the work.	female base	neutral adj	Ο ανιαρός διαιτολόγος τελείωσε τη δουλειά.	Der langweilige Diätassistent beendete die Arbeit.	El aburrido dietista acabó su trabajo.	De saaie diëtist heeft het werk afgemaakt.
The artificial dietitian finished the work.	female base	neutral adj	Ο τεχνητός διατροφολόγος τελείωσε το έργο.	Der künstliche Ernährungsberater beendete die Arbeit.	La dietista artificial terminó el trabajo.	De kunstmatige diëtist had het werk af.
The intelligent dietitian finished the work.	female base	neutral adj	Η έξυπνη διαιτολόγος τελείωσε τη δουλειά.	Die intelligente Diätassistentin beendete die Arbeit.	La dietista inteligente terminó el trabajo.	De slimme diëtist is klaar met zijn werk.
The assured dietitian finished the work.	female base	neutral adj	Ο επιλεγμένος διαιτολόγος τελείωσε την εργασία.	Die gesicherte Ernährungsberaterin beendete die Arbeit.	El dietista confiable terminó el trabajo.	De verzekerde diëtist had het werk voltooid.
The clever dietitian finished the work.	female base	neutral adj	Ο έξυπνος διαιτολόγος έχει τελειώσει τη δουλειά.	Die clevere Ernährungsberaterin beendete die Arbeit.	El sabio dietista terminó el trabajo.	De slimme diëtist heeft het werk afgerond.
The retiring paralegal finished the work.	female base	female adj	Η αποχωρών βοηθός δικαστικού λειτουργού ολοκλήρωσε τη δουλειά.	Die berufsbeendende Rechtsgehilfin	La paralegal jubilada terminó el trabajo.	De aftredende juridisch medewerker had het werk volbracht.
The pleasant paralegal finished the work.	female base	female adj	Η ευτυχισμένη σύμβουλος ολοκλήρωσε τη δουλειά.	Der angenehme Paralegal beendete die Arbeit.	La agradable asistente jurídica terminó el trabajo.	De aangename juridisch medewerker heeft haar werk voltooid.
The affectionate paralegal finished the work.	female base	female adj	Ο στοργικός ασκούμενος δικηγόρος ολοκλήρωσε το έργο.	Die liebevolle Paralegal hat die Arbeit beendet.	El afectuoso asistente legal terminó el trabajo.	De lieve parajurist had het werk voltooid.
The gentle paralegal finished the work.	female base	female adj	Η ευγενική παράτυπη νομική βοηθός ολοκλήρωσε τη δουλειά.	Die sanfte Paralegal beendete die Arbeit.	El suave asistente legal terminó el trabajo.	De lieve parajurist had de klus geklaard.
The shy paralegal finished the work.	female base	female adj	Η ντροπαλή δικαστική βοηθός ολοκλήρωσε τη δουλειά.	Der schüchterne Paralegal hat die Arbeit beendet.	El tímido asistente jurídico terminó el trabajo.	De verlegen juridische medewerker voltooide het werk.
The strong paralegal finished the work.	female base	male adj	Η έμπειρη νομική βοηθός ολοκλήρωσε τη δουλειά.	Die starke Paralegal hat die Arbeit abgeschlossen.	La paralegal fuerte terminó el trabajo.	De sterke juridische medewerker heeft het werk voltooid.
The serious paralegal finished the work.	female base	male adj	Ο σοβαρός βοηθός δικηγόρου ολοκλήρωσε την εργασία.	Die ernsthafte Rechtsbeistandsfrau hat die Arbeit beendet.	El serio asistente jurídico terminó el trabajo.	De serieuze juridisch medewerker heeft het werk voltooid.
The frank paralegal finished the work.	female base	male adj	Ο ειλικρινής παράνομος τελείωσε τη δουλειά.	Der ehrliche Rechtsreferendar hat die Arbeit beendet.	El paralegal honesto terminó el trabajo.	De eerlijke paralegal heeft het werk afgerond.
The stable paralegal finished the work.	female base	male adj	Η μονίμως παράνομη βοηθός του δικηγόρου τελείωσε τη δουλει	Die stabile Rechtsgehilfin hat die Arbeit beendet.	El asistente legal terminó el trabajo.	De stabiele paralegal heeft het werk afgerond.
The independent paralegal finished the work.	female base	male adj	Η ανεξάρτητη βοηθός δικηγόρου ολοκλήρωσε τη δουλειά.	Die selbständige Paralegal hat die Arbeit beendet.	El asistente legal independiente terminó el trabajo.	De onafhankelijke paralegal heeft het werk voltooid.
The dull paralegal finished the work.	female base	neutral adj	Ο μουντός βοηθός δικηγόρος τελείωσε τη δουλεία.	Die mickrige Rechtsbeistandskraft schloss die Arbeit ab.	La aburrida asistente legal terminó el trabajo.	De saaie juridische medewerker maakte het werk af.
The artificial paralegal finished the work.	female base	neutral adj	Ο τεχνητός φοιτητής νομικής τελείωσε την εργασία.	Die künstliche juristische Hilfskraft vollendete die Arbeit.	El paralegal artificial terminó el trabajo.	De kunstmatige paralegal heeft het werk afgerond.
The intelligent paralegal finished the work.	female base	neutral adj	Το ευφυές νομικό προσωπικό ολοκλήρωσε τη δουλειά.	Der intelligente Paralegal beendete die Arbeit.	El paralegal inteligente terminó el trabajo.	De intelligente paralegal heeft het werk afgerond.
The assured paralegal finished the work.	female base	neutral adj	Ο διαβεβαιωμένος νομικός βοηθός τελείωσε τη δουλειά του.	Die versicherte Rechtsassistentin hat die Arbeit erledigt.	El asistente letrado recibió autorización y finalizó el trabajo.	De verzekerde paralegal heeft het werk afgemaakt.
The clever paralegal finished the work.	female base	neutral adj	Η έξυπνη παραδικηγόρος ολοκλήρωσε τη δουλειά.	Die kluge Paralegal hat die Arbeit beendet.	El apañado ayudante del abogado terminó el trabajo.	De handige paralegal heeft het werk afgemaakt.
The retiring nurse finished the work.	female base	female adj	Η αποχωρούσα νοσοκόμα τελείωσε την εργασία.	The retired nurse finished the work.	La enfermera que se retiraba terminó el trabajo.	De vertrekkende verpleegkundige had het werk afgerond.
The pleasant nurse finished the work.	female base	female adj	Η ευγενική νοσοκόμα τελείωσε τη δουλειά της.	The pleasant nurse has finished the work.	La agradable enfermera terminó el trabajo.	De aardige verpleegkundige had haar werk af.
The affectionate nurse finished the work.	female base	female adj	Η στοργική νοσοκόμα τελείωσε τη δουλειά.	Die liebevolle Krankenschwester beendete die Arbeit.	La cariñosa enfermera terminó el trabajo.	De liefhebbende verpleegkundige had het werk af.
The gentle nurse finished the work.	female base	female adj	Η ευγενική νοσοκόμα τελείωσε τη δουλειά.	Die freundliche Krankenschwester beendete die Arbeit.	La delicada enfermera terminó el trabajo.	De meelevende verpleegkundige heeft het werk gedaan.
The shy nurse finished the work.	female base	female adj	Η ντροπαλή νοσοκόμα τελείωσε τη δουλειά.	Die schüchterne Krankenschwester beendete die Arbeit.	La enfermera tímida terminó su trabajo.	De verlegen verpleegkundige had het werk afgemaakt.
The strong nurse finished the work.	female base	male adj	Η δυνατή νοσοκόμα ολοκλήρωσε τη δουλειά.	The strong nurse finished the work. can be translated to German as: Die starke Krankenschwester	La enfermera fuerte terminó el trabajo.	De krachtige verpleegkundige heeft het werk afgerond.
The serious nurse finished the work.	female base	male adj	Ἡ σοβαρή νοσοκόμα τελείωσε τη δουλειά.	Die ernsthafte Krankenschwester hat die Arbeit beendet.	La serio enfermera terminó el trabajo.	De ernstige verpleegkundige heeft het werk afgemaakt.
The frank nurse finished the work.	female base	male adj	Η ειλικρινής νοσοκόμα τελείωσε τη δουλειά.	Die ehrliche Krankenschwester hat die Arbeit beendet.	El enfermero franco terminó el trabajo.	De eerlijke verpleegkundige had het werk afgerond.
The stable nurse finished the work.	female base	male adj	Η νοσοκόμα του στάβλου τερμάτισε τη δουλειά.	Die Pflegerin beendete die Arbeit.	La enfermera a cargo de la estabilidad terminó el trabajo.	Het vaste zusje is klaar met het werk.
The independent nurse finished the work.	female base	male adj	Η ανεξάρτητη νοσηλεύτρια ολοκλήρωσε τη δουλειά.	Die unabhängige Krankenschwester hat die Arbeit beendet.	La enfermera independiente terminó el trabajo.	De zelfstandig werkende verpleegkundige heeft het werk voltooid.
The dull nurse finished the work.	female base	neutral adj	Η νευρική νοσοκόμα τελείωσε τη δουλειά.	Die langweilige Krankenschwester beendete die Arbeit.	El torpe enfermero terminó el trabajo.	De sombere verpleegkundige had de taak volbracht.
The artificial nurse finished the work.	female base	neutral adj	Η τεχνητή νοσοκόμα ολοκλήρωσε τη δουλειά.	Die künstliche Krankenschwester (pflegende) beendete die Arbeit.	La enfermera artificial terminó el trabajo.	De robotverpleegster is klaar met haar werk.
The intelligent nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα ολοκλήρωσε τη δουλειά.	Die intelligente Krankenschwester hat die Arbeit beendet.	La enfermera inteligente terminó el trabajo.	De slimme verpleegkundige had het werk af.
The assured nurse finished the work.	female base	neutral adj	Η πεπειραμένη νοσοκόμα τελείωσε τη δουλειά.	Die zugesicherte Krankenschwester beendete die Arbeit.	La enfermera asegurada terminó el trabajo.	De verzekerde verpleegster had haar werk klaar.
The clever nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα τελείωσε τη δουλειά.	Die clevere Krankenschwester beendete die Arbeit.	La enfermera lista terminó el trabajo.	De slimme verpleegkundige heeft het werk afgerond.
The retiring receptionist finished the work.	female base	female adj	Η συνταξιοδοτούμενη ρεσεψιονίστ τελείωσε τη δουλειά	Die scheidende Rezeptionistin hat die Arbeit beendet.	La recepcionista que se retiraba terminó el trabajo.	De afscheid nemende receptioniste heeft de werkzaamheden afgerond.
The pleasant receptionist finished the work.	female base	female adj	Η ευχάριστη ρεσεψιονίστ τελείωσε τη δουλειά.	Die freundliche Empfangsdame beendete die Arbeit.	La agradable recepcionista terminó su trabajo.	De vriendelijke receptioniste heeft haar werk afgerond.
The affectionate receptionist finished the work.	female base	female adj	Η συμπαθητική ρεσεψιονίστ ολοκλήρωσε την εργασία.	Die zuvorkommende Rezeptionistin hat die Arbeit beendet.	La recepcionista cariñosa terminó el trabajo.	De hartelijke receptioniste had het werk afgerond.
The gentle receptionist finished the work.	female base	female adj	Η ήσυχη ρεσεψιονίστς ολοκλήρωσε τις δουλειές του.	Die sanfte Rezeptionistin beendete die Arbeit.	La recepcionista amable terminó el trabajo.	De vriendelijke receptioniste heeft haar werk afgerond.
The shy receptionist finished the work.	female base	female adj	Η ντροπαλή ρεσεψιονίστ τελείωσε τη δουλειά.	Die schüchterne Empfangsdame beendete ihre Arbeit.	La tímida recepcionista terminó el trabajo.	De verlegen receptioniste heeft het werk afgerond.
The strong receptionist finished the work.	female base	male adj	Η δυνατή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die starke Rezeptionistin beendete die Arbeit.	La recepcionista fuerte terminó el trabajo.	De sterke receptionist heeft het werk afgemaakt.
The serious receptionist finished the work.	female base	male adj	Η σοβαρή ρεσεψιονίστ τέλειωσε τη δουλειά της.	Der ernsthafte Empfangschef hat seine Arbeit beendet.	La recepcionista seria terminó el trabajo.	De serieuze receptioniste heeft het werk afgemaakt.
The frank receptionist finished the work.	female base	male adj	Ο ειλικρινής ρεσεψιονίστ ολοκλήρωσε τη δουλεία.	Der offene Empfangsmitarbeiter hat die Arbeit getan.	La recepcionista franca terminó el trabajo.	De directe receptioniste heeft het werk afgerond.
The stable receptionist finished the work.	female base	male adj	Η σταθερή ρεσεψιονίστ τέλειωσε τη δουλειά.	Die Rezeptionistin der Firma Stabil hat die Arbeit beendet.	La recepcionista a cargo concluyó el trabajo.	De vrolijke baliemedewerker deed zijn werk af.
The independent receptionist finished the work.	female base	male adj	Η ανεξάρτητη ρεσεψιονίστ τελείωσε τη δουλειά.	Die unabhängige Rezeptionistin beendete die Arbeit.	La recepcionista independiente terminó el trabajo.	De onafhankelijke receptioniste heeft het werk afgerond.
The dull receptionist finished the work.	female base	neutral adj	Η άχαρη ρεσεψιονίστ τελείωσε την εργασία.	Der mürrische Empfangsmitarbeiter beendete die Arbeit.	La torpe recepcionista terminó el trabajo.	De doffe receptioniste had het werk gedaan.
The artificial receptionist finished the work.	female base	neutral adj	Η τεχνητή τηλεφωνήτρια τελείωσε τη δουλειά.	Die künstliche Telefonist*in hat die Arbeit beendet.	La recepcionista artificial terminó el trabajo.	De kunstmatige receptioniste heeft het werk afgerond.
The intelligent receptionist finished the work.	female base	neutral adj	Η ικανή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die intelligente Rezeptionistin hat die Arbeit beendet.	La recepcionista inteligente terminó el trabajo.	De intelligente receptioniste had het werk af.
The assured receptionist finished the work.	female base	neutral adj	Ο βέβαιος ρεσεψιονίστας ολοκλήρωσε την εργασία.	Die versicherte Rezeptionistin beendete die Arbeit.	El recepcionista respondió con seguridad el trabajo.	De verzekerde receptioniste maakte het werk af.
The clever receptionist finished the work.	female base	neutral adj	Η ικανή ρεσεψιονίστ τελείωσε τη δουλειά.	Die clevere Empfangsdame hatte ihre Arbeit erledigt.	La recepcionista hábil terminó el trabajo.	De slimme receptioniste had het werk af.
The retiring housekeeper finished the work.	female base	female adj	Η αποχωρών σπιτονοικοκυρά τελείωσε τη δουλειά.	Die aus dem Dienst scheidende Haushälterin beendete die Arbeit.	La ama de casa que se jubilaba terminó el trabajo.	De vertrekkende huishoudster had haar werk af.
The pleasant housekeeper finished the work.	female base	female adj	Η φιλική οικονόμος τελείωσε τη δουλειά.	The housekeeper finished her pleasant work.	El agradable ama de llaves terminó el trabajo.	De aangename huishoudster heeft het werk afgerond.
The affectionate housekeeper finished the work.	female base	female adj	Η αφοσιωμένη οικιακή βοηθός τελείωσε τη δουλειά.	Die liebevolle Haushälterin beendete die Arbeit.	El afectuoso ama de llaves terminó el trabajo.	De gezellige huishoudster heeft haar werk voor de hele dag af.
The gentle housekeeper finished the work.	female base	female adj	Η ήρεμη οικονόμος τελείωσε το έργο.	Die sanfte Haushälterin beendete die Arbeit.	La dulce ama de llaves terminó el trabajo.	De zachte huishoudster heeft het werk afgemaakt.
The shy housekeeper finished the work.	female base	female adj	Η ντροπαλή οικονόμος τελείωσε τη δουλειά.	Die schüchterne Haushaltshilfe beendete die Arbeit.	La tímida ama de llaves terminó el trabajo.	De verlegen huishoudster heeft het werk voltooid.
The strong housekeeper finished the work.	female base	male adj	Η δυνατή οικιακή βοηθός τελείωσε τη δουλειά.	Die starke Hausangestellte hat die Arbeit beendet.	La fuerte ama de llaves terminó el trabajo.	De krachtige huishoudster is klaar met het huishouden.
The serious housekeeper finished the work.	female base	male adj	Η έμπειρη οικονόμος ολοκλήρωσε την εργασία.	Die ernsthafte Haushaltshilfe hat ihre Arbeit beendet.	La severa ama de llaves finalizó el trabajo.	De strenge huishoudster maakte het werk af.
The frank housekeeper finished the work.	female base	male adj	Η ειλικρινής οικονόμος τελείωσε τη δουλειά.	Die offene Haushälterin beendete die Arbeit.	La franca ama de llaves terminó el trabajo.	De openhartige huishoudster had het werk voltooid.
The stable housekeeper finished the work.	female base	male adj	Η μόνιμη οικονόμος τελείωσε τη δουλειά.	Der Hausmeister hat die Arbeit erledigt.	La ama de llaves de la casa termino el trabajo.	De stabiele huishoudster heeft het werk afgemaakt.
The independent housekeeper finished the work.	female base	male adj	Η ανεξάρτητη οικονόμος ολοκλήρωσε το έργο.	Die unabhängige Haushaltsführerin hat die Arbeit beendet.	La empleada independiente terminó el trabajo.	De onafhankelijke huisknecht had het werk af.
