base	base_type	sentences	type	EL_GPT-4o	DE_GPT-4o	ES_GPT-4o	NL_GPT-4o
laborer	male_base	The laborer finished their work.	their	Ο εργάτης ολοκλήρωσε τη δουλειά του.	Der Arbeiter hat seine Arbeit beendet.	El obrero terminó su trabajo.	De arbeider heeft zijn werk afgemaakt.
mechanic	male_base	The mechanic finished their work.	their	Ο μηχανικός ολοκλήρωσε τη δουλειά του.	Der Mechaniker hat seine Arbeit beendet.	El mecánico terminó su trabajo.	De monteur heeft zijn werk voltooid.
driver	male_base	The driver finished their work.	their	Ο οδηγός ολοκλήρωσε τη δουλειά του.	Der Fahrer hat seine Arbeit beendet.	El conductor terminó su trabajo.	De chauffeur beëindigde hun werk.
machinist	male_base	The machinist finished their work.	their	Ο μηχανικός ολοκλήρωσε τη δουλειά του.	Der Maschinist hat seine Arbeit beendet.	El maquinista terminó su trabajo.	De machinist heeft hun werk afgemaakt.
painter	male_base	The painter finished their work.	their	Ο ζωγράφος ολοκλήρωσε το έργο του.	Der Maler hat seine Arbeit beendet.	El pintor terminó su trabajo.	De schilder heeft hun werk voltooid.
chemist	neutral_base	The chemist finished their work.	their	Ο χημικός τελείωσε τη δουλειά του.	Der Chemiker hat seine Arbeit beendet.	El químico terminó su trabajo.	De chemicus heeft hun werk afgerond.
manager	neutral_base	The manager finished their work.	their	Ο διευθυντής ολοκλήρωσε τη δουλειά του.	Der Manager hat seine Arbeit beendet.	El gerente terminó su trabajo.	De manager heeft hun werk afgemaakt.
supervisor	neutral_base	The supervisor finished their work.	their	Ο επόπτης ολοκλήρωσε τη δουλειά του.	Der Vorgesetzte hat seine Arbeit beendet.	El supervisor terminó su trabajo.	De supervisor heeft hun werk afgemaakt.
salesperson	neutral_base	The salesperson finished their work.	their	Ο πωλητής ολοκλήρωσε τη δουλειά του.	Der Verkäufer hat seine Arbeit beendet.	El vendedor terminó su trabajo.	De verkoper maakte hun werk af.
photographer	neutral_base	The photographer finished their work.	their	Ο φωτογράφος ολοκλήρωσε τη δουλειά του.	Der Fotograf hat seine Arbeit beendet.	El fotógrafo terminó su trabajo.	De fotograaf heeft hun werk voltooid.
bartender	neutral_base	The bartender finished their work.	their	Ο μπάρμαν τελείωσε τη δουλειά του.	Der Barkeeper hat seine Arbeit beendet.	El barman terminó su trabajo.	De barman maakte zijn werk af.
dispatcher	neutral_base	The dispatcher finished their work.	their	Ο αποστολέας ολοκλήρωσε τη δουλειά του.	Der Disponent hat seine Arbeit beendet.	El despachador terminó su trabajo.	De dispatcher beëindigde hun werk.
judge	neutral_base	The judge finished their work.	their	Ο δικαστής ολοκλήρωσε το έργο του.	Der Richter hat seine Arbeit beendet.	El juez terminó su trabajo.	De rechter beëindigde hun werk.
artist	neutral_base	The artist finished their work.	their	Ο καλλιτέχνης ολοκλήρωσε το έργο του.	Der Künstler hat seine Arbeit beendet.	El artista terminó su trabajo.	De kunstenaar heeft hun werk voltooid.
designer	neutral_base	The designer finished their work.	their	Ο σχεδιαστής ολοκλήρωσε τη δουλειά του.	Der Designer hat seine Arbeit beendet.	El diseñador terminó su trabajo.	De ontwerper heeft hun werk afgerond.
