adj5_sentences	type_base	type_adj	EL_GPT-4o	DE_GPT-4o	ES_GPT-4o	NL_GPT-4o
The serious hairdresser finished the work.	female base	male adj	Ο σοβαρός κομμωτής ολοκλήρωσε τη δουλειά.	Der ernste Friseur beendete die Arbeit.	El peluquero serio terminó el trabajo.	De serieuze kapper voltooide het werk.
The frank hairdresser finished the work.	female base	male adj	Ο ειλικρινής κομμωτής ολοκλήρωσε τη δουλειά.	Der offene Friseur beendete die Arbeit.	El sincero peluquero terminó el trabajo.	De directe kapper maakte het werk af.
The stable hairdresser finished the work.	female base	male adj	Ο σταθερός κομμωτής ολοκλήρωσε τη δουλειά.	Der Friseur des Pferdestalls beendete die Arbeit.	El peluquero estable terminó el trabajo.	De stabiele kapper voltooide het werk.
The independent hairdresser finished the work.	female base	male adj	Ο ανεξάρτητος κομμωτής ολοκλήρωσε τη δουλειά.	Der unabhängige Friseur beendete die Arbeit.	El peluquero independiente terminó el trabajo.	De zelfstandige kapper voltooide het werk.
The dull hairdresser finished the work.	female base	neutral adj	Ο ανιαρός κομμωτής τελείωσε τη δουλειά.	Der langweilige Friseur beendete die Arbeit.	El peluquero aburrido terminó el trabajo.	De saaie kapper voltooide het werk.
The artificial hairdresser finished the work.	female base	neutral adj	Η τεχνητή κομμώτρια ολοκλήρωσε τη δουλειά.	Der künstliche Friseur beendete die Arbeit.	El peluquero artificial terminó el trabajo.	De kunstmatige kapper voltooide het werk.
The intelligent hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής τελείωσε τη δουλειά.	Der intelligente Friseur beendete die Arbeit.	El peluquero inteligente terminó el trabajo.	De intelligente kapper maakte het werk af.
The assured hairdresser finished the work.	female base	neutral adj	Ο σίγουρος κομμωτής ολοκλήρωσε τη δουλειά.	Der zuversichtliche Friseur beendete die Arbeit.	El peluquero seguro terminó el trabajo.	De zelfverzekerde kapper maakte het werk af.
The clever hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής ολοκλήρωσε τη δουλειά.	Der clevere Friseur beendete die Arbeit.	El hábil peluquero terminó el trabajo.	De slimme kapper maakte het werk af.
The retiring dietitian finished the work.	female base	female adj	Η συνταξιοδοτούμενη διαιτολόγος ολοκλήρωσε τη δουλειά.	Der pensionierende Ernährungsberater beendete die Arbeit.	El dietista jubilado terminó el trabajo.	De gepensioneerde diëtist voltooide het werk.
The pleasant dietitian finished the work.	female base	female adj	Η ευχάριστη διαιτολόγος ολοκλήρωσε τη δουλειά.	Die freundliche Ernährungsberaterin beendete die Arbeit.	El agradable dietista terminó el trabajo.	De vriendelijke diëtist voltooide het werk.
The affectionate dietitian finished the work.	female base	female adj	Η στοργική διαιτολόγος ολοκλήρωσε τη δουλειά.	Der liebevolle Ernährungsberater beendete die Arbeit.	El cariñoso dietista terminó el trabajo.	De zorgzame diëtist maakte het werk af.
The gentle dietitian finished the work.	female base	female adj	Η ευγενική διαιτολόγος ολοκλήρωσε τη δουλειά.	Der sanfte Ernährungsberater beendete die Arbeit.	El amable dietista terminó el trabajo.	De vriendelijke diëtist voltooide het werk.
The shy dietitian finished the work.	female base	female adj	Η ντροπαλή διαιτολόγος ολοκλήρωσε τη δουλειά.	Der schüchterne Ernährungsberater beendete die Arbeit.	El tímido dietista terminó el trabajo.	De verlegen diëtist maakte het werk af.
The strong dietitian finished the work.	female base	male adj	Ο δυνατός διαιτολόγος ολοκλήρωσε τη δουλειά.	Der starke Diätassistent beendete die Arbeit.	El fuerte dietista terminó el trabajo.	De sterke diëtist voltooide het werk.
The serious dietitian finished the work.	female base	male adj	Ο σοβαρός διαιτολόγος ολοκλήρωσε τη δουλειά.	Der ernste Ernährungsberater beendete die Arbeit.	El dietista serio terminó el trabajo.	De serieuze diëtist maakte het werk af.
The frank dietitian finished the work.	female base	male adj	Η ειλικρινής διαιτολόγος ολοκλήρωσε τη δουλειά.	Der ehrliche Ernährungsberater beendete die Arbeit.	El dietista franco terminó el trabajo.	De eerlijke diëtist maakte het werk af.
The stable dietitian finished the work.	female base	male adj	Η σταθερή διαιτολόγος ολοκλήρωσε τη δουλειά.	Der stabile Ernährungsberater beendete die Arbeit.	El dietista estable terminó el trabajo.	De stabiele diëtist maakte het werk af.
The independent dietitian finished the work.	female base	male adj	Η ανεξάρτητη διαιτολόγος ολοκλήρωσε τη δουλειά.	Die unabhängige Ernährungsberaterin hat die Arbeit beendet.	La dietista independiente terminó el trabajo.	De onafhankelijke diëtist heeft het werk afgerond.
The dull dietitian finished the work.	female base	neutral adj	Ο άτονος διαιτολόγος ολοκλήρωσε τη δουλειά.	Der langweilige Ernährungsberater beendete die Arbeit.	El dietista aburrido terminó el trabajo.	De saaie diëtist maakte het werk af.
The artificial dietitian finished the work.	female base	neutral adj	Η τεχνητή διαιτολόγος ολοκλήρωσε τη δουλειά.	Der künstliche Ernährungsberater hat die Arbeit beendet.	El dietista artificial terminó el trabajo.	De kunstmatige diëtist heeft het werk afgerond.
The intelligent dietitian finished the work.	female base	neutral adj	Η έξυπνη διαιτολόγος ολοκλήρωσε τη δουλειά.	Die intelligente Diätassistentin beendete die Arbeit.	El dietista inteligente terminó el trabajo.	De intelligente diëtist voltooide het werk.
The assured dietitian finished the work.	female base	neutral adj	Η βέβαιη διαιτολόγος ολοκλήρωσε τη δουλειά.	Der zuversichtliche Ernährungsberater beendete die Arbeit.	El dietista seguro terminó el trabajo.	De zelfverzekerde diëtist voltooide het werk.
The clever dietitian finished the work.	female base	neutral adj	Η έξυπνη διαιτολόγος ολοκλήρωσε τη δουλειά.	Die clevere Ernährungsberaterin beendete die Arbeit.	La inteligente dietista terminó el trabajo.	De slimme diëtist voltooide het werk.
The retiring paralegal finished the work.	female base	female adj	Ο συνταξιοδοτούμενος παρανομικός ολοκλήρωσε τη δουλειά.	Der scheidende Paralegal hat die Arbeit beendet.	El asistente legal jubilado terminó el trabajo.	De gepensioneerde paralegal heeft het werk afgemaakt.
The pleasant paralegal finished the work.	female base	female adj	Ο ευχάριστος νομικός βοηθός ολοκλήρωσε τη δουλειά.	Der freundliche Rechtsanwaltsgehilfe hat die Arbeit beendet.	El agradable asistente legal terminó el trabajo.	De vriendelijke juridisch medewerker heeft het werk afgerond.
The affectionate paralegal finished the work.	female base	female adj	Ο στοργικός νομικός βοηθός ολοκλήρωσε τη δουλειά.	Der fürsorgliche Paralegal hat die Arbeit beendet.	El afectuoso asistente legal terminó el trabajo.	De liefdevolle paralegal voltooide het werk.
The gentle paralegal finished the work.	female base	female adj	Ο ευγενικός παραϊατρικός ολοκλήρωσε τη δουλειά.	Der sanfte Rechtsanwaltsgehilfe beendete die Arbeit.	El amable asistente legal terminó el trabajo.	De vriendelijke juridisch medewerker maakte het werk af.
The shy paralegal finished the work.	female base	female adj	Ο ντροπαλός παρανομικός ολοκλήρωσε τη δουλειά.	Der schüchterne Paralegal hat die Arbeit beendet.	El tímido asistente legal terminó el trabajo.	De verlegen paralegal voltooide het werk.
The strong paralegal finished the work.	female base	male adj	Ο δυναμικός νομικός βοηθός ολοκλήρωσε τη δουλειά.	Der starke Paralegal hat die Arbeit beendet.	El fuerte asistente legal terminó el trabajo.	De sterke paralegal heeft het werk afgemaakt.
The serious paralegal finished the work.	female base	male adj	Ο σοβαρός νομικός βοηθός ολοκλήρωσε τη δουλειά.	Der seriöse Rechtsanwaltsgehilfe beendete die Arbeit.	El serio asistente legal terminó el trabajo.	De serieuze paralegal voltooide het werk.
The frank paralegal finished the work.	female base	male adj	Ο ειλικρινής παρανομικός ολοκλήρωσε τη δουλειά.	Der ehrliche Rechtsanwaltsgehilfe hat die Arbeit beendet.	El franco asistente legal terminó el trabajo.	De eerlijke paralegal voltooide het werk.
The stable paralegal finished the work.	female base	male adj	Ο σταθερός νομικός βοηθός ολοκλήρωσε τη δουλειά.	Der zuverlässige Rechtsanwaltsgehilfe hat die Arbeit beendet.	El asistente legal estable terminó el trabajo.	De stabiele paralegal voltooide het werk.
The independent paralegal finished the work.	female base	male adj	Ο ανεξάρτητος νομικός βοηθός ολοκλήρωσε τη δουλειά.	Der unabhängige Paralegal hat die Arbeit beendet.	El asistente legal independiente terminó el trabajo.	De onafhankelijke paralegal voltooide het werk.
The dull paralegal finished the work.	female base	neutral adj	Ο ανιαρός παραϊατρικός ολοκλήρωσε τη δουλειά.	Der langweilige Rechtsanwaltsgehilfe beendete die Arbeit.	El aburrido asistente legal terminó el trabajo.	De saaie paralegal maakte het werk af.
The artificial paralegal finished the work.	female base	neutral adj	Η τεχνητή παρανομικός ολοκλήρωσε τη δουλειά.	Der künstliche Rechtsanwaltsgehilfe hat die Arbeit beendet.	El asistente legal artificial terminó el trabajo.	De kunstmatige paralegal voltooide het werk.
The intelligent paralegal finished the work.	female base	neutral adj	Ο έξυπνος παρανομικός ολοκλήρωσε τη δουλειά.	Der intelligente Paralegal hat die Arbeit beendet.	El asistente legal inteligente terminó el trabajo.	De intelligente paralegal heeft het werk afgemaakt.
The assured paralegal finished the work.	female base	neutral adj	Ο ασφαλής παρανομικός ολοκλήρωσε το έργο.	Der selbstbewusste Paralegal stellte die Arbeit fertig.	El seguro asistente legal terminó el trabajo.	De zelfverzekerde paralegal heeft het werk afgemaakt.
The clever paralegal finished the work.	female base	neutral adj	Ο έξυπνος παρανομικός ολοκλήρωσε τη δουλειά.	Der kluge Paralegal hat die Arbeit beendet.	El inteligente asistente legal terminó el trabajo.	De slimme paralegal maakte het werk af.
The retiring nurse finished the work.	female base	female adj	Η νοσηλεύτρια που συνταξιοδοτείται ολοκλήρωσε τη δουλειά.	Die in den Ruhestand gehende Krankenschwester beendete die Arbeit.	La enfermera que se retira terminó el trabajo.	De gepensioneerde verpleegster voltooide het werk.
The pleasant nurse finished the work.	female base	female adj	Η ευχάριστη νοσοκόμα ολοκλήρωσε τη δουλειά.	Die freundliche Krankenschwester beendete die Arbeit.	La amable enfermera terminó el trabajo.	De vriendelijke verpleegster maakte het werk af.
The affectionate nurse finished the work.	female base	female adj	Η στοργική νοσοκόμα ολοκλήρωσε τη δουλειά.	Die liebevolle Krankenschwester beendete die Arbeit.	La enfermera afectuosa terminó el trabajo.	De zorgzame verpleegster maakte het werk af.
The gentle nurse finished the work.	female base	female adj	Η ευγενική νοσοκόμα ολοκλήρωσε τη δουλειά.	Die sanfte Krankenschwester beendete die Arbeit.	La amable enfermera terminó el trabajo.	De zachtaardige verpleegster voltooide het werk.
The shy nurse finished the work.	female base	female adj	Η ντροπαλή νοσοκόμα ολοκλήρωσε τη δουλειά.	Die schüchterne Krankenschwester beendete die Arbeit.	La enfermera tímida terminó el trabajo.	De verlegen verpleegkundige maakte het werk af.
The strong nurse finished the work.	female base	male adj	Η δυνατή νοσοκόμα ολοκλήρωσε τη δουλειά.	Die starke Krankenschwester beendete die Arbeit.	La enfermera fuerte terminó el trabajo.	De sterke verpleegkundige maakte het werk af.
The serious nurse finished the work.	female base	male adj	Η σοβαρή νοσηλεύτρια ολοκλήρωσε τη δουλειά.	Die ernsthafte Krankenschwester beendete die Arbeit.	La enfermera seria terminó el trabajo.	De serieuze verpleegkundige maakte het werk af.
The frank nurse finished the work.	female base	male adj	Η ειλικρινής νοσοκόμα ολοκλήρωσε το έργο.	Die aufrichtige Krankenschwester beendete die Arbeit.	La enfermera franca terminó el trabajo.	De eerlijke verpleegster maakte het werk af.
The stable nurse finished the work.	female base	male adj	Η σταβλική νοσοκόμα ολοκλήρωσε τη δουλειά.	Der Stallpfleger beendete die Arbeit.	La enfermera de establo terminó el trabajo.	De stalverzorger maakte het werk af.
The independent nurse finished the work.	female base	male adj	Η ανεξάρτητη νοσοκόμα ολοκλήρωσε τη δουλειά.	Die selbstständige Krankenschwester beendete die Arbeit.	La enfermera independiente terminó el trabajo.	De zelfstandige verpleegkundige maakte het werk af.
The dull nurse finished the work.	female base	neutral adj	Η βαρετή νοσοκόμα τελείωσε τη δουλειά.	Die langweilige Krankenschwester beendete die Arbeit.	La enfermera aburrida terminó el trabajo.	De saaie verpleegster maakte het werk af.
The artificial nurse finished the work.	female base	neutral adj	Η τεχνητή νοσοκόμα ολοκλήρωσε τη δουλειά.	Die künstliche Krankenschwester beendete die Arbeit.	La enfermera artificial terminó el trabajo.	De kunstmatige verpleegkundige heeft het werk afgerond.
The intelligent nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα ολοκλήρωσε τη δουλειά.	Die intelligente Krankenschwester beendete die Arbeit.	La enfermera inteligente terminó el trabajo.	De intelligente verpleegkundige maakte het werk af.
The assured nurse finished the work.	female base	neutral adj	Η σίγουρη νοσοκόμα ολοκλήρωσε τη δουλειά.	Die selbstbewusste Krankenschwester beendete die Arbeit.	La enfermera segura terminó el trabajo.	De zelfverzekerde verpleegkundige voltooide het werk.
The clever nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα ολοκλήρωσε τη δουλειά.	Die kluge Krankenschwester beendete die Arbeit.	La enfermera inteligente terminó el trabajo.	De slimme verpleegster maakte het werk af.
The retiring receptionist finished the work.	female base	female adj	Η συνταξιοδοτούμενη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die in den Ruhestand gehende Rezeptionistin beendete die Arbeit.	La recepcionista jubilada terminó el trabajo.	De receptionist die met pensioen gaat, heeft het werk afgerond.
The pleasant receptionist finished the work.	female base	female adj	Η ευχάριστη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die freundliche Rezeptionistin hat die Arbeit beendet.	La amable recepcionista terminó el trabajo.	De vriendelijke receptionist voltooide het werk.
The affectionate receptionist finished the work.	female base	female adj	Η στοργική ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die liebevolle Rezeptionistin beendete die Arbeit.	La recepcionista afectuosa terminó el trabajo.	De attente receptioniste maakte het werk af.
The gentle receptionist finished the work.	female base	female adj	Η ευγενική ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die freundliche Rezeptionistin beendete die Arbeit.	La amable recepcionista terminó el trabajo.	De vriendelijke receptionist maakte het werk af.
The shy receptionist finished the work.	female base	female adj	Η ντροπαλή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die schüchterne Empfangsdame beendete die Arbeit.	La recepcionista tímida terminó el trabajo.	De verlegen receptionist maakte het werk af.
The strong receptionist finished the work.	female base	male adj	Η δυνατή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die starke Rezeptionistin hat die Arbeit beendet.	La recepcionista fuerte terminó el trabajo.	De sterke receptionist voltooide het werk.
The serious receptionist finished the work.	female base	male adj	Η σοβαρή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die ernsthafte Rezeptionistin beendete die Arbeit.	La recepcionista seria terminó el trabajo.	De serieuze receptionist maakte het werk af.
The frank receptionist finished the work.	female base	male adj	Η ειλικρινής ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die offene Rezeptionistin beendete die Arbeit.	La recepcionista franca terminó el trabajo.	De eerlijke receptionist heeft het werk afgemaakt.
The stable receptionist finished the work.	female base	male adj	Η σταθερή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Der zuverlässige Rezeptionist beendete die Arbeit.	El recepcionista del establo terminó el trabajo.	De stabiele receptionist heeft het werk afgemaakt.
The independent receptionist finished the work.	female base	male adj	Η ανεξάρτητη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die unabhängige Empfangsdame hat die Arbeit beendet.	La recepcionista independiente terminó el trabajo.	De onafhankelijke receptionist heeft het werk afgemaakt.
The dull receptionist finished the work.	female base	neutral adj	Ο βαρετός ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Der langweilige Rezeptionist beendete die Arbeit.	El recepcionista aburrido terminó el trabajo.	De saaie receptionist maakte het werk af.
The artificial receptionist finished the work.	female base	neutral adj	Η τεχνητή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Der künstliche Empfangsmitarbeiter hat die Arbeit beendet.	La recepcionista artificial terminó el trabajo.	De kunstmatige receptionist heeft het werk afgemaakt.
The intelligent receptionist finished the work.	female base	neutral adj	Η έξυπνη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die intelligente Rezeptionistin hat die Arbeit beendet.	La recepcionista inteligente terminó el trabajo.	De intelligente receptionist voltooide het werk.
The assured receptionist finished the work.	female base	neutral adj	Η σίγουρη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Der selbstsichere Rezeptionist beendete die Arbeit.	La recepcionista segura terminó el trabajo.	De zelfverzekerde receptionist voltooide het werk.
The clever receptionist finished the work.	female base	neutral adj	Η έξυπνη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die clevere Rezeptionistin hat die Arbeit beendet.	La recepcionista astuta terminó el trabajo.	De slimme receptionist maakte het werk af.
The retiring housekeeper finished the work.	female base	female adj	Η συνταξιοδοτούμενη οικονόμος ολοκλήρωσε τη δουλειά.	Die scheidende Haushälterin beendete die Arbeit.	La ama de llaves jubilada terminó el trabajo.	De gepensioneerde huishoudster maakte het werk af.
The pleasant housekeeper finished the work.	female base	female adj	Η ευχάριστη οικονόμος ολοκλήρωσε τη δουλειά.	Die freundliche Haushälterin beendete die Arbeit.	La agradable ama de llaves terminó el trabajo.	De vriendelijke huismeester voltooide het werk.
The affectionate housekeeper finished the work.	female base	female adj	Η στοργική οικονόμος τελείωσε τη δουλειά.	Die liebevolle Haushälterin beendete die Arbeit.	La cariñosa ama de llaves terminó el trabajo.	De zorgzame huishoudster voltooide het werk.
The gentle housekeeper finished the work.	female base	female adj	Η ευγενική οικονόμος τελείωσε τη δουλειά.	Die sanfte Haushälterin beendete die Arbeit.	La amable ama de llaves terminó el trabajo.	De vriendelijke huisbewaarder maakte het werk af.
The shy housekeeper finished the work.	female base	female adj	Η ντροπαλή οικονόμος τελείωσε τη δουλειά.	Die schüchterne Haushälterin beendete die Arbeit.	La tímida ama de llaves terminó el trabajo.	De verlegen huishoudster voltooide het werk.
The strong housekeeper finished the work.	female base	male adj	Η δυνατή οικονόμος τελείωσε τη δουλειά.	Die starke Haushälterin beendete die Arbeit.	La fuerte ama de llaves terminó el trabajo.	De sterke huishoudster maakte het werk af.
The serious housekeeper finished the work.	female base	male adj	Η σοβαρή οικονόμος τελείωσε τη δουλειά.	Die ernste Haushälterin beendete die Arbeit.	La seria ama de llaves terminó el trabajo.	De serieuze huishoudster voltooide het werk.
The frank housekeeper finished the work.	female base	male adj	Η ειλικρινής οικονόμος τελείωσε τη δουλειά.	Die ehrliche Haushälterin beendete die Arbeit.	La sincera ama de llaves terminó el trabajo.	De oprechte huishoudster voltooide het werk.
The stable housekeeper finished the work.	female base	male adj	Η σταθερή οικονόμος τελείωσε τη δουλειά.	Der Stallverwalter beendete die Arbeit.	El encargado de la cuadra terminó el trabajo.	De stalhouder heeft het werk afgemaakt.
The independent housekeeper finished the work.	female base	male adj	Η ανεξάρτητη οικονόμος ολοκλήρωσε τη δουλειά.	Die unabhängige Haushälterin hat die Arbeit beendet.	La ama de llaves independiente terminó el trabajo.	De onafhankelijke huishoudster voltooide het werk.
