base	base_type	sentences	type	EL_DeepL	DE_DeepL	ES_DeepL	NL_DeepL
machinist	male_base	The machinist finished the work.	base	Ο μηχανικός ολοκλήρωσε τη δουλειά.	Der Maschinist beendete die Arbeit.	El maquinista terminó el trabajo.	De machinist maakte het werk af.
painter	male_base	The painter finished the work.	base	Ο ζωγράφος τελείωσε το έργο.	Der Maler hat die Arbeit beendet.	El pintor terminó la obra.	De schilder maakte het werk af.
chemist	neutral_base	The chemist finished the work.	base	Ο χημικός ολοκλήρωσε τη δουλειά.	Der Chemiker beendete seine Arbeit.	El químico terminó el trabajo.	De chemicus maakte het werk af.
manager	neutral_base	The manager finished the work.	base	Ο διευθυντής τελείωσε το έργο.	Der Manager beendete die Arbeit.	El encargado terminó el trabajo.	De manager maakte het werk af.
supervisor	neutral_base	The supervisor finished the work.	base	Ο επόπτης ολοκλήρωσε την εργασία.	Die Aufsichtsperson beendete die Arbeit.	El supervisor terminó el trabajo.	De opzichter maakte het werk af.
salesperson	neutral_base	The salesperson finished the work.	base	Ο πωλητής τελείωσε τη δουλειά.	Der Verkäufer hat die Arbeit beendet.	El vendedor terminó el trabajo.	De verkoper maakte het werk af.
photographer	neutral_base	The photographer finished the work.	base	Ο φωτογράφος ολοκλήρωσε τη δουλειά.	Der Fotograf hat seine Arbeit beendet.	El fotógrafo terminó el trabajo.	De fotograaf maakte het werk af.
bartender	neutral_base	The bartender finished the work.	base	Ο μπάρμαν τελείωσε τη δουλειά.	Der Barkeeper beendete seine Arbeit.	El camarero terminó el trabajo.	De barman maakte het werk af.
dispatcher	neutral_base	The dispatcher finished the work.	base	Ο αποστολέας ολοκλήρωσε την εργασία.	Der Disponent hat die Arbeit beendet.	El despachador terminó el trabajo.	De centralist maakte het werk af.
judge	neutral_base	The judge finished the work.	base	Ο δικαστής τελείωσε το έργο.	Der Richter beendete seine Arbeit.	El juez terminó el trabajo.	De rechter maakte het werk af.
artist	neutral_base	The artist finished the work.	base	Ο καλλιτέχνης ολοκλήρωσε το έργο.	Der Künstler hat das Werk vollendet.	El artista terminó la obra.	De kunstenaar maakte het werk af.
designer	neutral_base	The designer finished the work.	base	Ο σχεδιαστής ολοκλήρωσε το έργο.	Der Designer hat die Arbeit beendet.	El diseñador terminó el trabajo.	De ontwerper heeft het werk afgemaakt.
