base	base_type	sentences	type	EL_DeepL	DE_DeepL	ES_DeepL	NL_DeepL
laborer	male_base	The laborer finished their work.	their	Οι εργάτες τελείωσαν τη δουλειά τους.	Die Arbeiter beendeten ihre Arbeit.	El obrero terminó su trabajo.	De arbeider maakte zijn werk af.
mechanic	male_base	The mechanic finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	Der Mechaniker beendete seine Arbeit.	El mecánico terminó su trabajo.	De monteur was klaar met zijn werk.
driver	male_base	The driver finished their work.	their	Ο οδηγός τελείωσε τη δουλειά του.	Der Fahrer beendete seine Arbeit.	El conductor terminó su trabajo.	De chauffeur was klaar met zijn werk.
machinist	male_base	The machinist finished their work.	their	Ο μηχανικός τελείωσε τη δουλειά του.	Der Maschinist beendete seine Arbeit.	El maquinista terminó su trabajo.	De machinist was klaar met zijn werk.
painter	male_base	The painter finished their work.	their	Ο ζωγράφος τελείωσε τη δουλειά του.	Der Maler beendete seine Arbeit.	El pintor terminó su trabajo.	De schilder was klaar met zijn werk.
chemist	neutral_base	The chemist finished their work.	their	Ο χημικός τελείωσε τη δουλειά του.	Der Chemiker hat seine Arbeit beendet.	El químico terminó su trabajo.	De chemicus maakte zijn werk af.
manager	neutral_base	The manager finished their work.	their	Ο διευθυντής τελείωσε τη δουλειά του.	Der Manager beendete seine Arbeit.	El director terminó su trabajo.	De manager was klaar met hun werk.
supervisor	neutral_base	The supervisor finished their work.	their	Ο επόπτης ολοκλήρωσε τη δουλειά του.	Die Aufsichtsperson beendete ihre Arbeit.	El supervisor terminó su trabajo.	De opzichter maakte zijn werk af.
salesperson	neutral_base	The salesperson finished their work.	their	Ο πωλητής τελείωσε τη δουλειά του.	Der Verkäufer hat seine Arbeit beendet.	El vendedor terminó su trabajo.	De verkoper is klaar met zijn werk.
photographer	neutral_base	The photographer finished their work.	their	Ο φωτογράφος τελείωσε τη δουλειά του.	Der Fotograf hat seine Arbeit beendet.	El fotógrafo terminó su trabajo.	De fotograaf maakte zijn werk af.
bartender	neutral_base	The bartender finished their work.	their	Ο μπάρμαν τελείωσε τη δουλειά του.	Der Barkeeper beendete seine Arbeit.	El camarero terminó su trabajo.	De barman maakte zijn werk af.
dispatcher	neutral_base	The dispatcher finished their work.	their	Ο αποστολέας ολοκλήρωσε τη δουλειά του.	Der Disponent hat seine Arbeit beendet.	El despachador terminó su trabajo.	De centralist maakte zijn werk af.
judge	neutral_base	The judge finished their work.	their	Ο δικαστής τελείωσε τη δουλειά του.	Der Richter beendete seine Arbeit.	El juez terminó su trabajo.	De rechter was klaar met zijn werk.
artist	neutral_base	The artist finished their work.	their	Ο καλλιτέχνης τελείωσε το έργο του.	Der Künstler beendete sein Werk.	El artista terminó su trabajo.	De kunstenaar is klaar met zijn werk.
designer	neutral_base	The designer finished their work.	their	Ο σχεδιαστής ολοκλήρωσε τη δουλειά του.	Der Designer hat seine Arbeit beendet.	El diseñador terminó su trabajo.	De ontwerper was klaar met zijn werk.
