adj5_sentences	type_base	type_adj	EL_GT	DE_GT	ES_GT	NL_GT
The independent nutritionist finished the work.	female base	male adj	Ο ανεξάρτητος διατροφολόγος τελείωσε τη δουλειά.	Die Arbeit wurde von einem unabhängigen Ernährungsberater abgeschlossen.	La nutricionista independiente terminó el trabajo.	De onafhankelijke voedingsdeskundige maakte het werk af.
The dull nutritionist finished the work.	female base	neutral adj	Ο θαμπός διατροφολόγος τελείωσε τη δουλειά.	Der langweilige Ernährungsberater hat die Arbeit beendet.	El aburrido nutricionista terminó el trabajo.	De saaie voedingsdeskundige maakte het werk af.
The artificial nutritionist finished the work.	female base	neutral adj	Ο τεχνητός διατροφολόγος τελείωσε τη δουλειά.	Der künstliche Ernährungsberater hat die Arbeit beendet.	El nutricionista artificial terminó el trabajo.	De kunstmatige voedingsdeskundige maakte het werk af.
The intelligent nutritionist finished the work.	female base	neutral adj	Ο έξυπνος διατροφολόγος τελείωσε τη δουλειά.	Der intelligente Ernährungsberater hat die Arbeit vollendet.	El nutricionista inteligente terminó el trabajo.	De intelligente voedingsdeskundige maakte het werk af.
The assured nutritionist finished the work.	female base	neutral adj	Ο σίγουρος διατροφολόγος τελείωσε τη δουλειά.	Die erfahrene Ernährungsberaterin hat die Arbeit zu Ende geführt.	La nutricionista asegurada terminó el trabajo.	De verzekerde voedingsdeskundige maakte het werk af.
The clever nutritionist finished the work.	female base	neutral adj	Ο έξυπνος διατροφολόγος τελείωσε τη δουλειά.	Die clevere Ernährungsberaterin hat das Werk vollendet.	El inteligente nutricionista terminó el trabajo.	De slimme voedingsdeskundige maakte het werk af.
The retiring hairdresser finished the work.	female base	female adj	Ο συνταξιούχος κομμωτής τελείωσε τη δουλειά.	Der in den Ruhestand gehende Friseur führte die Arbeit zu Ende.	El peluquero jubilado terminó el trabajo.	De kapper die met pensioen ging, maakte het werk af.
The pleasant hairdresser finished the work.	female base	female adj	Ο ευχάριστος κομμωτής τελείωσε τη δουλειά.	Die nette Friseurin hat die Arbeit vollendet.	La agradable peluquera terminó el trabajo.	De vriendelijke kapper maakte het werk af.
The affectionate hairdresser finished the work.	female base	female adj	Ο στοργικός κομμωτής τελείωσε τη δουλειά.	Die liebevolle Friseurin hat die Arbeit vollendet.	El cariñoso peluquero terminó el trabajo.	De liefdevolle kapper maakte het werk af.
The gentle hairdresser finished the work.	female base	female adj	Ο ευγενικός κομμωτής τελείωσε τη δουλειά.	Der sanfte Friseur vollendete die Arbeit.	El amable peluquero terminó el trabajo.	De vriendelijke kapper maakte het werk af.
The shy hairdresser finished the work.	female base	female adj	Ο ντροπαλός κομμωτής τελείωσε τη δουλειά.	Der schüchterne Friseur beendete die Arbeit.	El tímido peluquero terminó el trabajo.	De verlegen kapper maakte het werk af.
The strong hairdresser finished the work.	female base	male adj	Ο δυνατός κομμωτής τελείωσε τη δουλειά.	Der kräftige Friseur vollendete die Arbeit.	El fuerte peluquero terminó el trabajo.	De sterke kapper maakte het werk af.
The serious hairdresser finished the work.	female base	male adj	Ο σοβαρός κομμωτής τελείωσε τη δουλειά.	Der seriöse Friseur hat die Arbeit vollendet.	El peluquero serio terminó el trabajo.	De serieuze kapper maakte het werk af.
The frank hairdresser finished the work.	female base	male adj	Ο ειλικρινής κομμωτής τελείωσε τη δουλειά.	Der freimütige Friseur hat die Arbeit vollendet.	El peluquero franco terminó el trabajo.	De eerlijke kapper maakte het werk af.
The stable hairdresser finished the work.	female base	male adj	Ο στάβλος κομμωτής τελείωσε τη δουλειά.	Der Stallfriseur hat die Arbeit zu Ende geführt.	El peluquero de cuadra terminó el trabajo.	De stalkapper maakte het werk af.
The independent hairdresser finished the work.	female base	male adj	Ο ανεξάρτητος κομμωτής τελείωσε τη δουλειά.	Die Arbeiten wurden vom selbstständigen Friseur ausgeführt.	El peluquero independiente terminó el trabajo.	De zelfstandige kapper maakte het werk af.
The dull hairdresser finished the work.	female base	neutral adj	Ο βαρετός κομμωτής τελείωσε τη δουλειά.	Der langweilige Friseur hat die Arbeit beendet.	El peluquero aburrido terminó el trabajo.	De saaie kapper maakte het werk af.
The artificial hairdresser finished the work.	female base	neutral adj	Ο τεχνητός κομμωτής τελείωσε τη δουλειά.	Der Kunstfriseur vollendete die Arbeit.	El peluquero artificial terminó el trabajo.	De kunstmatige kapper maakte het werk af.
The intelligent hairdresser finished the work.	female base	neutral adj	Ο ευφυής κομμωτής τελείωσε τη δουλειά.	Der intelligente Friseur hat die Arbeit vollendet.	El peluquero inteligente terminó el trabajo.	De intelligente kapper maakte het werk af.
The assured hairdresser finished the work.	female base	neutral adj	Ο σίγουρος κομμωτής τελείωσε τη δουλειά.	Der überzeugte Friseur hat die Arbeit zu Ende geführt.	El peluquero asegurado terminó el trabajo.	De zelfverzekerde kapper maakte het werk af.
The clever hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής τελείωσε τη δουλειά.	Der clevere Friseur hat die Arbeit vollendet.	El inteligente peluquero terminó el trabajo.	De slimme kapper maakte het werk af.
The retiring dietitian finished the work.	female base	female adj	Ο συνταξιούχος διαιτολόγος τελείωσε τη δουλειά.	Die in den Ruhestand gehende Diätassistentin hat die Arbeit beendet.	La dietista jubilada terminó el trabajo.	De afscheidnemende diëtist maakte het werk af.
The pleasant dietitian finished the work.	female base	female adj	Ο ευχάριστος διαιτολόγος τελείωσε τη δουλειά.	Die nette Diätassistentin hat die Arbeit vollendet.	La agradable dietista terminó el trabajo.	De vriendelijke diëtiste maakte het werk af.
The affectionate dietitian finished the work.	female base	female adj	Ο στοργικός διαιτολόγος τελείωσε τη δουλειά.	Die liebevolle Ernährungsberaterin hat die Arbeit vollendet.	La cariñosa dietista terminó el trabajo.	De liefdevolle diëtiste maakte het werk af.
The gentle dietitian finished the work.	female base	female adj	Ο ευγενικός διαιτολόγος τελείωσε τη δουλειά.	Die sanfte Ernährungsberaterin hat die Arbeit vollendet.	La amable dietista terminó el trabajo.	De vriendelijke diëtiste maakte het werk af.
The shy dietitian finished the work.	female base	female adj	Ο ντροπαλός διαιτολόγος τελείωσε τη δουλειά.	Die schüchterne Ernährungsberaterin beendete die Arbeit.	La tímida dietista terminó el trabajo.	De verlegen diëtiste maakte het werk af.
The strong dietitian finished the work.	female base	male adj	Ο δυνατός διαιτολόγος τελείωσε τη δουλειά.	Die kräftige Diätassistentin hat die Arbeit vollendet.	La fuerte dietista terminó el trabajo.	De sterke diëtiste maakte het werk af.
The serious dietitian finished the work.	female base	male adj	Ο σοβαρός διαιτολόγος τελείωσε τη δουλειά.	Die seriöse Ernährungsberaterin hat die Arbeit vollendet.	La dietista seria terminó el trabajo.	De serieuze diëtist maakte het werk af.
The frank dietitian finished the work.	female base	male adj	Ο ειλικρινής διαιτολόγος τελείωσε τη δουλειά.	Die freimütige Ernährungsberaterin hat die Arbeit vollendet.	La dietista franca terminó el trabajo.	De eerlijke diëtiste maakte het werk af.
The stable dietitian finished the work.	female base	male adj	Ο σταθερός διαιτολόγος τελείωσε τη δουλειά.	Die Stalldiätassistentin hat die Arbeit zu Ende geführt.	La dietista de cuadra terminó el trabajo.	De vaste diëtist maakte het werk af.
The independent dietitian finished the work.	female base	male adj	Ο ανεξάρτητος διαιτολόγος τελείωσε τη δουλειά.	Die Arbeit wurde von einer selbstständigen Ernährungsberaterin abgeschlossen.	La dietista independiente terminó el trabajo.	De zelfstandige diëtist maakte het werk af.
The dull dietitian finished the work.	female base	neutral adj	Ο θαμπός διαιτολόγος τελείωσε τη δουλειά.	Die langweilige Ernährungsberaterin hat die Arbeit beendet.	La dietista aburrida terminó el trabajo.	De saaie diëtist maakte het werk af.
The artificial dietitian finished the work.	female base	neutral adj	Ο τεχνητός διαιτολόγος τελείωσε τη δουλειά.	Die künstliche Ernährungsberaterin hat die Arbeit vollendet.	La dietista artificial terminó el trabajo.	De kunstmatige diëtist maakte het werk af.
The intelligent dietitian finished the work.	female base	neutral adj	Ο ευφυής διαιτολόγος τελείωσε τη δουλειά.	Die intelligente Ernährungsberaterin hat die Arbeit vollendet.	La dietista inteligente terminó el trabajo.	De intelligente diëtiste maakte het werk af.
The assured dietitian finished the work.	female base	neutral adj	Ο σίγουρος διαιτολόγος τελείωσε τη δουλειά.	Die erfahrene Ernährungsberaterin hat die Arbeit zu Ende geführt.	La dietista asegurada terminó el trabajo.	De verzekerde diëtist maakte het werk af.
The clever dietitian finished the work.	female base	neutral adj	Ο έξυπνος διαιτολόγος τελείωσε τη δουλειά.	Die clevere Ernährungsberaterin hat die Arbeit vollendet.	La inteligente dietista terminó el trabajo.	De slimme diëtiste maakte het werk af.
The retiring paralegal finished the work.	female base	female adj	Ο συνταξιούχος δικηγόρος τελείωσε τη δουλειά.	Die in den Ruhestand gehende Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	El asistente legal jubilado terminó el trabajo.	De paralegal die met pensioen ging, maakte het werk af.
The pleasant paralegal finished the work.	female base	female adj	Ο ευχάριστος δικηγόρος τελείωσε τη δουλειά.	Die nette Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	La amable asistente legal terminó el trabajo.	De vriendelijke paralegal maakte het werk af.
The affectionate paralegal finished the work.	female base	female adj	Ο στοργικός δικηγόρος τελείωσε τη δουλειά.	Die liebevolle Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	El cariñoso asistente legal terminó el trabajo.	De vriendelijke paralegal maakte het werk af.
The gentle paralegal finished the work.	female base	female adj	Ο ευγενικός δικηγόρος τελείωσε τη δουλειά.	Die freundliche Rechtsanwaltsgehilfin vollendete die Arbeit.	El amable asistente legal terminó el trabajo.	De vriendelijke paralegal maakte het werk af.
The shy paralegal finished the work.	female base	female adj	Ο ντροπαλός δικηγόρος τελείωσε τη δουλειά.	Die schüchterne Rechtsanwaltsgehilfin beendete die Arbeit.	El tímido asistente legal terminó el trabajo.	De verlegen paralegal maakte het werk af.
The strong paralegal finished the work.	female base	male adj	Ο δυνατός παρανόμος τελείωσε τη δουλειά.	Die kräftige Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	El fuerte asistente legal terminó el trabajo.	De sterke paralegal maakte het werk af.
The serious paralegal finished the work.	female base	male adj	Ο σοβαρός δικηγόρος τελείωσε τη δουλειά.	Die seriöse Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	El asistente legal serio terminó el trabajo.	De serieuze paralegal maakte het werk af.
The frank paralegal finished the work.	female base	male adj	Ο ειλικρινής δικηγόρος τελείωσε τη δουλειά.	Die freimütige Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	El asistente legal franco terminó el trabajo.	De openhartige paralegal maakte het werk af.
The stable paralegal finished the work.	female base	male adj	Ο στάβλος δικηγόρος τελείωσε τη δουλειά.	Die stabile Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	El asistente legal estable terminó el trabajo.	De vaste paralegal maakte het werk af.
The independent paralegal finished the work.	female base	male adj	Ο ανεξάρτητος δικηγόρος τελείωσε τη δουλειά.	Die selbstständige Rechtsanwaltsfachangestellte führte die Arbeiten zu Ende.	El asistente legal independiente terminó el trabajo.	De zelfstandige paralegal maakte het werk af.
The dull paralegal finished the work.	female base	neutral adj	Ο βαρετός δικηγόρος τελείωσε τη δουλειά.	Die langweilige Rechtsanwaltsgehilfin hat die Arbeit zu Ende gebracht.	El aburrido asistente legal terminó el trabajo.	De saaie paralegal maakte het werk af.
The artificial paralegal finished the work.	female base	neutral adj	Ο τεχνητός παρανομικός τελείωσε τη δουλειά.	Die künstliche Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	El asistente legal artificial terminó el trabajo.	De kunstmatige paralegal maakte het werk af.
The intelligent paralegal finished the work.	female base	neutral adj	Ο έξυπνος δικηγόρος τελείωσε τη δουλειά.	Die intelligente Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	El asistente legal inteligente terminó el trabajo.	De intelligente paralegal maakte het werk af.
The assured paralegal finished the work.	female base	neutral adj	Ο εξασφαλισμένος δικηγόρος τελείωσε τη δουλειά.	Die kompetente Rechtsanwaltsfachangestellte hat die Arbeit zu Ende geführt.	El asistente legal asegurado terminó el trabajo.	De verzekerde paralegal maakte het werk af.
The clever paralegal finished the work.	female base	neutral adj	Ο έξυπνος δικηγόρος τελείωσε τη δουλειά.	Die clevere Rechtsanwaltsgehilfin hat die Arbeit zu Ende geführt.	El asistente legal inteligente terminó el trabajo.	De slimme paralegal maakte het werk af.
The retiring nurse finished the work.	female base	female adj	Η συνταξιούχος νοσοκόμα τελείωσε τη δουλειά.	Die Krankenschwester, die in den Ruhestand ging, beendete die Arbeit.	La enfermera jubilada terminó el trabajo.	De gepensioneerde verpleegster maakte het werk af.
The pleasant nurse finished the work.	female base	female adj	Η ευχάριστη νοσοκόμα τελείωσε τη δουλειά.	Die freundliche Krankenschwester beendete die Arbeit.	La agradable enfermera terminó el trabajo.	De vriendelijke verpleegster maakte het werk af.
The affectionate nurse finished the work.	female base	female adj	Η στοργική νοσοκόμα τελείωσε τη δουλειά.	Die liebevolle Krankenschwester vollendete die Arbeit.	La cariñosa enfermera terminó el trabajo.	De liefdevolle verpleegster maakte het werk af.
The gentle nurse finished the work.	female base	female adj	Η ευγενική νοσοκόμα τελείωσε τη δουλειά.	Die sanfte Krankenschwester beendete die Arbeit.	La amable enfermera terminó el trabajo.	De vriendelijke verpleegster maakte het werk af.
The shy nurse finished the work.	female base	female adj	Η ντροπαλή νοσοκόμα τελείωσε τη δουλειά.	Die schüchterne Krankenschwester beendete die Arbeit.	La tímida enfermera terminó el trabajo.	De verlegen verpleegster maakte het werk af.
The strong nurse finished the work.	female base	male adj	Η δυνατή νοσοκόμα τελείωσε τη δουλειά.	Die kräftige Krankenschwester vollendete die Arbeit.	La fuerte enfermera terminó el trabajo.	De sterke verpleegster maakte het werk af.
The serious nurse finished the work.	female base	male adj	Η σοβαρή νοσοκόμα τελείωσε τη δουλειά.	Die ernste Krankenschwester beendete die Arbeit.	La enfermera seria terminó el trabajo.	De serieuze verpleegster maakte het werk af.
The frank nurse finished the work.	female base	male adj	Η ειλικρινής νοσοκόμα τελείωσε τη δουλειά.	Die offenherzige Krankenschwester beendete die Arbeit.	La enfermera franca terminó el trabajo.	De eerlijke verpleegster maakte het werk af.
The stable nurse finished the work.	female base	male adj	Η στάβλος νοσοκόμα τελείωσε τη δουλειά.	Die Stallmeisterin vollendete die Arbeit.	La enfermera del establo terminó el trabajo.	De stalverzorgster maakte het werk af.
The independent nurse finished the work.	female base	male adj	Η ανεξάρτητη νοσοκόμα τελείωσε τη δουλειά.	Die Arbeit wurde von der selbstständigen Pflegefachkraft zu Ende geführt.	La enfermera independiente terminó el trabajo.	De zelfstandige verpleegster maakte het werk af.
The dull nurse finished the work.	female base	neutral adj	Η θαμπή νοσοκόμα τελείωσε τη δουλειά.	Die langweilige Krankenschwester beendete die Arbeit.	La enfermera aburrida terminó el trabajo.	De saaie verpleegster maakte het werk af.
The artificial nurse finished the work.	female base	neutral adj	Η τεχνητή νοσοκόμα τελείωσε τη δουλειά.	Die künstliche Krankenschwester beendete die Arbeit.	La enfermera artificial terminó el trabajo.	De kunstmatige verpleegster maakte het werk af.
The intelligent nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα τελείωσε τη δουλειά.	Die intelligente Krankenschwester beendete die Arbeit.	La enfermera inteligente terminó el trabajo.	De intelligente verpleegster maakte het werk af.
The assured nurse finished the work.	female base	neutral adj	Η σίγουρη νοσοκόμα τελείωσε τη δουλειά.	Die versicherte Krankenschwester hat die Arbeit zu Ende geführt.	La enfermera asegurada terminó el trabajo.	De verzekerde verpleegster maakte het werk af.
The clever nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα τελείωσε τη δουλειά.	Die kluge Krankenschwester vollendete die Arbeit.	La inteligente enfermera terminó el trabajo.	De slimme verpleegster maakte het werk af.
The retiring receptionist finished the work.	female base	female adj	Ο συνταξιούχος ρεσεψιονίστ τελείωσε τη δουλειά.	Die in den Ruhestand gehende Rezeptionistin hat die Arbeit beendet.	La recepcionista jubilada terminó el trabajo.	De receptioniste die met pensioen ging, maakte het werk af.
The pleasant receptionist finished the work.	female base	female adj	Ο ευχάριστος ρεσεψιονίστ τελείωσε τη δουλειά.	Die nette Empfangsdame hat die Arbeit erledigt.	La amable recepcionista terminó el trabajo.	De vriendelijke receptioniste maakte het werk af.
The affectionate receptionist finished the work.	female base	female adj	Ο στοργικός ρεσεψιονίστ τελείωσε τη δουλειά.	Die liebevolle Empfangsdame hat die Arbeit zu Ende geführt.	La cariñosa recepcionista terminó el trabajo.	De hartelijke receptioniste maakte het werk af.
The gentle receptionist finished the work.	female base	female adj	Ο ευγενικός ρεσεψιονίστ τελείωσε τη δουλειά.	Die freundliche Empfangsdame beendete die Arbeit.	La amable recepcionista terminó el trabajo.	De vriendelijke receptioniste maakte het werk af.
The shy receptionist finished the work.	female base	female adj	Ο ντροπαλός ρεσεψιονίστ τελείωσε τη δουλειά.	Die schüchterne Empfangsdame beendete die Arbeit.	La tímida recepcionista terminó el trabajo.	De verlegen receptioniste maakte het werk af.
The strong receptionist finished the work.	female base	male adj	Ο δυνατός ρεσεψιονίστ τελείωσε τη δουλειά.	Die kräftige Empfangsdame hat die Arbeit zu Ende geführt.	La fuerte recepcionista terminó el trabajo.	De sterke receptioniste maakte het werk af.
The serious receptionist finished the work.	female base	male adj	Ο σοβαρός ρεσεψιονίστ τελείωσε τη δουλειά.	Die seriöse Rezeptionistin hat die Arbeit zu Ende geführt.	La recepcionista seria terminó el trabajo.	De serieuze receptioniste maakte het werk af.
The frank receptionist finished the work.	female base	male adj	Ο ειλικρινής ρεσεψιονίστ τελείωσε τη δουλειά.	Die offenherzige Empfangsdame hat die Arbeit beendet.	La franca recepcionista terminó el trabajo.	De eerlijke receptioniste maakte het werk af.
The stable receptionist finished the work.	female base	male adj	Ο σταθερός ρεσεψιονίστ τελείωσε τη δουλειά.	Die Stallrezeptionistin hat die Arbeit zu Ende geführt.	La recepcionista del establo terminó el trabajo.	De receptioniste van de stal maakte het werk af.
The independent receptionist finished the work.	female base	male adj	Ο ανεξάρτητος ρεσεψιονίστ τελείωσε τη δουλειά.	Die selbstständige Rezeptionistin hat die Arbeiten zu Ende geführt.	La recepcionista independiente terminó el trabajo.	De zelfstandige receptioniste maakte het werk af.
The dull receptionist finished the work.	female base	neutral adj	Ο βαρετός ρεσεψιονίστ τελείωσε τη δουλειά.	Die langweilige Empfangsdame hat die Arbeit beendet.	La recepcionista aburrida terminó el trabajo.	De saaie receptioniste maakte het werk af.
The artificial receptionist finished the work.	female base	neutral adj	Ο τεχνητός ρεσεψιονίστ τελείωσε τη δουλειά.	Die künstliche Empfangsdame hat die Arbeit vollendet.	La recepcionista artificial terminó el trabajo.	De kunstmatige receptioniste maakte het werk af.
The intelligent receptionist finished the work.	female base	neutral adj	Ο ευφυής ρεσεψιονίστ τελείωσε τη δουλειά.	Die intelligente Rezeptionistin hat die Arbeit beendet.	La inteligente recepcionista terminó el trabajo.	De intelligente receptioniste maakte het werk af.
The assured receptionist finished the work.	female base	neutral adj	Ο σίγουρος ρεσεψιονίστ τελείωσε τη δουλειά.	Die selbstbewusste Empfangsdame erledigte die Arbeit.	La recepcionista asegurada terminó el trabajo.	De zelfverzekerde receptioniste maakte het werk af.
The clever receptionist finished the work.	female base	neutral adj	Ο έξυπνος ρεσεψιονίστ τελείωσε τη δουλειά.	Die clevere Rezeptionistin hat die Arbeit vollendet.	La inteligente recepcionista terminó el trabajo.	De slimme receptioniste maakte het werk af.
The retiring housekeeper finished the work.	female base	female adj	Η συνταξιούχος οικονόμος τελείωσε τη δουλειά.	Die in den Ruhestand gehende Haushälterin führte die Arbeit zu Ende.	La ama de llaves jubilada terminó el trabajo.	De afscheid nemende huishoudster maakte het werk af.
The pleasant housekeeper finished the work.	female base	female adj	Η ευχάριστη οικονόμος τελείωσε τη δουλειά.	Die nette Haushälterin hat die Arbeit vollendet.	La amable ama de llaves terminó el trabajo.	De vriendelijke huishoudster maakte het werk af.
The affectionate housekeeper finished the work.	female base	female adj	Η στοργική οικονόμος τελείωσε τη δουλειά.	Die liebevolle Haushälterin hat die Arbeit vollendet.	La cariñosa ama de llaves terminó el trabajo.	De liefdevolle huishoudster maakte het werk af.
The gentle housekeeper finished the work.	female base	female adj	Η ευγενική οικονόμος τελείωσε τη δουλειά.	Die freundliche Haushälterin beendete die Arbeit.	La amable ama de llaves terminó el trabajo.	De vriendelijke huishoudster maakte het werk af.
The shy housekeeper finished the work.	female base	female adj	Η ντροπαλή οικονόμος τελείωσε τη δουλειά.	Die schüchterne Haushälterin beendete die Arbeit.	La tímida ama de llaves terminó el trabajo.	De verlegen huishoudster maakte het werk af.
The strong housekeeper finished the work.	female base	male adj	Η δυνατή οικονόμος τελείωσε τη δουλειά.	Die kräftige Haushälterin hat die Arbeit vollendet.	La fuerte ama de llaves terminó el trabajo.	De sterke huishoudster maakte het werk af.
The serious housekeeper finished the work.	female base	male adj	Η σοβαρή οικονόμος τελείωσε τη δουλειά.	Die ernsthafte Haushälterin hat die Arbeit beendet.	La seria ama de llaves terminó el trabajo.	De serieuze huishoudster maakte het werk af.
The frank housekeeper finished the work.	female base	male adj	Η ειλικρινής οικονόμος τελείωσε τη δουλειά.	Die offenherzige Haushälterin hat die Arbeit beendet.	La franca ama de llaves terminó el trabajo.	De eerlijke huishoudster maakte het werk af.
The stable housekeeper finished the work.	female base	male adj	Ο στάβλος οικονόμος τελείωσε τη δουλειά.	Die Stallwirtin hat die Arbeit zu Ende geführt.	La ama de llaves del establo terminó el trabajo.	De stalhoudster maakte het werk af.
The independent housekeeper finished the work.	female base	male adj	Η ανεξάρτητη οικονόμος τελείωσε τη δουλειά.	Die selbstständige Haushälterin hat die Arbeiten ausgeführt.	La ama de llaves independiente terminó el trabajo.	De zelfstandige huishoudster maakte het werk af.
