adj5_sentences	type_base	type_adj	EL_DeepL	DE_DeepL	ES_DeepL	NL_DeepL
The dull secretary finished the work.	female base	neutral adj	Η βαρετή γραμματέας τελείωσε τη δουλειά.	Die langweilige Sekretärin beendete die Arbeit.	La aburrida secretaria terminó el trabajo.	De saaie secretaresse maakte het werk af.
The artificial secretary finished the work.	female base	neutral adj	Ο τεχνητός γραμματέας ολοκλήρωσε το έργο.	Der künstliche Sekretär beendete die Arbeit.	La secretaria artificial terminó el trabajo.	De kunstmatige secretaresse maakte het werk af.
The intelligent secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας ολοκλήρωσε τη δουλειά.	Die intelligente Sekretärin beendete die Arbeit.	La inteligente secretaria terminó el trabajo.	De intelligente secretaresse maakte het werk af.
The assured secretary finished the work.	female base	neutral adj	Ο σίγουρος γραμματέας ολοκλήρωσε το έργο.	Die versicherte Sekretärin beendete die Arbeit.	El secretario asegurado terminó el trabajo.	De verzekerde secretaris maakte het werk af.
The clever secretary finished the work.	female base	neutral adj	Η έξυπνη γραμματέας ολοκλήρωσε τη δουλειά.	Die kluge Sekretärin beendete die Arbeit.	La inteligente secretaria terminó el trabajo.	De slimme secretaresse maakte het werk af.
The retiring nutritionist finished the work.	female base	female adj	Ο συνταξιούχος διατροφολόγος ολοκλήρωσε το έργο.	Die Ernährungsberaterin im Ruhestand beendete die Arbeit.	La nutricionista jubilada terminó el trabajo.	De gepensioneerde voedingsdeskundige maakte het werk af.
The pleasant nutritionist finished the work.	female base	female adj	Η ευχάριστη διατροφολόγος ολοκλήρωσε τη δουλειά.	Die angenehme Ernährungsberaterin beendete die Arbeit.	La agradable nutricionista terminó el trabajo.	De aangename voedingsdeskundige maakte het werk af.
The affectionate nutritionist finished the work.	female base	female adj	Ο στοργικός διατροφολόγος τελείωσε τη δουλειά.	Die liebevolle Ernährungsberaterin beendete die Arbeit.	El afectuoso nutricionista terminó el trabajo.	De aanhankelijke voedingsdeskundige maakte het werk af.
The gentle nutritionist finished the work.	female base	female adj	Η ευγενική διατροφολόγος ολοκλήρωσε τη δουλειά.	Der sanfte Ernährungsberater beendete die Arbeit.	La amable nutricionista terminó el trabajo.	De zachte voedingsdeskundige maakte het werk af.
The shy nutritionist finished the work.	female base	female adj	Η ντροπαλή διατροφολόγος τελείωσε τη δουλειά.	Die schüchterne Ernährungsberaterin beendete die Arbeit.	La tímida nutricionista terminó el trabajo.	De verlegen voedingsdeskundige maakte het werk af.
The strong nutritionist finished the work.	female base	male adj	Ο ισχυρός διατροφολόγος ολοκλήρωσε το έργο.	Der starke Ernährungsberater beendete die Arbeit.	El nutricionista fuerte terminó el trabajo.	De sterke voedingsdeskundige maakte het werk af.
The serious nutritionist finished the work.	female base	male adj	Ο σοβαρός διατροφολόγος ολοκλήρωσε τη δουλειά.	Der seriöse Ernährungsberater beendete die Arbeit.	El nutricionista serio terminó el trabajo.	De serieuze voedingsdeskundige maakte het werk af.
The frank nutritionist finished the work.	female base	male adj	Ο ειλικρινής διατροφολόγος ολοκλήρωσε το έργο.	Die Ernährungsberaterin beendete die Arbeit.	El nutricionista franco terminó el trabajo.	De openhartige voedingsdeskundige maakte het werk af.
The stable nutritionist finished the work.	female base	male adj	Ο σταθερός διατροφολόγος ολοκλήρωσε τη δουλειά.	Die Ernährungsberaterin des Stalls hat die Arbeit beendet.	El nutricionista del establo terminó el trabajo.	De stalvoedingsdeskundige maakte het werk af.
The independent nutritionist finished the work.	female base	male adj	Ο ανεξάρτητος διατροφολόγος ολοκλήρωσε το έργο.	Der unabhängige Ernährungsberater hat die Arbeit beendet.	El nutricionista independiente terminó el trabajo.	De onafhankelijke voedingsdeskundige maakte het werk af.
The dull nutritionist finished the work.	female base	neutral adj	Ο βαρετός διατροφολόγος τελείωσε τη δουλειά.	Der langweilige Ernährungsberater beendete die Arbeit.	El nutricionista aburrido terminó el trabajo.	De saaie voedingsdeskundige maakte het werk af.
The artificial nutritionist finished the work.	female base	neutral adj	Ο τεχνητός διατροφολόγος ολοκλήρωσε το έργο.	Der künstliche Ernährungsberater hat die Arbeit beendet.	El nutricionista artificial terminó el trabajo.	De kunstvoedingsdeskundige maakte het werk af.
The intelligent nutritionist finished the work.	female base	neutral adj	Ο έξυπνος διατροφολόγος ολοκλήρωσε το έργο.	Die intelligente Ernährungsberaterin hat die Arbeit beendet.	La inteligente nutricionista terminó el trabajo.	De intelligente voedingsdeskundige maakte het werk af.
The assured nutritionist finished the work.	female base	neutral adj	Ο σίγουρος διατροφολόγος ολοκλήρωσε το έργο.	Die versicherte Ernährungsberaterin beendete die Arbeit.	El nutricionista asegurado terminó el trabajo.	De verzekerde voedingsdeskundige maakte het werk af.
The clever nutritionist finished the work.	female base	neutral adj	Ο έξυπνος διατροφολόγος ολοκλήρωσε τη δουλειά.	Die kluge Ernährungsberaterin hat die Arbeit beendet.	El inteligente nutricionista terminó el trabajo.	De slimme voedingsdeskundige maakte het werk af.
The retiring hairdresser finished the work.	female base	female adj	Ο κομμωτής που αποσύρθηκε τελείωσε τη δουλειά.	Der Friseur im Ruhestand beendete die Arbeit.	El peluquero jubilado terminó el trabajo.	De kapper die met pensioen ging, maakte het werk af.
The pleasant hairdresser finished the work.	female base	female adj	Η ευχάριστη κομμώτρια τελείωσε τη δουλειά.	Der angenehme Friseur beendete die Arbeit.	La agradable peluquera terminó el trabajo.	De aardige kapster maakte het werk af.
The affectionate hairdresser finished the work.	female base	female adj	Ο στοργικός κομμωτής τελείωσε τη δουλειά.	Der liebevolle Friseur beendete die Arbeit.	El afectuoso peluquero terminó el trabajo.	De aanhankelijke kapper maakte het werk af.
The gentle hairdresser finished the work.	female base	female adj	Η ευγενική κομμώτρια τελείωσε τη δουλειά.	Der sanfte Friseur beendete die Arbeit.	El gentil peluquero terminó el trabajo.	De zachte kapper maakte het werk af.
The shy hairdresser finished the work.	female base	female adj	Η ντροπαλή κομμώτρια τελείωσε τη δουλειά.	Der schüchterne Friseur beendete seine Arbeit.	El tímido peluquero terminó el trabajo.	De verlegen kapster maakte het werk af.
The strong hairdresser finished the work.	female base	male adj	Ο δυνατός κομμωτής τελείωσε τη δουλειά.	Der starke Friseur beendete die Arbeit.	El fuerte peluquero terminó el trabajo.	De sterke kapper maakte het werk af.
The serious hairdresser finished the work.	female base	male adj	Ο σοβαρός κομμωτής τελείωσε τη δουλειά.	Der seriöse Friseur beendete die Arbeit.	El peluquero serio terminó el trabajo.	De serieuze kapper maakte het werk af.
The frank hairdresser finished the work.	female base	male adj	Ο ειλικρινής κομμωτής τελείωσε τη δουλειά.	Der Friseur hat die Arbeit beendet.	El peluquero franco terminó el trabajo.	De openhartige kapper maakte het werk af.
The stable hairdresser finished the work.	female base	male adj	Ο σταθερός κομμωτής τελείωσε τη δουλειά.	Der Stallfriseur hat die Arbeit beendet.	El nutricionista del establo terminó el trabajo.	De stalkapper maakte het werk af.
The independent hairdresser finished the work.	female base	male adj	Ο ανεξάρτητος κομμωτής ολοκλήρωσε τη δουλειά.	Der unabhängige Friseur beendete die Arbeit.	El peluquero independiente terminó el trabajo.	De zelfstandige kapper maakte het werk af.
The dull hairdresser finished the work.	female base	neutral adj	Ο βαρετός κομμωτής τελείωσε τη δουλειά.	Der stumpfe Friseur beendete die Arbeit.	El peluquero aburrido terminó el trabajo.	De saaie kapper maakte het werk af.
The artificial hairdresser finished the work.	female base	neutral adj	Ο τεχνητός κομμωτής τελείωσε τη δουλειά.	Der künstliche Friseur hat die Arbeit beendet.	El peluquero artificial terminó el trabajo.	De kunstkapper maakte het werk af.
The intelligent hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής τελείωσε τη δουλειά.	Der intelligente Friseur beendete die Arbeit.	El peluquero inteligente terminó el trabajo.	De intelligente kapper maakte het werk af.
The assured hairdresser finished the work.	female base	neutral adj	Ο σίγουρος κομμωτής τελείωσε τη δουλειά.	Der versicherte Friseur beendete die Arbeit.	El peluquero asegurado terminó el trabajo.	De verzekerde kapper maakte het werk af.
The clever hairdresser finished the work.	female base	neutral adj	Ο έξυπνος κομμωτής τελείωσε τη δουλειά.	Der geschickte Friseur beendete die Arbeit.	El inteligente peluquero terminó el trabajo.	De slimme kapper maakte het werk af.
The retiring dietitian finished the work.	female base	female adj	Ο συνταξιούχος διαιτολόγος ολοκλήρωσε τη δουλειά.	Der scheidende Diätassistent beendete die Arbeit.	La dietista jubilada terminó el trabajo.	De aftredende diëtiste maakte het werk af.
The pleasant dietitian finished the work.	female base	female adj	Η ευχάριστη διαιτολόγος τελείωσε τη δουλειά.	Die angenehme Ernährungsberaterin beendete die Arbeit.	La agradable dietista terminó el trabajo.	De aangename diëtiste maakte het werk af.
The affectionate dietitian finished the work.	female base	female adj	Ο στοργικός διαιτολόγος τελείωσε τη δουλειά.	Die liebevolle Ernährungsberaterin beendete die Arbeit.	El afectuoso dietista terminó el trabajo.	De aanhankelijke diëtiste maakte het werk af.
The gentle dietitian finished the work.	female base	female adj	Η ευγενική διαιτολόγος τελείωσε τη δουλειά.	Die sanfte Ernährungsberaterin beendete die Arbeit.	La amable dietista terminó el trabajo.	De zachte diëtiste maakte het werk af.
The shy dietitian finished the work.	female base	female adj	Η ντροπαλή διαιτολόγος τελείωσε τη δουλειά.	Die schüchterne Ernährungsberaterin beendete die Arbeit.	La tímida dietista terminó el trabajo.	De verlegen diëtiste maakte het werk af.
The strong dietitian finished the work.	female base	male adj	Ο ισχυρός διαιτολόγος ολοκλήρωσε τη δουλειά.	Die starke Ernährungsberaterin beendete die Arbeit.	El fuerte dietista terminó el trabajo.	De sterke diëtiste maakte het werk af.
The serious dietitian finished the work.	female base	male adj	Ο σοβαρός διαιτολόγος τελείωσε τη δουλειά.	Der seriöse Diätassistent beendete die Arbeit.	La dietista seria terminó el trabajo.	De serieuze diëtiste maakte het werk af.
The frank dietitian finished the work.	female base	male adj	Ο ειλικρινής διαιτολόγος ολοκλήρωσε την εργασία.	Der offene Diätassistent beendete die Arbeit.	El franco dietista terminó el trabajo.	De openhartige diëtiste maakte het werk af.
The stable dietitian finished the work.	female base	male adj	Ο σταθερός διαιτολόγος ολοκλήρωσε την εργασία.	Der Diätassistent hat die Arbeit beendet.	El dietista estable terminó el trabajo.	De staldiëtiste maakte het werk af.
The independent dietitian finished the work.	female base	male adj	Ο ανεξάρτητος διαιτολόγος ολοκλήρωσε την εργασία.	Die unabhängige Ernährungsberaterin hat die Arbeit beendet.	El dietista independiente terminó el trabajo.	De onafhankelijke diëtist maakte het werk af.
The dull dietitian finished the work.	female base	neutral adj	Ο βαρετός διαιτολόγος τελείωσε τη δουλειά.	Die langweilige Diätassistentin beendete die Arbeit.	El aburrido dietista terminó el trabajo.	De saaie diëtiste maakte het werk af.
The artificial dietitian finished the work.	female base	neutral adj	Ο τεχνητός διαιτολόγος ολοκλήρωσε την εργασία.	Der künstliche Diätassistent hat die Arbeit beendet.	El dietista artificial terminó el trabajo.	De kunstmatige diëtist maakte het werk af.
The intelligent dietitian finished the work.	female base	neutral adj	Η έξυπνη διαιτολόγος τελείωσε τη δουλειά.	Die intelligente Ernährungsberaterin beendete die Arbeit.	La inteligente dietista terminó el trabajo.	De intelligente diëtiste maakte het werk af.
The assured dietitian finished the work.	female base	neutral adj	Ο σίγουρος διαιτολόγος ολοκλήρωσε την εργασία.	Die überzeugte Ernährungsberaterin beendete die Arbeit.	El dietista asegurado terminó el trabajo.	De verzekerde diëtist maakte het werk af.
The clever dietitian finished the work.	female base	neutral adj	Ο έξυπνος διαιτολόγος τελείωσε τη δουλειά.	Die kluge Ernährungsberaterin beendete die Arbeit.	La inteligente dietista terminó el trabajo.	De slimme diëtiste maakte het werk af.
The retiring paralegal finished the work.	female base	female adj	Η συνταξιοδοτούμενη νομική βοηθός ολοκλήρωσε την εργασία.	Die Rechtsanwaltsgehilfin im Ruhestand beendete die Arbeit.	El asistente jurídico jubilado terminó el trabajo.	De gepensioneerde paralegal maakte het werk af.
The pleasant paralegal finished the work.	female base	female adj	Η ευχάριστη νομική βοηθός ολοκλήρωσε τη δουλειά.	Die nette Rechtsanwaltsgehilfin beendete die Arbeit.	El agradable asistente jurídico terminó el trabajo.	De aangename paralegal maakte het werk af.
The affectionate paralegal finished the work.	female base	female adj	Η στοργική βοηθός δικηγόρου ολοκλήρωσε τη δουλειά.	Die liebevolle Rechtsanwaltsgehilfin beendete die Arbeit.	El afectuoso asistente jurídico terminó el trabajo.	De aanhankelijke paralegal maakte het werk af.
The gentle paralegal finished the work.	female base	female adj	Η ευγενική βοηθός τελείωσε τη δουλειά.	Die sanfte Rechtsanwaltsgehilfin beendete die Arbeit.	El amable asistente jurídico terminó el trabajo.	De zachte paralegal maakte het werk af.
The shy paralegal finished the work.	female base	female adj	Η ντροπαλή νομική βοηθός ολοκλήρωσε τη δουλειά.	Die schüchterne Rechtsanwaltsgehilfin beendete die Arbeit.	El tímido asistente jurídico terminó el trabajo.	De verlegen paralegal maakte het werk af.
The strong paralegal finished the work.	female base	male adj	Η ισχυρή νομική βοηθός ολοκλήρωσε την εργασία.	Die starke Rechtsanwaltsgehilfin beendete die Arbeit.	El fuerte asistente jurídico terminó el trabajo.	De sterke paralegal maakte het werk af.
The serious paralegal finished the work.	female base	male adj	Η σοβαρή νομική βοηθός ολοκλήρωσε τη δουλειά.	Die seriöse Rechtsanwaltsgehilfin beendete die Arbeit.	El serio asistente jurídico terminó el trabajo.	De serieuze paralegal maakte het werk af.
The frank paralegal finished the work.	female base	male adj	Η ειλικρινής βοηθός τελείωσε τη δουλειά.	Die Rechtsanwaltsgehilfin Frank beendete die Arbeit.	El asistente jurídico franco terminó el trabajo.	De openhartige paralegal maakte het werk af.
The stable paralegal finished the work.	female base	male adj	Η σταθερή νομική βοηθός ολοκλήρωσε τη δουλειά.	Die stabile Rechtsanwaltsgehilfin beendete die Arbeit.	El paralegal estable terminó el trabajo.	De stabiele paralegal maakte het werk af.
The independent paralegal finished the work.	female base	male adj	Η ανεξάρτητη νομική βοηθός ολοκλήρωσε την εργασία.	Die selbständige Rechtsanwaltsgehilfin beendete die Arbeit.	El asistente jurídico independiente terminó el trabajo.	De onafhankelijke paralegal maakte het werk af.
The dull paralegal finished the work.	female base	neutral adj	Η βαρετή νομική βοηθός τελείωσε τη δουλειά.	Die langweilige Rechtsanwaltsgehilfin beendete die Arbeit.	El aburrido asistente jurídico terminó el trabajo.	De saaie paralegal maakte het werk af.
The artificial paralegal finished the work.	female base	neutral adj	Η τεχνητή βοηθός τελείωσε τη δουλειά.	Die künstliche Rechtsanwaltsgehilfin beendete die Arbeit.	El asistente jurídico artificial terminó el trabajo.	De kunstmatige paralegal maakte het werk af.
The intelligent paralegal finished the work.	female base	neutral adj	Η έξυπνη νομική βοηθός ολοκλήρωσε τη δουλειά.	Die intelligente Rechtsanwaltsgehilfin beendete die Arbeit.	El inteligente asistente jurídico terminó el trabajo.	De intelligente paralegal maakte het werk af.
The assured paralegal finished the work.	female base	neutral adj	Η σίγουρη νομική βοηθός ολοκλήρωσε την εργασία.	Die versicherte Rechtsanwaltsgehilfin beendete die Arbeit.	El asistente jurídico asegurado terminó el trabajo.	De verzekerde paralegal maakte het werk af.
The clever paralegal finished the work.	female base	neutral adj	Η έξυπνη νομική βοηθός ολοκλήρωσε τη δουλειά.	Die kluge Rechtsanwaltsgehilfin beendete die Arbeit.	El inteligente asistente jurídico terminó el trabajo.	De slimme paralegal maakte het werk af.
The retiring nurse finished the work.	female base	female adj	Η συνταξιοδοτούμενη νοσοκόμα τελείωσε τη δουλειά.	Die Krankenschwester im Ruhestand beendete die Arbeit.	La enfermera que se jubilaba terminó el trabajo.	De aftredende verpleegster maakte het werk af.
The pleasant nurse finished the work.	female base	female adj	Η ευχάριστη νοσοκόμα τελείωσε τη δουλειά.	Die nette Krankenschwester beendete die Arbeit.	La agradable enfermera terminó el trabajo.	De aardige verpleegster maakte het werk af.
The affectionate nurse finished the work.	female base	female adj	Η στοργική νοσοκόμα τελείωσε τη δουλειά.	Die liebevolle Krankenschwester beendete die Arbeit.	La cariñosa enfermera terminó el trabajo.	De liefdevolle verpleegster maakte het werk af.
The gentle nurse finished the work.	female base	female adj	Η ευγενική νοσοκόμα τελείωσε τη δουλειά.	Die sanfte Krankenschwester beendete die Arbeit.	La amable enfermera terminó el trabajo.	De zachtaardige verpleegster maakte het werk af.
The shy nurse finished the work.	female base	female adj	Η ντροπαλή νοσοκόμα τελείωσε τη δουλειά.	Die schüchterne Krankenschwester beendete die Arbeit.	La tímida enfermera terminó el trabajo.	De verlegen verpleegster maakte het werk af.
The strong nurse finished the work.	female base	male adj	Η δυνατή νοσοκόμα ολοκλήρωσε τη δουλειά.	Die starke Krankenschwester beendete die Arbeit.	La fuerte enfermera terminó el trabajo.	De sterke verpleegster maakte het werk af.
The serious nurse finished the work.	female base	male adj	Η σοβαρή νοσοκόμα τελείωσε τη δουλειά.	Die ernste Krankenschwester beendete die Arbeit.	La enfermera seria terminó el trabajo.	De serieuze verpleegster maakte het werk af.
The frank nurse finished the work.	female base	male adj	Η ειλικρινής νοσοκόμα ολοκλήρωσε τη δουλειά.	Die offene Krankenschwester beendete die Arbeit.	La enfermera franca terminó el trabajo.	De openhartige verpleegster maakte het werk af.
The stable nurse finished the work.	female base	male adj	Η σταβλίτισσα τελείωσε τη δουλειά.	Die Stallhelferin beendete die Arbeit.	La enfermera del establo terminó el trabajo.	De stalverpleegster maakte het werk af.
The independent nurse finished the work.	female base	male adj	Η ανεξάρτητη νοσοκόμα ολοκλήρωσε το έργο.	Die unabhängige Krankenschwester beendete die Arbeit.	La enfermera independiente terminó el trabajo.	De onafhankelijke verpleegster maakte het werk af.
The dull nurse finished the work.	female base	neutral adj	Η βαρετή νοσοκόμα τελείωσε τη δουλειά.	Die langweilige Krankenschwester beendete die Arbeit.	La enfermera aburrida terminó el trabajo.	De saaie verpleegster maakte het werk af.
The artificial nurse finished the work.	female base	neutral adj	Η τεχνητή νοσοκόμα ολοκλήρωσε το έργο.	Die künstliche Krankenschwester beendete die Arbeit.	La enfermera artificial terminó el trabajo.	De kunstmatige verpleegster maakte het werk af.
The intelligent nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα τελείωσε τη δουλειά.	Die intelligente Krankenschwester beendete die Arbeit.	La inteligente enfermera terminó el trabajo.	De intelligente verpleegster maakte het werk af.
The assured nurse finished the work.	female base	neutral adj	Η σίγουρη νοσοκόμα ολοκλήρωσε τη δουλειά.	Die versicherte Krankenschwester beendete die Arbeit.	La enfermera asegurada terminó el trabajo.	De verzekerde verpleegster maakte het werk af.
The clever nurse finished the work.	female base	neutral adj	Η έξυπνη νοσοκόμα τελείωσε τη δουλειά.	Die kluge Krankenschwester beendete die Arbeit.	La inteligente enfermera terminó el trabajo.	De slimme verpleegster maakte het werk af.
The retiring receptionist finished the work.	female base	female adj	Η συνταξιούχος ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die scheidende Empfangsdame beendete die Arbeit.	La recepcionista jubilada terminó el trabajo.	De aftredende receptioniste maakte het werk af.
The pleasant receptionist finished the work.	female base	female adj	Η ευχάριστη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die freundliche Empfangsdame beendete die Arbeit.	La agradable recepcionista terminó el trabajo.	De vriendelijke receptioniste maakte het werk af.
The affectionate receptionist finished the work.	female base	female adj	Η στοργική ρεσεψιονίστ τελείωσε τη δουλειά.	Die liebevolle Empfangsdame beendete die Arbeit.	La afectuosa recepcionista terminó el trabajo.	De vriendelijke receptioniste maakte het werk af.
The gentle receptionist finished the work.	female base	female adj	Η ευγενική ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die freundliche Empfangsdame beendete die Arbeit.	La amable recepcionista terminó el trabajo.	De vriendelijke receptioniste maakte het werk af.
The shy receptionist finished the work.	female base	female adj	Η ντροπαλή ρεσεψιονίστ τελείωσε τη δουλειά.	Die schüchterne Empfangsdame beendete ihre Arbeit.	La tímida recepcionista terminó el trabajo.	De verlegen receptioniste maakte het werk af.
The strong receptionist finished the work.	female base	male adj	Η ισχυρή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die starke Empfangsdame beendete die Arbeit.	La recepcionista fuerte terminó el trabajo.	De sterke receptioniste maakte het werk af.
The serious receptionist finished the work.	female base	male adj	Η σοβαρή ρεσεψιονίστ τελείωσε τη δουλειά.	Die seriöse Empfangsdame beendete ihre Arbeit.	La recepcionista, muy seria, terminó el trabajo.	De serieuze receptioniste maakte het werk af.
The frank receptionist finished the work.	female base	male adj	Η ειλικρινής ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die freundliche Empfangsdame beendete die Arbeit.	La recepcionista franca terminó el trabajo.	De openhartige receptioniste maakte het werk af.
The stable receptionist finished the work.	female base	male adj	Η σταθερή ρεσεψιονίστ τελείωσε τη δουλειά.	Die stabile Empfangsdame beendete die Arbeit.	La recepcionista del establo terminó el trabajo.	De stalreceptionist maakte het werk af.
The independent receptionist finished the work.	female base	male adj	Η ανεξάρτητη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die unabhängige Empfangsdame beendete ihre Arbeit.	La recepcionista independiente terminó el trabajo.	De onafhankelijke receptioniste maakte het werk af.
The dull receptionist finished the work.	female base	neutral adj	Η βαρετή ρεσεψιονίστ τελείωσε τη δουλειά.	Die langweilige Empfangsdame beendete die Arbeit.	La aburrida recepcionista terminó el trabajo.	De saaie receptioniste maakte het werk af.
The artificial receptionist finished the work.	female base	neutral adj	Η τεχνητή ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die künstliche Empfangsdame beendete die Arbeit.	La recepcionista artificial terminó el trabajo.	De kunstmatige receptioniste maakte het werk af.
The intelligent receptionist finished the work.	female base	neutral adj	Η έξυπνη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die intelligente Empfangsdame beendete ihre Arbeit.	La inteligente recepcionista terminó el trabajo.	De intelligente receptioniste maakte het werk af.
The assured receptionist finished the work.	female base	neutral adj	Η σίγουρη ρεσεψιονίστ ολοκλήρωσε τη δουλειά.	Die versicherte Empfangsdame beendete die Arbeit.	La recepcionista, muy segura, terminó el trabajo.	De verzekerde receptioniste maakte het werk af.
The clever receptionist finished the work.	female base	neutral adj	Η έξυπνη ρεσεψιονίστ τελείωσε τη δουλειά.	Die kluge Empfangsdame beendete die Arbeit.	La inteligente recepcionista terminó el trabajo.	De slimme receptioniste maakte het werk af.
The retiring housekeeper finished the work.	female base	female adj	Η συνταξιοδοτούμενη οικονόμος τελείωσε τη δουλειά.	Die scheidende Haushälterin beendete die Arbeit.	El ama de llaves jubilada terminó el trabajo.	De aftredende huishoudster maakte het werk af.
The pleasant housekeeper finished the work.	female base	female adj	Η ευχάριστη οικονόμος τελείωσε τη δουλειά.	Die nette Haushälterin beendete die Arbeit.	La agradable ama de llaves terminó el trabajo.	De vriendelijke huishoudster maakte het werk af.
The affectionate housekeeper finished the work.	female base	female adj	Η στοργική οικονόμος τελείωσε τη δουλειά.	Die liebevolle Haushälterin beendete die Arbeit.	La cariñosa ama de llaves terminó el trabajo.	De liefdevolle huishoudster maakte het werk af.
The gentle housekeeper finished the work.	female base	female adj	Η ευγενική οικονόμος τελείωσε τη δουλειά.	Die freundliche Haushälterin beendete die Arbeit.	La gentil ama de llaves terminó el trabajo.	De zachtaardige huishoudster maakte het werk af.
The shy housekeeper finished the work.	female base	female adj	Η ντροπαλή οικονόμος τελείωσε τη δουλειά.	Die schüchterne Haushälterin beendete die Arbeit.	La tímida ama de llaves terminó el trabajo.	De verlegen huishoudster maakte het werk af.
The strong housekeeper finished the work.	female base	male adj	Η ισχυρή οικονόμος τελείωσε τη δουλειά.	Die starke Haushälterin beendete die Arbeit.	La fuerte ama de llaves terminó el trabajo.	De sterke huishoudster maakte het werk af.
The serious housekeeper finished the work.	female base	male adj	Η σοβαρή οικονόμος τελείωσε τη δουλειά.	Die seriöse Haushälterin beendete die Arbeit.	El serio ama de llaves terminó el trabajo.	De serieuze huishoudster maakte het werk af.
The frank housekeeper finished the work.	female base	male adj	Η ειλικρινής οικονόμος τελείωσε τη δουλειά.	Die offene Haushälterin beendete die Arbeit.	El ama de llaves franca terminó el trabajo.	De openhartige huishoudster maakte het werk af.
The stable housekeeper finished the work.	female base	male adj	Η οικονόμος του στάβλου τελείωσε τη δουλειά.	Die Haushälterin des Stalls beendete die Arbeit.	El ama de llaves del establo terminó el trabajo.	De stalmeester maakte het werk af.
The independent housekeeper finished the work.	female base	male adj	Η ανεξάρτητη οικονόμος τελείωσε τη δουλειά.	Die unabhängige Haushälterin beendete die Arbeit.	El ama de llaves independiente terminó el trabajo.	De onafhankelijke huishoudster maakte het werk af.
The dull housekeeper finished the work.	female base	neutral adj	Η βαρετή οικονόμος τελείωσε τη δουλειά.	Die langweilige Haushälterin beendete die Arbeit.	La aburrida ama de llaves terminó el trabajo.	De saaie huishoudster maakte het werk af.
The artificial housekeeper finished the work.	female base	neutral adj	Η τεχνητή οικονόμος τελείωσε τη δουλειά.	Die künstliche Haushälterin beendete die Arbeit.	El ama de llaves artificial terminó el trabajo.	De kunstmatige huishoudster maakte het werk af.
The intelligent housekeeper finished the work.	female base	neutral adj	Η έξυπνη οικονόμος τελείωσε τη δουλειά.	Die intelligente Haushälterin beendete die Arbeit.	La inteligente ama de llaves terminó el trabajo.	De intelligente huishoudster maakte het werk af.
